{'Pi': 0.0552978515625, 'score': 0.0552978515625, 'examples_seen': 80, 'step': 0, 'algorithm': 'floyd_warshall'},
{'Pi': 0.29302978515625, 'score': 0.29302978515625, 'examples_seen': 2640, 'step': 50, 'algorithm': 'floyd_warshall'},
{'Pi': 0.2999267578125, 'score': 0.2999267578125, 'examples_seen': 5200, 'step': 100, 'algorithm': 'floyd_warshall'},
{'Pi': 0.3634033203125, 'score': 0.3634033203125, 'examples_seen': 7744, 'step': 150, 'algorithm': 'floyd_warshall'},
{'Pi': 0.50482177734375, 'score': 0.50482177734375, 'examples_seen': 10288, 'step': 200, 'algorithm': 'floyd_warshall'},
{'Pi': 0.39495849609375, 'score': 0.39495849609375, 'examples_seen': 12816, 'step': 250, 'algorithm': 'floyd_warshall'},
{'Pi': 0.46356201171875, 'score': 0.46356201171875, 'examples_seen': 15472, 'step': 300, 'algorithm': 'floyd_warshall'},
{'Pi': 0.48712158203125, 'score': 0.48712158203125, 'examples_seen': 18080, 'step': 350, 'algorithm': 'floyd_warshall'},
{'Pi': 0.48077392578125, 'score': 0.48077392578125, 'examples_seen': 20640, 'step': 400, 'algorithm': 'floyd_warshall'},
{'Pi': 0.6009521484375, 'score': 0.6009521484375, 'examples_seen': 23216, 'step': 450, 'algorithm': 'floyd_warshall'},
{'Pi': 0.5361328125, 'score': 0.5361328125, 'examples_seen': 25744, 'step': 500, 'algorithm': 'floyd_warshall'},
{'Pi': 0.59307861328125, 'score': 0.59307861328125, 'examples_seen': 28288, 'step': 550, 'algorithm': 'floyd_warshall'},
{'Pi': 0.55902099609375, 'score': 0.55902099609375, 'examples_seen': 30832, 'step': 600, 'algorithm': 'floyd_warshall'},
{'Pi': 0.52203369140625, 'score': 0.52203369140625, 'examples_seen': 33456, 'step': 650, 'algorithm': 'floyd_warshall'},
{'Pi': 0.59759521484375, 'score': 0.59759521484375, 'examples_seen': 36080, 'step': 700, 'algorithm': 'floyd_warshall'},
{'Pi': 0.55450439453125, 'score': 0.55450439453125, 'examples_seen': 38640, 'step': 750, 'algorithm': 'floyd_warshall'},
{'Pi': 0.58624267578125, 'score': 0.58624267578125, 'examples_seen': 41216, 'step': 800, 'algorithm': 'floyd_warshall'},
{'Pi': 0.54229736328125, 'score': 0.54229736328125, 'examples_seen': 43760, 'step': 850, 'algorithm': 'floyd_warshall'},
{'Pi': 0.57342529296875, 'score': 0.57342529296875, 'examples_seen': 46320, 'step': 900, 'algorithm': 'floyd_warshall'},
{'Pi': 0.54376220703125, 'score': 0.54376220703125, 'examples_seen': 48832, 'step': 950, 'algorithm': 'floyd_warshall'},
{'Pi': 0.57421875, 'score': 0.57421875, 'examples_seen': 51488, 'step': 1000, 'algorithm': 'floyd_warshall'},
{'Pi': 0.59344482421875, 'score': 0.59344482421875, 'examples_seen': 54080, 'step': 1050, 'algorithm': 'floyd_warshall'},
{'Pi': 0.60198974609375, 'score': 0.60198974609375, 'examples_seen': 56656, 'step': 1100, 'algorithm': 'floyd_warshall'},
{'Pi': 0.58416748046875, 'score': 0.58416748046875, 'examples_seen': 59232, 'step': 1150, 'algorithm': 'floyd_warshall'},
{'Pi': 0.6358642578125, 'score': 0.6358642578125, 'examples_seen': 61744, 'step': 1200, 'algorithm': 'floyd_warshall'},
{'Pi': 0.63531494140625, 'score': 0.63531494140625, 'examples_seen': 64304, 'step': 1250, 'algorithm': 'floyd_warshall'},
{'Pi': 0.68328857421875, 'score': 0.68328857421875, 'examples_seen': 66848, 'step': 1300, 'algorithm': 'floyd_warshall'},
{'Pi': 0.63739013671875, 'score': 0.63739013671875, 'examples_seen': 69472, 'step': 1350, 'algorithm': 'floyd_warshall'},
{'Pi': 0.6312255859375, 'score': 0.6312255859375, 'examples_seen': 72096, 'step': 1400, 'algorithm': 'floyd_warshall'},
{'Pi': 0.67413330078125, 'score': 0.67413330078125, 'examples_seen': 74656, 'step': 1450, 'algorithm': 'floyd_warshall'},
{'Pi': 0.58453369140625, 'score': 0.58453369140625, 'examples_seen': 77216, 'step': 1500, 'algorithm': 'floyd_warshall'},
{'Pi': 0.5989990234375, 'score': 0.5989990234375, 'examples_seen': 79760, 'step': 1550, 'algorithm': 'floyd_warshall'},
{'Pi': 0.6588134765625, 'score': 0.6588134765625, 'examples_seen': 82304, 'step': 1600, 'algorithm': 'floyd_warshall'},
{'Pi': 0.63836669921875, 'score': 0.63836669921875, 'examples_seen': 84832, 'step': 1650, 'algorithm': 'floyd_warshall'},
{'Pi': 0.68719482421875, 'score': 0.68719482421875, 'examples_seen': 87472, 'step': 1700, 'algorithm': 'floyd_warshall'},
{'Pi': 0.69866943359375, 'score': 0.69866943359375, 'examples_seen': 90096, 'step': 1750, 'algorithm': 'floyd_warshall'},
{'Pi': 0.57635498046875, 'score': 0.57635498046875, 'examples_seen': 92656, 'step': 1800, 'algorithm': 'floyd_warshall'},
{'Pi': 0.6650390625, 'score': 0.6650390625, 'examples_seen': 95232, 'step': 1850, 'algorithm': 'floyd_warshall'},
{'Pi': 0.65606689453125, 'score': 0.65606689453125, 'examples_seen': 97776, 'step': 1900, 'algorithm': 'floyd_warshall'},
{'Pi': 0.68408203125, 'score': 0.68408203125, 'examples_seen': 100320, 'step': 1950, 'algorithm': 'floyd_warshall'},
{'Pi': 0.6959228515625, 'score': 0.6959228515625, 'examples_seen': 102848, 'step': 2000, 'algorithm': 'floyd_warshall'},
{'Pi': 0.71636962890625, 'score': 0.71636962890625, 'examples_seen': 105488, 'step': 2050, 'algorithm': 'floyd_warshall'},
{'Pi': 0.69140625, 'score': 0.69140625, 'examples_seen': 108096, 'step': 2100, 'algorithm': 'floyd_warshall'},
{'Pi': 0.72271728515625, 'score': 0.72271728515625, 'examples_seen': 110688, 'step': 2150, 'algorithm': 'floyd_warshall'},
{'Pi': 0.697021484375, 'score': 0.697021484375, 'examples_seen': 113232, 'step': 2200, 'algorithm': 'floyd_warshall'},
{'Pi': 0.6973876953125, 'score': 0.6973876953125, 'examples_seen': 115760, 'step': 2250, 'algorithm': 'floyd_warshall'},
{'Pi': 0.7220458984375, 'score': 0.7220458984375, 'examples_seen': 118336, 'step': 2300, 'algorithm': 'floyd_warshall'},
{'Pi': 0.68609619140625, 'score': 0.68609619140625, 'examples_seen': 120848, 'step': 2350, 'algorithm': 'floyd_warshall'},
{'Pi': 0.72650146484375, 'score': 0.72650146484375, 'examples_seen': 123488, 'step': 2400, 'algorithm': 'floyd_warshall'},
{'Pi': 0.71917724609375, 'score': 0.71917724609375, 'examples_seen': 126112, 'step': 2450, 'algorithm': 'floyd_warshall'},
{'Pi': 0.73114013671875, 'score': 0.73114013671875, 'examples_seen': 128656, 'step': 2500, 'algorithm': 'floyd_warshall'},
{'Pi': 0.71868896484375, 'score': 0.71868896484375, 'examples_seen': 131232, 'step': 2550, 'algorithm': 'floyd_warshall'},
{'Pi': 0.70672607421875, 'score': 0.70672607421875, 'examples_seen': 133760, 'step': 2600, 'algorithm': 'floyd_warshall'},
{'Pi': 0.7437744140625, 'score': 0.7437744140625, 'examples_seen': 136304, 'step': 2650, 'algorithm': 'floyd_warshall'},
{'Pi': 0.7532958984375, 'score': 0.7532958984375, 'examples_seen': 138848, 'step': 2700, 'algorithm': 'floyd_warshall'},
{'Pi': 0.74017333984375, 'score': 0.74017333984375, 'examples_seen': 141488, 'step': 2750, 'algorithm': 'floyd_warshall'},
{'Pi': 0.70428466796875, 'score': 0.70428466796875, 'examples_seen': 144112, 'step': 2800, 'algorithm': 'floyd_warshall'},
{'Pi': 0.70166015625, 'score': 0.70166015625, 'examples_seen': 146672, 'step': 2850, 'algorithm': 'floyd_warshall'},
{'Pi': 0.72625732421875, 'score': 0.72625732421875, 'examples_seen': 149216, 'step': 2900, 'algorithm': 'floyd_warshall'},
{'Pi': 0.74114990234375, 'score': 0.74114990234375, 'examples_seen': 151776, 'step': 2950, 'algorithm': 'floyd_warshall'},
{'Pi': 0.72833251953125, 'score': 0.72833251953125, 'examples_seen': 154320, 'step': 3000, 'algorithm': 'floyd_warshall'},
{'Pi': 0.7359619140625, 'score': 0.7359619140625, 'examples_seen': 156832, 'step': 3050, 'algorithm': 'floyd_warshall'},
{'Pi': 0.790283203125, 'score': 0.790283203125, 'examples_seen': 159488, 'step': 3100, 'algorithm': 'floyd_warshall'},
{'Pi': 0.7235107421875, 'score': 0.7235107421875, 'examples_seen': 162112, 'step': 3150, 'algorithm': 'floyd_warshall'},
{'Pi': 0.78094482421875, 'score': 0.78094482421875, 'examples_seen': 164672, 'step': 3200, 'algorithm': 'floyd_warshall'},
{'Pi': 0.75408935546875, 'score': 0.75408935546875, 'examples_seen': 167248, 'step': 3250, 'algorithm': 'floyd_warshall'},
{'Pi': 0.7193603515625, 'score': 0.7193603515625, 'examples_seen': 169776, 'step': 3300, 'algorithm': 'floyd_warshall'},
{'Pi': 0.783935546875, 'score': 0.783935546875, 'examples_seen': 172336, 'step': 3350, 'algorithm': 'floyd_warshall'},
{'Pi': 0.80218505859375, 'score': 0.80218505859375, 'examples_seen': 174864, 'step': 3400, 'algorithm': 'floyd_warshall'},
{'Pi': 0.762939453125, 'score': 0.762939453125, 'examples_seen': 177504, 'step': 3450, 'algorithm': 'floyd_warshall'},
