{'in_hull': 0.33920972644376896, 'score': 0.33920972644376896, 'examples_seen': 48, 'step': 0, 'algorithm': 'graham_scan'},
{'in_hull': 0.47089129314786193, 'score': 0.47089129314786193, 'examples_seen': 872, 'step': 50, 'algorithm': 'graham_scan'},
{'in_hull': 0.6008298755186723, 'score': 0.6008298755186723, 'examples_seen': 1792, 'step': 100, 'algorithm': 'graham_scan'},
{'in_hull': 0.6243243243243244, 'score': 0.6243243243243244, 'examples_seen': 2575, 'step': 150, 'algorithm': 'graham_scan'},
{'in_hull': 0.757201646090535, 'score': 0.757201646090535, 'examples_seen': 3533, 'step': 200, 'algorithm': 'graham_scan'},
{'in_hull': 0.7941888619854721, 'score': 0.7941888619854721, 'examples_seen': 4294, 'step': 250, 'algorithm': 'graham_scan'},
{'in_hull': 0.8353188507358095, 'score': 0.8353188507358095, 'examples_seen': 5241, 'step': 300, 'algorithm': 'graham_scan'},
{'in_hull': 0.7988748241912799, 'score': 0.7988748241912799, 'examples_seen': 6108, 'step': 350, 'algorithm': 'graham_scan'},
{'in_hull': 0.8623853211009174, 'score': 0.8623853211009174, 'examples_seen': 6966, 'step': 400, 'algorithm': 'graham_scan'},
{'in_hull': 0.8323977546110666, 'score': 0.8323977546110666, 'examples_seen': 7870, 'step': 450, 'algorithm': 'graham_scan'},
{'in_hull': 0.8885869565217391, 'score': 0.8885869565217391, 'examples_seen': 8662, 'step': 500, 'algorithm': 'graham_scan'},
{'in_hull': 0.8852459016393442, 'score': 0.8852459016393442, 'examples_seen': 9599, 'step': 550, 'algorithm': 'graham_scan'},
{'in_hull': 0.8588082901554404, 'score': 0.8588082901554404, 'examples_seen': 10373, 'step': 600, 'algorithm': 'graham_scan'},
{'in_hull': 0.9024552090245521, 'score': 0.9024552090245521, 'examples_seen': 11326, 'step': 650, 'algorithm': 'graham_scan'},
{'in_hull': 0.8625261688764829, 'score': 0.8625261688764829, 'examples_seen': 12198, 'step': 700, 'algorithm': 'graham_scan'},
{'in_hull': 0.8687454677302392, 'score': 0.8687454677302392, 'examples_seen': 13033, 'step': 750, 'algorithm': 'graham_scan'},
{'in_hull': 0.9051724137931035, 'score': 0.9051724137931035, 'examples_seen': 13943, 'step': 800, 'algorithm': 'graham_scan'},
{'in_hull': 0.8904299583911235, 'score': 0.8904299583911235, 'examples_seen': 14758, 'step': 850, 'algorithm': 'graham_scan'},
{'in_hull': 0.8856230031948881, 'score': 0.8856230031948881, 'examples_seen': 15681, 'step': 900, 'algorithm': 'graham_scan'},
{'in_hull': 0.8972829688535454, 'score': 0.8972829688535454, 'examples_seen': 16445, 'step': 950, 'algorithm': 'graham_scan'},
{'in_hull': 0.9151785714285715, 'score': 0.9151785714285715, 'examples_seen': 17386, 'step': 1000, 'algorithm': 'graham_scan'},
{'in_hull': 0.8801169590643274, 'score': 0.8801169590643274, 'examples_seen': 18264, 'step': 1050, 'algorithm': 'graham_scan'},
{'in_hull': 0.9057104913678619, 'score': 0.9057104913678619, 'examples_seen': 19125, 'step': 1100, 'algorithm': 'graham_scan'},
{'in_hull': 0.8300609343263372, 'score': 0.8300609343263372, 'examples_seen': 20031, 'step': 1150, 'algorithm': 'graham_scan'},
{'in_hull': 0.9125827814569536, 'score': 0.9125827814569536, 'examples_seen': 20811, 'step': 1200, 'algorithm': 'graham_scan'},
{'in_hull': 0.8948126801152738, 'score': 0.8948126801152738, 'examples_seen': 21738, 'step': 1250, 'algorithm': 'graham_scan'},
{'in_hull': 0.8958195089581952, 'score': 0.8958195089581952, 'examples_seen': 22511, 'step': 1300, 'algorithm': 'graham_scan'},
{'in_hull': 0.9235294117647059, 'score': 0.9235294117647059, 'examples_seen': 23461, 'step': 1350, 'algorithm': 'graham_scan'},
{'in_hull': 0.8943937418513689, 'score': 0.8943937418513689, 'examples_seen': 24336, 'step': 1400, 'algorithm': 'graham_scan'},
{'in_hull': 0.9200863930885529, 'score': 0.9200863930885529, 'examples_seen': 25179, 'step': 1450, 'algorithm': 'graham_scan'},
{'in_hull': 0.9133105802047783, 'score': 0.9133105802047783, 'examples_seen': 26086, 'step': 1500, 'algorithm': 'graham_scan'},
{'in_hull': 0.88, 'score': 0.88, 'examples_seen': 26883, 'step': 1550, 'algorithm': 'graham_scan'},
{'in_hull': 0.9114927344782033, 'score': 0.9114927344782033, 'examples_seen': 27818, 'step': 1600, 'algorithm': 'graham_scan'},
{'in_hull': 0.9196185286103542, 'score': 0.9196185286103542, 'examples_seen': 28598, 'step': 1650, 'algorithm': 'graham_scan'},
{'in_hull': 0.8626373626373626, 'score': 0.8626373626373626, 'examples_seen': 29528, 'step': 1700, 'algorithm': 'graham_scan'},
{'in_hull': 0.8729963008631318, 'score': 0.8729963008631318, 'examples_seen': 30415, 'step': 1750, 'algorithm': 'graham_scan'},
{'in_hull': 0.9094858797972484, 'score': 0.9094858797972484, 'examples_seen': 31263, 'step': 1800, 'algorithm': 'graham_scan'},
{'in_hull': 0.9046679815910585, 'score': 0.9046679815910585, 'examples_seen': 32169, 'step': 1850, 'algorithm': 'graham_scan'},
