{'pred': 0.041158536585365856, 'score': 0.041158536585365856, 'examples_seen': 16, 'step': 0, 'algorithm': 'heapsort'},
{'pred': 0.09451219512195122, 'score': 0.09451219512195122, 'examples_seen': 365, 'step': 50, 'algorithm': 'heapsort'},
{'pred': 0.11928353658536585, 'score': 0.11928353658536585, 'examples_seen': 813, 'step': 100, 'algorithm': 'heapsort'},
{'pred': 0.24733231707317074, 'score': 0.24733231707317074, 'examples_seen': 1192, 'step': 150, 'algorithm': 'heapsort'},
{'pred': 0.22484756097560976, 'score': 0.22484756097560976, 'examples_seen': 1650, 'step': 200, 'algorithm': 'heapsort'},
{'pred': 0.16158536585365854, 'score': 0.16158536585365854, 'examples_seen': 2033, 'step': 250, 'algorithm': 'heapsort'},
{'pred': 0.2145579268292683, 'score': 0.2145579268292683, 'examples_seen': 2500, 'step': 300, 'algorithm': 'heapsort'},
{'pred': 0.15434451219512196, 'score': 0.15434451219512196, 'examples_seen': 2942, 'step': 350, 'algorithm': 'heapsort'},
{'pred': 0.16234756097560976, 'score': 0.16234756097560976, 'examples_seen': 3316, 'step': 400, 'algorithm': 'heapsort'},
{'pred': 0.16501524390243902, 'score': 0.16501524390243902, 'examples_seen': 3803, 'step': 450, 'algorithm': 'heapsort'},
{'pred': 0.15320121951219512, 'score': 0.15320121951219512, 'examples_seen': 4191, 'step': 500, 'algorithm': 'heapsort'},
{'pred': 0.2614329268292683, 'score': 0.2614329268292683, 'examples_seen': 4638, 'step': 550, 'algorithm': 'heapsort'},
{'pred': 0.29077743902439024, 'score': 0.29077743902439024, 'examples_seen': 4979, 'step': 600, 'algorithm': 'heapsort'},
{'pred': 0.17416158536585366, 'score': 0.17416158536585366, 'examples_seen': 5452, 'step': 650, 'algorithm': 'heapsort'},
{'pred': 0.22522865853658536, 'score': 0.22522865853658536, 'examples_seen': 5909, 'step': 700, 'algorithm': 'heapsort'},
{'pred': 0.12271341463414634, 'score': 0.12271341463414634, 'examples_seen': 6292, 'step': 750, 'algorithm': 'heapsort'},
{'pred': 0.21722560975609756, 'score': 0.21722560975609756, 'examples_seen': 6748, 'step': 800, 'algorithm': 'heapsort'},
{'pred': 0.18978658536585366, 'score': 0.18978658536585366, 'examples_seen': 7133, 'step': 850, 'algorithm': 'heapsort'},
{'pred': 0.14138719512195122, 'score': 0.14138719512195122, 'examples_seen': 7595, 'step': 900, 'algorithm': 'heapsort'},
