{'min': 0.20654296875, 'score': 0.20654296875, 'examples_seen': 80, 'step': 0, 'algorithm': 'minimum'},
{'min': 0.5654296875, 'score': 0.5654296875, 'examples_seen': 1536, 'step': 50, 'algorithm': 'minimum'},
{'min': 0.81298828125, 'score': 0.81298828125, 'examples_seen': 3120, 'step': 100, 'algorithm': 'minimum'},
{'min': 0.732177734375, 'score': 0.732177734375, 'examples_seen': 4512, 'step': 150, 'algorithm': 'minimum'},
{'min': 0.881591796875, 'score': 0.881591796875, 'examples_seen': 6112, 'step': 200, 'algorithm': 'minimum'},
{'min': 0.858154296875, 'score': 0.858154296875, 'examples_seen': 7440, 'step': 250, 'algorithm': 'minimum'},
{'min': 0.842041015625, 'score': 0.842041015625, 'examples_seen': 9088, 'step': 300, 'algorithm': 'minimum'},
{'min': 0.83642578125, 'score': 0.83642578125, 'examples_seen': 10624, 'step': 350, 'algorithm': 'minimum'},
{'min': 0.74267578125, 'score': 0.74267578125, 'examples_seen': 12032, 'step': 400, 'algorithm': 'minimum'},
{'min': 0.632568359375, 'score': 0.632568359375, 'examples_seen': 13632, 'step': 450, 'algorithm': 'minimum'},
{'min': 0.819580078125, 'score': 0.819580078125, 'examples_seen': 15008, 'step': 500, 'algorithm': 'minimum'},
{'min': 0.793701171875, 'score': 0.793701171875, 'examples_seen': 16608, 'step': 550, 'algorithm': 'minimum'},
{'min': 0.862548828125, 'score': 0.862548828125, 'examples_seen': 17984, 'step': 600, 'algorithm': 'minimum'},
{'min': 0.713134765625, 'score': 0.713134765625, 'examples_seen': 19600, 'step': 650, 'algorithm': 'minimum'},
{'min': 0.86865234375, 'score': 0.86865234375, 'examples_seen': 21120, 'step': 700, 'algorithm': 'minimum'},
{'min': 0.82666015625, 'score': 0.82666015625, 'examples_seen': 22576, 'step': 750, 'algorithm': 'minimum'},
{'min': 0.6376953125, 'score': 0.6376953125, 'examples_seen': 24128, 'step': 800, 'algorithm': 'minimum'},
{'min': 0.7236328125, 'score': 0.7236328125, 'examples_seen': 25536, 'step': 850, 'algorithm': 'minimum'},
{'min': 0.636474609375, 'score': 0.636474609375, 'examples_seen': 27152, 'step': 900, 'algorithm': 'minimum'},
{'min': 0.9208984375, 'score': 0.9208984375, 'examples_seen': 28464, 'step': 950, 'algorithm': 'minimum'},
{'min': 0.942626953125, 'score': 0.942626953125, 'examples_seen': 30112, 'step': 1000, 'algorithm': 'minimum'},
{'min': 0.753173828125, 'score': 0.753173828125, 'examples_seen': 31616, 'step': 1050, 'algorithm': 'minimum'},
{'min': 0.735595703125, 'score': 0.735595703125, 'examples_seen': 33072, 'step': 1100, 'algorithm': 'minimum'},
{'min': 0.774658203125, 'score': 0.774658203125, 'examples_seen': 34656, 'step': 1150, 'algorithm': 'minimum'},
{'min': 0.909423828125, 'score': 0.909423828125, 'examples_seen': 36032, 'step': 1200, 'algorithm': 'minimum'},
{'min': 0.840087890625, 'score': 0.840087890625, 'examples_seen': 37648, 'step': 1250, 'algorithm': 'minimum'},
{'min': 0.724609375, 'score': 0.724609375, 'examples_seen': 38960, 'step': 1300, 'algorithm': 'minimum'},
