{'in_mst': 0.26288796533734193, 'score': 0.26288796533734193, 'examples_seen': 173, 'step': 0, 'algorithm': 'mst_kruskal'},
{'in_mst': 0.4153417766999012, 'score': 0.4153417766999012, 'examples_seen': 2103, 'step': 50, 'algorithm': 'mst_kruskal'},
{'in_mst': 0.3523187753264295, 'score': 0.3523187753264295, 'examples_seen': 4499, 'step': 100, 'algorithm': 'mst_kruskal'},
{'in_mst': 0.4224417098445596, 'score': 0.4224417098445596, 'examples_seen': 6329, 'step': 150, 'algorithm': 'mst_kruskal'},
{'in_mst': 0.4681001057455058, 'score': 0.4681001057455058, 'examples_seen': 8690, 'step': 200, 'algorithm': 'mst_kruskal'},
{'in_mst': 0.39366722484396405, 'score': 0.39366722484396405, 'examples_seen': 10524, 'step': 250, 'algorithm': 'mst_kruskal'},
{'in_mst': 0.525543100882849, 'score': 0.525543100882849, 'examples_seen': 12928, 'step': 300, 'algorithm': 'mst_kruskal'},
{'in_mst': 0.585691188358933, 'score': 0.585691188358933, 'examples_seen': 15114, 'step': 350, 'algorithm': 'mst_kruskal'},
{'in_mst': 0.5687426556991775, 'score': 0.5687426556991775, 'examples_seen': 17073, 'step': 400, 'algorithm': 'mst_kruskal'},
{'in_mst': 0.19514494461465945, 'score': 0.19514494461465945, 'examples_seen': 19361, 'step': 450, 'algorithm': 'mst_kruskal'},
{'in_mst': 0.6325301204819278, 'score': 0.6325301204819278, 'examples_seen': 21203, 'step': 500, 'algorithm': 'mst_kruskal'},
{'in_mst': 0.3753925734343248, 'score': 0.3753925734343248, 'examples_seen': 23596, 'step': 550, 'algorithm': 'mst_kruskal'},
{'in_mst': 0.362426614481409, 'score': 0.362426614481409, 'examples_seen': 25364, 'step': 600, 'algorithm': 'mst_kruskal'},
{'in_mst': 0.47830170956227697, 'score': 0.47830170956227697, 'examples_seen': 27740, 'step': 650, 'algorithm': 'mst_kruskal'},
{'in_mst': 0.4512751677852349, 'score': 0.4512751677852349, 'examples_seen': 29881, 'step': 700, 'algorithm': 'mst_kruskal'},
{'in_mst': 0.5218572487033836, 'score': 0.5218572487033836, 'examples_seen': 31896, 'step': 750, 'algorithm': 'mst_kruskal'},
{'in_mst': 0.5065282365895862, 'score': 0.5065282365895862, 'examples_seen': 34217, 'step': 800, 'algorithm': 'mst_kruskal'},
{'in_mst': 0.5226608187134504, 'score': 0.5226608187134504, 'examples_seen': 36039, 'step': 850, 'algorithm': 'mst_kruskal'},
{'in_mst': 0.5131068714130604, 'score': 0.5131068714130604, 'examples_seen': 38358, 'step': 900, 'algorithm': 'mst_kruskal'},
{'in_mst': 0.44692510655571344, 'score': 0.44692510655571344, 'examples_seen': 40181, 'step': 950, 'algorithm': 'mst_kruskal'},
{'in_mst': 0.5764119601328903, 'score': 0.5764119601328903, 'examples_seen': 42537, 'step': 1000, 'algorithm': 'mst_kruskal'},
{'in_mst': 0.5685226685054301, 'score': 0.5685226685054301, 'examples_seen': 44771, 'step': 1050, 'algorithm': 'mst_kruskal'},
{'in_mst': 0.5850195243166489, 'score': 0.5850195243166489, 'examples_seen': 46769, 'step': 1100, 'algorithm': 'mst_kruskal'},
{'in_mst': 0.5450864351347142, 'score': 0.5450864351347142, 'examples_seen': 49134, 'step': 1150, 'algorithm': 'mst_kruskal'},
{'in_mst': 0.5314706324170045, 'score': 0.5314706324170045, 'examples_seen': 50989, 'step': 1200, 'algorithm': 'mst_kruskal'},
{'in_mst': 0.456549935149157, 'score': 0.456549935149157, 'examples_seen': 53350, 'step': 1250, 'algorithm': 'mst_kruskal'},
{'in_mst': 0.5509195717814986, 'score': 0.5509195717814986, 'examples_seen': 55196, 'step': 1300, 'algorithm': 'mst_kruskal'},
{'in_mst': 0.5624446412754651, 'score': 0.5624446412754651, 'examples_seen': 57522, 'step': 1350, 'algorithm': 'mst_kruskal'},
{'in_mst': 0.39729036982790183, 'score': 0.39729036982790183, 'examples_seen': 59750, 'step': 1400, 'algorithm': 'mst_kruskal'},
{'in_mst': 0.6121348314606742, 'score': 0.6121348314606742, 'examples_seen': 61698, 'step': 1450, 'algorithm': 'mst_kruskal'},
