{'median': 0.00341796875, 'score': 0.00341796875, 'examples_seen': 46, 'step': 0, 'algorithm': 'quickselect'},
{'median': 0.044189453125, 'score': 0.044189453125, 'examples_seen': 838, 'step': 50, 'algorithm': 'quickselect'},
{'median': 0.064697265625, 'score': 0.064697265625, 'examples_seen': 1803, 'step': 100, 'algorithm': 'quickselect'},
{'median': 0.05859375, 'score': 0.05859375, 'examples_seen': 2582, 'step': 150, 'algorithm': 'quickselect'},
{'median': 0.07373046875, 'score': 0.07373046875, 'examples_seen': 3568, 'step': 200, 'algorithm': 'quickselect'},
{'median': 0.0517578125, 'score': 0.0517578125, 'examples_seen': 4342, 'step': 250, 'algorithm': 'quickselect'},
{'median': 0.10595703125, 'score': 0.10595703125, 'examples_seen': 5326, 'step': 300, 'algorithm': 'quickselect'},
{'median': 0.084228515625, 'score': 0.084228515625, 'examples_seen': 6243, 'step': 350, 'algorithm': 'quickselect'},
{'median': 0.07568359375, 'score': 0.07568359375, 'examples_seen': 7064, 'step': 400, 'algorithm': 'quickselect'},
{'median': 0.08251953125, 'score': 0.08251953125, 'examples_seen': 8016, 'step': 450, 'algorithm': 'quickselect'},
{'median': 0.044921875, 'score': 0.044921875, 'examples_seen': 8801, 'step': 500, 'algorithm': 'quickselect'},
{'median': 0.0234375, 'score': 0.0234375, 'examples_seen': 9762, 'step': 550, 'algorithm': 'quickselect'},
{'median': 0.0732421875, 'score': 0.0732421875, 'examples_seen': 10547, 'step': 600, 'algorithm': 'quickselect'},
{'median': 0.090087890625, 'score': 0.090087890625, 'examples_seen': 11518, 'step': 650, 'algorithm': 'quickselect'},
{'median': 0.078369140625, 'score': 0.078369140625, 'examples_seen': 12435, 'step': 700, 'algorithm': 'quickselect'},
{'median': 0.095703125, 'score': 0.095703125, 'examples_seen': 13238, 'step': 750, 'algorithm': 'quickselect'},
{'median': 0.075927734375, 'score': 0.075927734375, 'examples_seen': 14189, 'step': 800, 'algorithm': 'quickselect'},
{'median': 0.115478515625, 'score': 0.115478515625, 'examples_seen': 14962, 'step': 850, 'algorithm': 'quickselect'},
{'median': 0.0947265625, 'score': 0.0947265625, 'examples_seen': 15914, 'step': 900, 'algorithm': 'quickselect'},
{'median': 0.077392578125, 'score': 0.077392578125, 'examples_seen': 16686, 'step': 950, 'algorithm': 'quickselect'},
{'median': 0.086181640625, 'score': 0.086181640625, 'examples_seen': 17665, 'step': 1000, 'algorithm': 'quickselect'},
{'median': 0.079833984375, 'score': 0.079833984375, 'examples_seen': 18588, 'step': 1050, 'algorithm': 'quickselect'},
{'median': 0.043212890625, 'score': 0.043212890625, 'examples_seen': 19402, 'step': 1100, 'algorithm': 'quickselect'},
{'median': 0.11279296875, 'score': 0.11279296875, 'examples_seen': 20359, 'step': 1150, 'algorithm': 'quickselect'},
{'median': 0.08544921875, 'score': 0.08544921875, 'examples_seen': 21142, 'step': 1200, 'algorithm': 'quickselect'},
{'median': 0.09326171875, 'score': 0.09326171875, 'examples_seen': 22118, 'step': 1250, 'algorithm': 'quickselect'},
{'median': 0.10498046875, 'score': 0.10498046875, 'examples_seen': 22895, 'step': 1300, 'algorithm': 'quickselect'},
{'median': 0.103759765625, 'score': 0.103759765625, 'examples_seen': 23870, 'step': 1350, 'algorithm': 'quickselect'},
{'median': 0.106689453125, 'score': 0.106689453125, 'examples_seen': 24772, 'step': 1400, 'algorithm': 'quickselect'},
{'median': 0.090576171875, 'score': 0.090576171875, 'examples_seen': 25595, 'step': 1450, 'algorithm': 'quickselect'},
{'median': 0.078369140625, 'score': 0.078369140625, 'examples_seen': 26546, 'step': 1500, 'algorithm': 'quickselect'},
{'median': 0.063720703125, 'score': 0.063720703125, 'examples_seen': 27310, 'step': 1550, 'algorithm': 'quickselect'},
{'median': 0.093505859375, 'score': 0.093505859375, 'examples_seen': 28279, 'step': 1600, 'algorithm': 'quickselect'},
{'median': 0.107421875, 'score': 0.107421875, 'examples_seen': 29038, 'step': 1650, 'algorithm': 'quickselect'},
{'median': 0.099609375, 'score': 0.099609375, 'examples_seen': 30027, 'step': 1700, 'algorithm': 'quickselect'},
{'median': 0.09716796875, 'score': 0.09716796875, 'examples_seen': 30956, 'step': 1750, 'algorithm': 'quickselect'},
