{'intersect': 0.6670021808421406, 'score': 0.6670021808421406, 'examples_seen': 48, 'step': 0, 'algorithm': 'segments_intersect'},
{'intersect': 0.6266952177016417, 'score': 0.6266952177016417, 'examples_seen': 2608, 'step': 50, 'algorithm': 'segments_intersect'},
{'intersect': 0.5639128647759967, 'score': 0.5639128647759967, 'examples_seen': 5072, 'step': 100, 'algorithm': 'segments_intersect'},
{'intersect': 0.543271409152696, 'score': 0.543271409152696, 'examples_seen': 7696, 'step': 150, 'algorithm': 'segments_intersect'},
{'intersect': 0.3124783961285862, 'score': 0.3124783961285862, 'examples_seen': 10320, 'step': 200, 'algorithm': 'segments_intersect'},
{'intersect': 0.5800214822771214, 'score': 0.5800214822771214, 'examples_seen': 12720, 'step': 250, 'algorithm': 'segments_intersect'},
{'intersect': 0.513874614594039, 'score': 0.513874614594039, 'examples_seen': 15344, 'step': 300, 'algorithm': 'segments_intersect'},
{'intersect': 0.6105176663927692, 'score': 0.6105176663927692, 'examples_seen': 17968, 'step': 350, 'algorithm': 'segments_intersect'},
{'intersect': 0.664804469273743, 'score': 0.664804469273743, 'examples_seen': 20528, 'step': 400, 'algorithm': 'segments_intersect'},
{'intersect': 0.6682400539447066, 'score': 0.6682400539447066, 'examples_seen': 22992, 'step': 450, 'algorithm': 'segments_intersect'},
{'intersect': 0.4440275171982489, 'score': 0.4440275171982489, 'examples_seen': 25616, 'step': 500, 'algorithm': 'segments_intersect'},
{'intersect': 0.6476190476190475, 'score': 0.6476190476190475, 'examples_seen': 28240, 'step': 550, 'algorithm': 'segments_intersect'},
{'intersect': 0.6503899626992201, 'score': 0.6503899626992201, 'examples_seen': 30640, 'step': 600, 'algorithm': 'segments_intersect'},
{'intersect': 0.5922473012757605, 'score': 0.5922473012757605, 'examples_seen': 33264, 'step': 650, 'algorithm': 'segments_intersect'},
{'intersect': 0.6596316193399846, 'score': 0.6596316193399846, 'examples_seen': 35888, 'step': 700, 'algorithm': 'segments_intersect'},
{'intersect': 0.6685977168171751, 'score': 0.6685977168171751, 'examples_seen': 38448, 'step': 750, 'algorithm': 'segments_intersect'},
{'intersect': 0.6710055320533681, 'score': 0.6710055320533681, 'examples_seen': 40912, 'step': 800, 'algorithm': 'segments_intersect'},
{'intersect': 0.6586548597933798, 'score': 0.6586548597933798, 'examples_seen': 43536, 'step': 850, 'algorithm': 'segments_intersect'},
{'intersect': 0.6640368178829718, 'score': 0.6640368178829718, 'examples_seen': 46160, 'step': 900, 'algorithm': 'segments_intersect'},
{'intersect': 0.6896995708154507, 'score': 0.6896995708154507, 'examples_seen': 48560, 'step': 950, 'algorithm': 'segments_intersect'},
{'intersect': 0.658696364231903, 'score': 0.658696364231903, 'examples_seen': 51184, 'step': 1000, 'algorithm': 'segments_intersect'},
{'intersect': 0.692037881445107, 'score': 0.692037881445107, 'examples_seen': 53808, 'step': 1050, 'algorithm': 'segments_intersect'},
{'intersect': 0.7110617832038474, 'score': 0.7110617832038474, 'examples_seen': 56368, 'step': 1100, 'algorithm': 'segments_intersect'},
{'intersect': 0.6085271317829457, 'score': 0.6085271317829457, 'examples_seen': 58832, 'step': 1150, 'algorithm': 'segments_intersect'},
{'intersect': 0.47220267417311756, 'score': 0.47220267417311756, 'examples_seen': 61456, 'step': 1200, 'algorithm': 'segments_intersect'},
{'intersect': 0.7059783717608652, 'score': 0.7059783717608652, 'examples_seen': 64080, 'step': 1250, 'algorithm': 'segments_intersect'},
{'intersect': 0.6985469928269267, 'score': 0.6985469928269267, 'examples_seen': 66480, 'step': 1300, 'algorithm': 'segments_intersect'},
{'intersect': 0.6906087268809481, 'score': 0.6906087268809481, 'examples_seen': 69104, 'step': 1350, 'algorithm': 'segments_intersect'},
{'intersect': 0.7122086314331871, 'score': 0.7122086314331871, 'examples_seen': 71728, 'step': 1400, 'algorithm': 'segments_intersect'},
{'intersect': 0.7222813364545649, 'score': 0.7222813364545649, 'examples_seen': 74288, 'step': 1450, 'algorithm': 'segments_intersect'},
