{'selected': 0.0023696682464454974, 'score': 0.0023696682464454974, 'examples_seen': 64, 'step': 0, 'algorithm': 'task_scheduling'},
{'selected': 0.7845974329054842, 'score': 0.7845974329054842, 'examples_seen': 1248, 'step': 50, 'algorithm': 'task_scheduling'},
{'selected': 0.7993358633776091, 'score': 0.7993358633776091, 'examples_seen': 2560, 'step': 100, 'algorithm': 'task_scheduling'},
{'selected': 0.8155626692932776, 'score': 0.8155626692932776, 'examples_seen': 3664, 'step': 150, 'algorithm': 'task_scheduling'},
{'selected': 0.7923892100192678, 'score': 0.7923892100192678, 'examples_seen': 4944, 'step': 200, 'algorithm': 'task_scheduling'},
{'selected': 0.8067597354886114, 'score': 0.8067597354886114, 'examples_seen': 6000, 'step': 250, 'algorithm': 'task_scheduling'},
{'selected': 0.8107317073170731, 'score': 0.8107317073170731, 'examples_seen': 7296, 'step': 300, 'algorithm': 'task_scheduling'},
{'selected': 0.7919463087248323, 'score': 0.7919463087248323, 'examples_seen': 8496, 'step': 350, 'algorithm': 'task_scheduling'},
{'selected': 0.8637195919434999, 'score': 0.8637195919434999, 'examples_seen': 9728, 'step': 400, 'algorithm': 'task_scheduling'},
{'selected': 0.8550799381124291, 'score': 0.8550799381124291, 'examples_seen': 10944, 'step': 450, 'algorithm': 'task_scheduling'},
{'selected': 0.8371623327442564, 'score': 0.8371623327442564, 'examples_seen': 12032, 'step': 500, 'algorithm': 'task_scheduling'},
{'selected': 0.8296032553407935, 'score': 0.8296032553407935, 'examples_seen': 13344, 'step': 550, 'algorithm': 'task_scheduling'},
{'selected': 0.8652519893899205, 'score': 0.8652519893899205, 'examples_seen': 14432, 'step': 600, 'algorithm': 'task_scheduling'},
{'selected': 0.8195, 'score': 0.8195, 'examples_seen': 15728, 'step': 650, 'algorithm': 'task_scheduling'},
{'selected': 0.8395248925954005, 'score': 0.8395248925954005, 'examples_seen': 16960, 'step': 700, 'algorithm': 'task_scheduling'},
{'selected': 0.8806894694317264, 'score': 0.8806894694317264, 'examples_seen': 18096, 'step': 750, 'algorithm': 'task_scheduling'},
{'selected': 0.8686605981794537, 'score': 0.8686605981794537, 'examples_seen': 19376, 'step': 800, 'algorithm': 'task_scheduling'},
{'selected': 0.8920032976092334, 'score': 0.8920032976092334, 'examples_seen': 20496, 'step': 850, 'algorithm': 'task_scheduling'},
{'selected': 0.8609794628751976, 'score': 0.8609794628751976, 'examples_seen': 21792, 'step': 900, 'algorithm': 'task_scheduling'},
{'selected': 0.8917692806221645, 'score': 0.8917692806221645, 'examples_seen': 22880, 'step': 950, 'algorithm': 'task_scheduling'},
{'selected': 0.8363821138211383, 'score': 0.8363821138211383, 'examples_seen': 24160, 'step': 1000, 'algorithm': 'task_scheduling'},
{'selected': 0.9210064365125804, 'score': 0.9210064365125804, 'examples_seen': 25344, 'step': 1050, 'algorithm': 'task_scheduling'},
{'selected': 0.7828354670459934, 'score': 0.7828354670459934, 'examples_seen': 26544, 'step': 1100, 'algorithm': 'task_scheduling'},
{'selected': 0.7852138197632279, 'score': 0.7852138197632279, 'examples_seen': 27792, 'step': 1150, 'algorithm': 'task_scheduling'},
{'selected': 0.9085209461385009, 'score': 0.9085209461385009, 'examples_seen': 28928, 'step': 1200, 'algorithm': 'task_scheduling'},
{'selected': 0.8896739130434783, 'score': 0.8896739130434783, 'examples_seen': 30240, 'step': 1250, 'algorithm': 'task_scheduling'},
