{'topo_head': 0.015625, 'score': 0.023628048780487805, 'examples_seen': 19, 'step': 0, 'algorithm': 'topological_sort'},
{'topo_head': 0.8125, 'score': 0.42816310975609756, 'examples_seen': 536, 'step': 50, 'algorithm': 'topological_sort'},
{'topo_head': 0.625, 'score': 0.3551829268292683, 'examples_seen': 1158, 'step': 100, 'algorithm': 'topological_sort'},
{'topo_head': 0.9375, 'score': 0.5432545731707317, 'examples_seen': 1691, 'step': 150, 'algorithm': 'topological_sort'},
{'topo_head': 1.0, 'score': 0.5903201219512195, 'examples_seen': 2289, 'step': 200, 'algorithm': 'topological_sort'},
{'topo_head': 0.984375, 'score': 0.5931783536585366, 'examples_seen': 2807, 'step': 250, 'algorithm': 'topological_sort'},
{'topo_head': 0.9375, 'score': 0.5588795731707317, 'examples_seen': 3446, 'step': 300, 'algorithm': 'topological_sort'},
{'topo_head': 0.84375, 'score': 0.4996189024390244, 'examples_seen': 4024, 'step': 350, 'algorithm': 'topological_sort'},
{'topo_head': 0.984375, 'score': 0.6208079268292683, 'examples_seen': 4581, 'step': 400, 'algorithm': 'topological_sort'},
{'topo_head': 0.984375, 'score': 0.5880335365853658, 'examples_seen': 5184, 'step': 450, 'algorithm': 'topological_sort'},
{'topo_head': 0.890625, 'score': 0.5623094512195121, 'examples_seen': 5710, 'step': 500, 'algorithm': 'topological_sort'},
{'topo_head': 0.890625, 'score': 0.5594512195121951, 'examples_seen': 6322, 'step': 550, 'algorithm': 'topological_sort'},
{'topo_head': 0.875, 'score': 0.5522103658536586, 'examples_seen': 6846, 'step': 600, 'algorithm': 'topological_sort'},
{'topo_head': 0.890625, 'score': 0.5360137195121951, 'examples_seen': 7463, 'step': 650, 'algorithm': 'topological_sort'},
{'topo_head': 0.984375, 'score': 0.6198551829268293, 'examples_seen': 8039, 'step': 700, 'algorithm': 'topological_sort'},
{'topo_head': 0.859375, 'score': 0.5055259146341463, 'examples_seen': 8586, 'step': 750, 'algorithm': 'topological_sort'},
{'topo_head': 0.9375, 'score': 0.592797256097561, 'examples_seen': 9195, 'step': 800, 'algorithm': 'topological_sort'},
{'topo_head': 0.9375, 'score': 0.609375, 'examples_seen': 9723, 'step': 850, 'algorithm': 'topological_sort'},
{'topo_head': 0.9375, 'score': 0.5899390243902439, 'examples_seen': 10333, 'step': 900, 'algorithm': 'topological_sort'},
{'topo_head': 0.984375, 'score': 0.6377667682926829, 'examples_seen': 10858, 'step': 950, 'algorithm': 'topological_sort'},
{'topo_head': 0.9375, 'score': 0.5855564024390244, 'examples_seen': 11477, 'step': 1000, 'algorithm': 'topological_sort'},
{'topo_head': 0.890625, 'score': 0.5691692073170732, 'examples_seen': 12045, 'step': 1050, 'algorithm': 'topological_sort'},
{'topo_head': 0.984375, 'score': 0.6147103658536586, 'examples_seen': 12605, 'step': 1100, 'algorithm': 'topological_sort'},
{'topo_head': 0.796875, 'score': 0.5001905487804879, 'examples_seen': 13207, 'step': 1150, 'algorithm': 'topological_sort'},
{'topo_head': 0.984375, 'score': 0.6364329268292683, 'examples_seen': 13732, 'step': 1200, 'algorithm': 'topological_sort'},
{'topo_head': 0.828125, 'score': 0.5241996951219512, 'examples_seen': 14344, 'step': 1250, 'algorithm': 'topological_sort'},
{'topo_head': 0.984375, 'score': 0.6301448170731707, 'examples_seen': 14864, 'step': 1300, 'algorithm': 'topological_sort'},
{'topo_head': 0.890625, 'score': 0.5586890243902439, 'examples_seen': 15491, 'step': 1350, 'algorithm': 'topological_sort'},
{'topo_head': 0.84375, 'score': 0.5657393292682926, 'examples_seen': 16064, 'step': 1400, 'algorithm': 'topological_sort'},
