{'selected': 0.18060200668896323, 'score': 0.18060200668896323, 'examples_seen': 64, 'step': 0, 'algorithm': 'activity_selector'}
{'selected': 0.6864686468646866, 'score': 0.6864686468646866, 'examples_seen': 2080, 'step': 50, 'algorithm': 'activity_selector'}
{'selected': 0.696588868940754, 'score': 0.696588868940754, 'examples_seen': 4064, 'step': 100, 'algorithm': 'activity_selector'}
{'selected': 0.6985645933014354, 'score': 0.6985645933014354, 'examples_seen': 6016, 'step': 150, 'algorithm': 'activity_selector'}
{'selected': 0.6088794926004228, 'score': 0.6088794926004228, 'examples_seen': 8016, 'step': 200, 'algorithm': 'activity_selector'}
{'selected': 0.6714285714285715, 'score': 0.6714285714285715, 'examples_seen': 9952, 'step': 250, 'algorithm': 'activity_selector'}
{'selected': 0.7097902097902098, 'score': 0.7097902097902098, 'examples_seen': 12000, 'step': 300, 'algorithm': 'activity_selector'}
{'selected': 0.7404580152671757, 'score': 0.7404580152671757, 'examples_seen': 14032, 'step': 350, 'algorithm': 'activity_selector'}
{'selected': 0.7372881355932204, 'score': 0.7372881355932204, 'examples_seen': 16000, 'step': 400, 'algorithm': 'activity_selector'}
{'selected': 0.7628083491461101, 'score': 0.7628083491461101, 'examples_seen': 18000, 'step': 450, 'algorithm': 'activity_selector'}
{'selected': 0.7985739750445633, 'score': 0.7985739750445633, 'examples_seen': 19952, 'step': 500, 'algorithm': 'activity_selector'}
{'selected': 0.7993527508090614, 'score': 0.7993527508090614, 'examples_seen': 21920, 'step': 550, 'algorithm': 'activity_selector'}
{'selected': 0.8085106382978723, 'score': 0.8085106382978723, 'examples_seen': 23904, 'step': 600, 'algorithm': 'activity_selector'}
{'selected': 0.8046744574290484, 'score': 0.8046744574290484, 'examples_seen': 25920, 'step': 650, 'algorithm': 'activity_selector'}
{'selected': 0.8170940170940171, 'score': 0.8170940170940171, 'examples_seen': 27952, 'step': 700, 'algorithm': 'activity_selector'}
{'selected': 0.8316498316498316, 'score': 0.8316498316498316, 'examples_seen': 29936, 'step': 750, 'algorithm': 'activity_selector'}
{'selected': 0.813868613138686, 'score': 0.813868613138686, 'examples_seen': 31920, 'step': 800, 'algorithm': 'activity_selector'}
{'selected': 0.8767123287671232, 'score': 0.8767123287671232, 'examples_seen': 33904, 'step': 850, 'algorithm': 'activity_selector'}
{'selected': 0.8897058823529411, 'score': 0.8897058823529411, 'examples_seen': 35856, 'step': 900, 'algorithm': 'activity_selector'}
{'selected': 0.8768115942028984, 'score': 0.8768115942028984, 'examples_seen': 37808, 'step': 950, 'algorithm': 'activity_selector'}
