I0715 13:45:39.891183 140474056287744 run.py:723] (val) algo binary_search step 0: {'return': 0.054443359375, 'score': 0.054443359375, 'examples_seen': 96, 'step': 0, 'algorithm': 'binary_search'}
I0715 13:46:47.449350 140474056287744 run.py:723] (val) algo binary_search step 50: {'return': 0.28564453125, 'score': 0.28564453125, 'examples_seen': 3929, 'step': 50, 'algorithm': 'binary_search'}
I0715 13:46:49.603349 140474056287744 run.py:723] (val) algo binary_search step 100: {'return': 0.49169921875, 'score': 0.49169921875, 'examples_seen': 7769, 'step': 100, 'algorithm': 'binary_search'}
I0715 13:46:51.735632 140474056287744 run.py:723] (val) algo binary_search step 150: {'return': 0.55078125, 'score': 0.55078125, 'examples_seen': 11585, 'step': 150, 'algorithm': 'binary_search'}
I0715 13:46:53.877225 140474056287744 run.py:723] (val) algo binary_search step 200: {'return': 0.605224609375, 'score': 0.605224609375, 'examples_seen': 15405, 'step': 200, 'algorithm': 'binary_search'}
I0715 13:46:56.021343 140474056287744 run.py:723] (val) algo binary_search step 250: {'return': 0.43359375, 'score': 0.43359375, 'examples_seen': 19220, 'step': 250, 'algorithm': 'binary_search'}
I0715 13:46:58.149804 140474056287744 run.py:723] (val) algo binary_search step 300: {'return': 0.43701171875, 'score': 0.43701171875, 'examples_seen': 23101, 'step': 300, 'algorithm': 'binary_search'}
I0715 13:47:00.349784 140474056287744 run.py:723] (val) algo binary_search step 350: {'return': 0.56494140625, 'score': 0.56494140625, 'examples_seen': 26975, 'step': 350, 'algorithm': 'binary_search'}
I0715 13:47:02.501763 140474056287744 run.py:723] (val) algo binary_search step 400: {'return': 0.5908203125, 'score': 0.5908203125, 'examples_seen': 30803, 'step': 400, 'algorithm': 'binary_search'}
I0715 13:47:04.656370 140474056287744 run.py:723] (val) algo binary_search step 450: {'return': 0.696533203125, 'score': 0.696533203125, 'examples_seen': 34648, 'step': 450, 'algorithm': 'binary_search'}
I0715 13:47:06.812435 140474056287744 run.py:723] (val) algo binary_search step 500: {'return': 0.726806640625, 'score': 0.726806640625, 'examples_seen': 38465, 'step': 500, 'algorithm': 'binary_search'}
I0715 13:47:08.998329 140474056287744 run.py:723] (val) algo binary_search step 550: {'return': 0.762939453125, 'score': 0.762939453125, 'examples_seen': 42280, 'step': 550, 'algorithm': 'binary_search'}
I0715 13:47:11.180998 140474056287744 run.py:723] (val) algo binary_search step 600: {'return': 0.7353515625, 'score': 0.7353515625, 'examples_seen': 46095, 'step': 600, 'algorithm': 'binary_search'}
I0715 13:47:13.371936 140474056287744 run.py:723] (val) algo binary_search step 650: {'return': 0.55615234375, 'score': 0.55615234375, 'examples_seen': 49987, 'step': 650, 'algorithm': 'binary_search'}
I0715 13:47:15.531146 140474056287744 run.py:723] (val) algo binary_search step 700: {'return': 0.625244140625, 'score': 0.625244140625, 'examples_seen': 53861, 'step': 700, 'algorithm': 'binary_search'}
I0715 13:47:17.672002 140474056287744 run.py:723] (val) algo binary_search step 750: {'return': 0.734130859375, 'score': 0.734130859375, 'examples_seen': 57708, 'step': 750, 'algorithm': 'binary_search'}
I0715 13:47:19.838636 140474056287744 run.py:723] (val) algo binary_search step 800: {'return': 0.4921875, 'score': 0.4921875, 'examples_seen': 61556, 'step': 800, 'algorithm': 'binary_search'}
I0715 13:47:22.024521 140474056287744 run.py:723] (val) algo binary_search step 850: {'return': 0.79638671875, 'score': 0.79638671875, 'examples_seen': 65375, 'step': 850, 'algorithm': 'binary_search'}
I0715 13:47:24.200275 140474056287744 run.py:723] (val) algo binary_search step 900: {'return': 0.776123046875, 'score': 0.776123046875, 'examples_seen': 69199, 'step': 900, 'algorithm': 'binary_search'}
I0715 13:47:26.325837 140474056287744 run.py:723] (val) algo binary_search step 950: {'return': 0.846923828125, 'score': 0.846923828125, 'examples_seen': 73009, 'step': 950, 'algorithm': 'binary_search'}
I0715 13:47:28.489806 140474056287744 run.py:723] (val) algo binary_search step 1000: {'return': 0.701904296875, 'score': 0.701904296875, 'examples_seen': 76906, 'step': 1000, 'algorithm': 'binary_search'}
I0715 13:47:30.630517 140474056287744 run.py:723] (val) algo binary_search step 1050: {'return': 0.66064453125, 'score': 0.66064453125, 'examples_seen': 80786, 'step': 1050, 'algorithm': 'binary_search'}
I0715 13:47:32.762509 140474056287744 run.py:723] (val) algo binary_search step 1100: {'return': 0.7138671875, 'score': 0.7138671875, 'examples_seen': 84624, 'step': 1100, 'algorithm': 'binary_search'}
I0715 13:47:34.876729 140474056287744 run.py:723] (val) algo binary_search step 1150: {'return': 0.768310546875, 'score': 0.768310546875, 'examples_seen': 88449, 'step': 1150, 'algorithm': 'binary_search'}
I0715 13:47:37.058058 140474056287744 run.py:723] (val) algo binary_search step 1200: {'return': 0.609619140625, 'score': 0.609619140625, 'examples_seen': 92263, 'step': 1200, 'algorithm': 'binary_search'}
I0715 13:47:39.203513 140474056287744 run.py:723] (val) algo binary_search step 1250: {'return': 0.82080078125, 'score': 0.82080078125, 'examples_seen': 96077, 'step': 1250, 'algorithm': 'binary_search'}
I0715 13:47:41.362895 140474056287744 run.py:723] (val) algo binary_search step 1300: {'return': 0.84033203125, 'score': 0.84033203125, 'examples_seen': 99908, 'step': 1300, 'algorithm': 'binary_search'}
I0715 13:47:43.754749 140474056287744 run.py:723] (val) algo binary_search step 1350: {'return': 0.77099609375, 'score': 0.77099609375, 'examples_seen': 103790, 'step': 1350, 'algorithm': 'binary_search'}
I0715 13:47:45.941148 140474056287744 run.py:723] (val) algo binary_search step 1400: {'return': 0.839599609375, 'score': 0.839599609375, 'examples_seen': 107671, 'step': 1400, 'algorithm': 'binary_search'}
I0715 13:47:48.104174 140474056287744 run.py:723] (val) algo binary_search step 1450: {'return': 0.714111328125, 'score': 0.714111328125, 'examples_seen': 111509, 'step': 1450, 'algorithm': 'binary_search'}
