I0715 13:55:40.077221 137161025132032 run.py:723] (val) algo bridges step 0: {'is_bridge': 0.5953788285867814, 'score': 0.5953788285867814, 'examples_seen': 16, 'step': 0, 'algorithm': 'bridges'}
I0715 13:57:33.326922 137161025132032 run.py:723] (val) algo bridges step 50: {'is_bridge': 0.6822589845978322, 'score': 0.6822589845978322, 'examples_seen': 799, 'step': 50, 'algorithm': 'bridges'}
I0715 13:57:34.944274 137161025132032 run.py:723] (val) algo bridges step 100: {'is_bridge': 0.5175879396984924, 'score': 0.5175879396984924, 'examples_seen': 1592, 'step': 100, 'algorithm': 'bridges'}
I0715 13:57:36.607577 137161025132032 run.py:723] (val) algo bridges step 150: {'is_bridge': 0.6072961373390559, 'score': 0.6072961373390559, 'examples_seen': 2372, 'step': 150, 'algorithm': 'bridges'}
I0715 13:57:38.207980 137161025132032 run.py:723] (val) algo bridges step 200: {'is_bridge': 0.6733238231098431, 'score': 0.6733238231098431, 'examples_seen': 3158, 'step': 200, 'algorithm': 'bridges'}
I0715 13:57:39.919656 137161025132032 run.py:723] (val) algo bridges step 250: {'is_bridge': 0.8214285714285715, 'score': 0.8214285714285715, 'examples_seen': 3938, 'step': 250, 'algorithm': 'bridges'}
I0715 13:57:41.579654 137161025132032 run.py:723] (val) algo bridges step 300: {'is_bridge': 0.7727891156462585, 'score': 0.7727891156462585, 'examples_seen': 4758, 'step': 300, 'algorithm': 'bridges'}
I0715 13:57:43.194123 137161025132032 run.py:723] (val) algo bridges step 350: {'is_bridge': 0.7282780410742496, 'score': 0.7282780410742496, 'examples_seen': 5564, 'step': 350, 'algorithm': 'bridges'}
I0715 13:57:44.795252 137161025132032 run.py:723] (val) algo bridges step 400: {'is_bridge': 0.7360335195530725, 'score': 0.7360335195530725, 'examples_seen': 6361, 'step': 400, 'algorithm': 'bridges'}
I0715 13:57:46.394305 137161025132032 run.py:723] (val) algo bridges step 450: {'is_bridge': 0.8220064724919095, 'score': 0.8220064724919095, 'examples_seen': 7144, 'step': 450, 'algorithm': 'bridges'}
I0715 13:57:48.022869 137161025132032 run.py:723] (val) algo bridges step 500: {'is_bridge': 0.8516129032258064, 'score': 0.8516129032258064, 'examples_seen': 7922, 'step': 500, 'algorithm': 'bridges'}
I0715 13:57:49.659134 137161025132032 run.py:723] (val) algo bridges step 550: {'is_bridge': 0.8571428571428572, 'score': 0.8571428571428572, 'examples_seen': 8709, 'step': 550, 'algorithm': 'bridges'}
I0715 13:57:51.345940 137161025132032 run.py:723] (val) algo bridges step 600: {'is_bridge': 0.7850911974623314, 'score': 0.7850911974623314, 'examples_seen': 9489, 'step': 600, 'algorithm': 'bridges'}
I0715 13:57:52.925148 137161025132032 run.py:723] (val) algo bridges step 650: {'is_bridge': 0.7990654205607477, 'score': 0.7990654205607477, 'examples_seen': 10303, 'step': 650, 'algorithm': 'bridges'}
I0715 13:57:54.565685 137161025132032 run.py:723] (val) algo bridges step 700: {'is_bridge': 0.814708002883922, 'score': 0.814708002883922, 'examples_seen': 11121, 'step': 700, 'algorithm': 'bridges'}
I0715 13:57:56.143414 137161025132032 run.py:723] (val) algo bridges step 750: {'is_bridge': 0.7867203219315896, 'score': 0.7867203219315896, 'examples_seen': 11916, 'step': 750, 'algorithm': 'bridges'}
