I0715 14:21:14.358988 134670416983552 run.py:723] (val) algo dag_shortest_paths step 0: {'pi': 0.7294921875, 'score': 0.7294921875, 'examples_seen': 41, 'step': 0, 'algorithm': 'dag_shortest_paths'}
I0715 14:23:10.069888 134670416983552 run.py:723] (val) algo dag_shortest_paths step 50: {'pi': 0.9365234375, 'score': 0.9365234375, 'examples_seen': 1530, 'step': 50, 'algorithm': 'dag_shortest_paths'}
I0715 14:23:12.176167 134670416983552 run.py:723] (val) algo dag_shortest_paths step 100: {'pi': 0.9248046875, 'score': 0.9248046875, 'examples_seen': 2997, 'step': 100, 'algorithm': 'dag_shortest_paths'}
I0715 14:23:14.260531 134670416983552 run.py:723] (val) algo dag_shortest_paths step 150: {'pi': 0.91015625, 'score': 0.91015625, 'examples_seen': 4450, 'step': 150, 'algorithm': 'dag_shortest_paths'}
I0715 14:23:16.397386 134670416983552 run.py:723] (val) algo dag_shortest_paths step 200: {'pi': 0.9365234375, 'score': 0.9365234375, 'examples_seen': 5904, 'step': 200, 'algorithm': 'dag_shortest_paths'}
I0715 14:23:18.393280 134670416983552 run.py:723] (val) algo dag_shortest_paths step 250: {'pi': 0.947265625, 'score': 0.947265625, 'examples_seen': 7402, 'step': 250, 'algorithm': 'dag_shortest_paths'}
I0715 14:23:20.403274 134670416983552 run.py:723] (val) algo dag_shortest_paths step 300: {'pi': 0.9482421875, 'score': 0.9482421875, 'examples_seen': 8928, 'step': 300, 'algorithm': 'dag_shortest_paths'}
I0715 14:23:22.580989 134670416983552 run.py:723] (val) algo dag_shortest_paths step 350: {'pi': 0.9033203125, 'score': 0.9033203125, 'examples_seen': 10426, 'step': 350, 'algorithm': 'dag_shortest_paths'}
I0715 14:23:24.586600 134670416983552 run.py:723] (val) algo dag_shortest_paths step 400: {'pi': 0.888671875, 'score': 0.888671875, 'examples_seen': 11895, 'step': 400, 'algorithm': 'dag_shortest_paths'}
I0715 14:23:26.640671 134670416983552 run.py:723] (val) algo dag_shortest_paths step 450: {'pi': 0.9404296875, 'score': 0.9404296875, 'examples_seen': 13359, 'step': 450, 'algorithm': 'dag_shortest_paths'}
I0715 14:23:28.601683 134670416983552 run.py:723] (val) algo dag_shortest_paths step 500: {'pi': 0.912109375, 'score': 0.912109375, 'examples_seen': 14816, 'step': 500, 'algorithm': 'dag_shortest_paths'}
I0715 14:23:30.662153 134670416983552 run.py:723] (val) algo dag_shortest_paths step 550: {'pi': 0.9580078125, 'score': 0.9580078125, 'examples_seen': 16276, 'step': 550, 'algorithm': 'dag_shortest_paths'}
I0715 14:23:32.841834 134670416983552 run.py:723] (val) algo dag_shortest_paths step 600: {'pi': 0.9580078125, 'score': 0.9580078125, 'examples_seen': 17743, 'step': 600, 'algorithm': 'dag_shortest_paths'}
I0715 14:23:34.901515 134670416983552 run.py:723] (val) algo dag_shortest_paths step 650: {'pi': 0.96484375, 'score': 0.96484375, 'examples_seen': 19222, 'step': 650, 'algorithm': 'dag_shortest_paths'}
I0715 14:23:36.962832 134670416983552 run.py:723] (val) algo dag_shortest_paths step 700: {'pi': 0.9697265625, 'score': 0.9697265625, 'examples_seen': 20708, 'step': 700, 'algorithm': 'dag_shortest_paths'}
I0715 14:23:39.021915 134670416983552 run.py:723] (val) algo dag_shortest_paths step 750: {'pi': 0.92578125, 'score': 0.92578125, 'examples_seen': 22198, 'step': 750, 'algorithm': 'dag_shortest_paths'}
I0715 14:23:41.027205 134670416983552 run.py:723] (val) algo dag_shortest_paths step 800: {'pi': 0.9755859375, 'score': 0.9755859375, 'examples_seen': 23647, 'step': 800, 'algorithm': 'dag_shortest_paths'}
I0715 14:23:43.039954 134670416983552 run.py:723] (val) algo dag_shortest_paths step 850: {'pi': 0.943359375, 'score': 0.943359375, 'examples_seen': 25116, 'step': 850, 'algorithm': 'dag_shortest_paths'}
I0715 14:23:45.010957 134670416983552 run.py:723] (val) algo dag_shortest_paths step 900: {'pi': 0.96875, 'score': 0.96875, 'examples_seen': 26586, 'step': 900, 'algorithm': 'dag_shortest_paths'}
I0715 14:23:47.088002 134670416983552 run.py:723] (val) algo dag_shortest_paths step 950: {'pi': 0.96875, 'score': 0.96875, 'examples_seen': 28056, 'step': 950, 'algorithm': 'dag_shortest_paths'}
I0715 14:23:49.048755 134670416983552 run.py:723] (val) algo dag_shortest_paths step 1000: {'pi': 0.958984375, 'score': 0.958984375, 'examples_seen': 29563, 'step': 1000, 'algorithm': 'dag_shortest_paths'}
I0715 14:23:51.067834 134670416983552 run.py:723] (val) algo dag_shortest_paths step 1050: {'pi': 0.9453125, 'score': 0.9453125, 'examples_seen': 31078, 'step': 1050, 'algorithm': 'dag_shortest_paths'}
I0715 14:23:53.091974 134670416983552 run.py:723] (val) algo dag_shortest_paths step 1100: {'pi': 0.9599609375, 'score': 0.9599609375, 'examples_seen': 32547, 'step': 1100, 'algorithm': 'dag_shortest_paths'}
I0715 14:23:55.106858 134670416983552 run.py:723] (val) algo dag_shortest_paths step 1150: {'pi': 0.966796875, 'score': 0.966796875, 'examples_seen': 34033, 'step': 1150, 'algorithm': 'dag_shortest_paths'}
I0715 14:23:57.084643 134670416983552 run.py:723] (val) algo dag_shortest_paths step 1200: {'pi': 0.9365234375, 'score': 0.9365234375, 'examples_seen': 35502, 'step': 1200, 'algorithm': 'dag_shortest_paths'}
I0715 14:23:59.040363 134670416983552 run.py:723] (val) algo dag_shortest_paths step 1250: {'pi': 0.9638671875, 'score': 0.9638671875, 'examples_seen': 36947, 'step': 1250, 'algorithm': 'dag_shortest_paths'}
I0715 14:24:01.092781 134670416983552 run.py:723] (val) algo dag_shortest_paths step 1300: {'pi': 0.947265625, 'score': 0.947265625, 'examples_seen': 38406, 'step': 1300, 'algorithm': 'dag_shortest_paths'}
I0715 14:24:03.168798 134670416983552 run.py:723] (val) algo dag_shortest_paths step 1350: {'pi': 0.974609375, 'score': 0.974609375, 'examples_seen': 39939, 'step': 1350, 'algorithm': 'dag_shortest_paths'}
I0715 14:24:05.157913 134670416983552 run.py:723] (val) algo dag_shortest_paths step 1400: {'pi': 0.947265625, 'score': 0.947265625, 'examples_seen': 41394, 'step': 1400, 'algorithm': 'dag_shortest_paths'}
I0715 14:24:07.074161 134670416983552 run.py:723] (val) algo dag_shortest_paths step 1450: {'pi': 0.984375, 'score': 0.984375, 'examples_seen': 42874, 'step': 1450, 'algorithm': 'dag_shortest_paths'}
I0715 14:24:09.036250 134670416983552 run.py:723] (val) algo dag_shortest_paths step 1500: {'pi': 0.9384765625, 'score': 0.9384765625, 'examples_seen': 44362, 'step': 1500, 'algorithm': 'dag_shortest_paths'}
I0715 14:24:11.098113 134670416983552 run.py:723] (val) algo dag_shortest_paths step 1550: {'pi': 0.955078125, 'score': 0.955078125, 'examples_seen': 45830, 'step': 1550, 'algorithm': 'dag_shortest_paths'}
I0715 14:24:13.117398 134670416983552 run.py:723] (val) algo dag_shortest_paths step 1600: {'pi': 0.9619140625, 'score': 0.9619140625, 'examples_seen': 47284, 'step': 1600, 'algorithm': 'dag_shortest_paths'}
I0715 14:24:15.215407 134670416983552 run.py:723] (val) algo dag_shortest_paths step 1650: {'pi': 0.9619140625, 'score': 0.9619140625, 'examples_seen': 48732, 'step': 1650, 'algorithm': 'dag_shortest_paths'}
I0715 14:24:17.211321 134670416983552 run.py:723] (val) algo dag_shortest_paths step 1700: {'pi': 0.97265625, 'score': 0.97265625, 'examples_seen': 50202, 'step': 1700, 'algorithm': 'dag_shortest_paths'}
I0715 14:24:19.173761 134670416983552 run.py:723] (val) algo dag_shortest_paths step 1750: {'pi': 0.962890625, 'score': 0.962890625, 'examples_seen': 51700, 'step': 1750, 'algorithm': 'dag_shortest_paths'}
