{'Pi': 0.0855712890625, 'score': 0.0855712890625, 'examples_seen': 80, 'step': 0, 'algorithm': 'floyd_warshall'}
{'Pi': 0.27655029296875, 'score': 0.27655029296875, 'examples_seen': 2640, 'step': 50, 'algorithm': 'floyd_warshall'}
{'Pi': 0.25830078125, 'score': 0.25830078125, 'examples_seen': 5200, 'step': 100, 'algorithm': 'floyd_warshall'}
{'Pi': 0.3116455078125, 'score': 0.3116455078125, 'examples_seen': 7744, 'step': 150, 'algorithm': 'floyd_warshall'}
{'Pi': 0.436279296875, 'score': 0.436279296875, 'examples_seen': 10288, 'step': 200, 'algorithm': 'floyd_warshall'}
{'Pi': 0.41424560546875, 'score': 0.41424560546875, 'examples_seen': 12816, 'step': 250, 'algorithm': 'floyd_warshall'}
{'Pi': 0.4205322265625, 'score': 0.4205322265625, 'examples_seen': 15472, 'step': 300, 'algorithm': 'floyd_warshall'}
{'Pi': 0.40789794921875, 'score': 0.40789794921875, 'examples_seen': 18080, 'step': 350, 'algorithm': 'floyd_warshall'}
{'Pi': 0.4295654296875, 'score': 0.4295654296875, 'examples_seen': 20640, 'step': 400, 'algorithm': 'floyd_warshall'}
{'Pi': 0.46917724609375, 'score': 0.46917724609375, 'examples_seen': 23216, 'step': 450, 'algorithm': 'floyd_warshall'}
{'Pi': 0.4906005859375, 'score': 0.4906005859375, 'examples_seen': 25744, 'step': 500, 'algorithm': 'floyd_warshall'}
{'Pi': 0.53759765625, 'score': 0.53759765625, 'examples_seen': 28288, 'step': 550, 'algorithm': 'floyd_warshall'}
{'Pi': 0.56640625, 'score': 0.56640625, 'examples_seen': 30832, 'step': 600, 'algorithm': 'floyd_warshall'}
{'Pi': 0.4949951171875, 'score': 0.4949951171875, 'examples_seen': 33456, 'step': 650, 'algorithm': 'floyd_warshall'}
{'Pi': 0.58880615234375, 'score': 0.58880615234375, 'examples_seen': 36080, 'step': 700, 'algorithm': 'floyd_warshall'}
{'Pi': 0.545166015625, 'score': 0.545166015625, 'examples_seen': 38640, 'step': 750, 'algorithm': 'floyd_warshall'}
{'Pi': 0.57275390625, 'score': 0.57275390625, 'examples_seen': 41216, 'step': 800, 'algorithm': 'floyd_warshall'}
{'Pi': 0.5699462890625, 'score': 0.5699462890625, 'examples_seen': 43760, 'step': 850, 'algorithm': 'floyd_warshall'}
{'Pi': 0.57916259765625, 'score': 0.57916259765625, 'examples_seen': 46320, 'step': 900, 'algorithm': 'floyd_warshall'}
{'Pi': 0.60345458984375, 'score': 0.60345458984375, 'examples_seen': 48832, 'step': 950, 'algorithm': 'floyd_warshall'}
{'Pi': 0.6207275390625, 'score': 0.6207275390625, 'examples_seen': 51488, 'step': 1000, 'algorithm': 'floyd_warshall'}
{'Pi': 0.618896484375, 'score': 0.618896484375, 'examples_seen': 54080, 'step': 1050, 'algorithm': 'floyd_warshall'}
{'Pi': 0.65069580078125, 'score': 0.65069580078125, 'examples_seen': 56656, 'step': 1100, 'algorithm': 'floyd_warshall'}
{'Pi': 0.62786865234375, 'score': 0.62786865234375, 'examples_seen': 59232, 'step': 1150, 'algorithm': 'floyd_warshall'}
{'Pi': 0.67578125, 'score': 0.67578125, 'examples_seen': 61744, 'step': 1200, 'algorithm': 'floyd_warshall'}
{'Pi': 0.6669921875, 'score': 0.6669921875, 'examples_seen': 64304, 'step': 1250, 'algorithm': 'floyd_warshall'}
