{'in_hull': 0.43545279383429675, 'score': 0.43545279383429675, 'examples_seen': 48, 'step': 0, 'algorithm': 'graham_scan'}
{'in_hull': 0.7349703640982218, 'score': 0.7349703640982218, 'examples_seen': 1549, 'step': 50, 'algorithm': 'graham_scan'}
{'in_hull': 0.653061224489796, 'score': 0.653061224489796, 'examples_seen': 3035, 'step': 100, 'algorithm': 'graham_scan'}
{'in_hull': 0.8247663551401869, 'score': 0.8247663551401869, 'examples_seen': 4498, 'step': 150, 'algorithm': 'graham_scan'}
{'in_hull': 0.8804469273743017, 'score': 0.8804469273743017, 'examples_seen': 5976, 'step': 200, 'algorithm': 'graham_scan'}
{'in_hull': 0.8637413394919169, 'score': 0.8637413394919169, 'examples_seen': 7443, 'step': 250, 'algorithm': 'graham_scan'}
{'in_hull': 0.8558139534883721, 'score': 0.8558139534883721, 'examples_seen': 8960, 'step': 300, 'algorithm': 'graham_scan'}
{'in_hull': 0.917960088691796, 'score': 0.917960088691796, 'examples_seen': 10476, 'step': 350, 'algorithm': 'graham_scan'}
{'in_hull': 0.8316610925306578, 'score': 0.8316610925306578, 'examples_seen': 11956, 'step': 400, 'algorithm': 'graham_scan'}
{'in_hull': 0.9164926931106472, 'score': 0.9164926931106472, 'examples_seen': 13446, 'step': 450, 'algorithm': 'graham_scan'}
{'in_hull': 0.9348739495798319, 'score': 0.9348739495798319, 'examples_seen': 14906, 'step': 500, 'algorithm': 'graham_scan'}
{'in_hull': 0.9225874867444327, 'score': 0.9225874867444327, 'examples_seen': 16387, 'step': 550, 'algorithm': 'graham_scan'}
{'in_hull': 0.9361233480176211, 'score': 0.9361233480176211, 'examples_seen': 17849, 'step': 600, 'algorithm': 'graham_scan'}
{'in_hull': 0.949516648764769, 'score': 0.949516648764769, 'examples_seen': 19364, 'step': 650, 'algorithm': 'graham_scan'}
{'in_hull': 0.9241516966067865, 'score': 0.9241516966067865, 'examples_seen': 20869, 'step': 700, 'algorithm': 'graham_scan'}
{'in_hull': 0.9151047409040793, 'score': 0.9151047409040793, 'examples_seen': 22357, 'step': 750, 'algorithm': 'graham_scan'}
{'in_hull': 0.9223205506391347, 'score': 0.9223205506391347, 'examples_seen': 23848, 'step': 800, 'algorithm': 'graham_scan'}
{'in_hull': 0.9168356997971604, 'score': 0.9168356997971604, 'examples_seen': 25315, 'step': 850, 'algorithm': 'graham_scan'}
{'in_hull': 0.932475884244373, 'score': 0.932475884244373, 'examples_seen': 26795, 'step': 900, 'algorithm': 'graham_scan'}
{'in_hull': 0.9391124871001032, 'score': 0.9391124871001032, 'examples_seen': 28253, 'step': 950, 'algorithm': 'graham_scan'}
{'in_hull': 0.9562433297758804, 'score': 0.9562433297758804, 'examples_seen': 29767, 'step': 1000, 'algorithm': 'graham_scan'}
{'in_hull': 0.9233954451345756, 'score': 0.9233954451345756, 'examples_seen': 31278, 'step': 1050, 'algorithm': 'graham_scan'}
{'in_hull': 0.9511941848390446, 'score': 0.9511941848390446, 'examples_seen': 32763, 'step': 1100, 'algorithm': 'graham_scan'}
{'in_hull': 0.9276248725790011, 'score': 0.9276248725790011, 'examples_seen': 34257, 'step': 1150, 'algorithm': 'graham_scan'}
{'in_hull': 0.8875968992248061, 'score': 0.8875968992248061, 'examples_seen': 35720, 'step': 1200, 'algorithm': 'graham_scan'}
{'in_hull': 0.9546351084812622, 'score': 0.9546351084812622, 'examples_seen': 37198, 'step': 1250, 'algorithm': 'graham_scan'}
{'in_hull': 0.930049261083744, 'score': 0.930049261083744, 'examples_seen': 38661, 'step': 1300, 'algorithm': 'graham_scan'}
{'in_hull': 0.9461697722567288, 'score': 0.9461697722567288, 'examples_seen': 40169, 'step': 1350, 'algorithm': 'graham_scan'}
{'in_hull': 0.9418960244648318, 'score': 0.9418960244648318, 'examples_seen': 41685, 'step': 1400, 'algorithm': 'graham_scan'}
{'in_hull': 0.9548387096774192, 'score': 0.9548387096774192, 'examples_seen': 43173, 'step': 1450, 'algorithm': 'graham_scan'}
{'in_hull': 0.9476861167002012, 'score': 0.9476861167002012, 'examples_seen': 44660, 'step': 1500, 'algorithm': 'graham_scan'}
{'in_hull': 0.9480381760339343, 'score': 0.9480381760339343, 'examples_seen': 46133, 'step': 1550, 'algorithm': 'graham_scan'}
{'in_hull': 0.9347150259067357, 'score': 0.9347150259067357, 'examples_seen': 47603, 'step': 1600, 'algorithm': 'graham_scan'}
{'in_hull': 0.9516806722689075, 'score': 0.9516806722689075, 'examples_seen': 49068, 'step': 1650, 'algorithm': 'graham_scan'}
{'in_hull': 0.9243188698284562, 'score': 0.9243188698284562, 'examples_seen': 50579, 'step': 1700, 'algorithm': 'graham_scan'}
{'in_hull': 0.9602510460251045, 'score': 0.9602510460251045, 'examples_seen': 52102, 'step': 1750, 'algorithm': 'graham_scan'}
{'in_hull': 0.9062821833161689, 'score': 0.9062821833161689, 'examples_seen': 53576, 'step': 1800, 'algorithm': 'graham_scan'}
{'in_hull': 0.9220272904483431, 'score': 0.9220272904483431, 'examples_seen': 55070, 'step': 1850, 'algorithm': 'graham_scan'}
{'in_hull': 0.9411764705882354, 'score': 0.9411764705882354, 'examples_seen': 56541, 'step': 1900, 'algorithm': 'graham_scan'}
{'in_hull': 0.943089430894309, 'score': 0.943089430894309, 'examples_seen': 58020, 'step': 1950, 'algorithm': 'graham_scan'}
{'in_hull': 0.9545454545454545, 'score': 0.9545454545454545, 'examples_seen': 59479, 'step': 2000, 'algorithm': 'graham_scan'}
{'in_hull': 0.937246963562753, 'score': 0.937246963562753, 'examples_seen': 60998, 'step': 2050, 'algorithm': 'graham_scan'}
{'in_hull': 0.9277721261444558, 'score': 0.9277721261444558, 'examples_seen': 62513, 'step': 2100, 'algorithm': 'graham_scan'}
{'in_hull': 0.9513742071881608, 'score': 0.9513742071881608, 'examples_seen': 63994, 'step': 2150, 'algorithm': 'graham_scan'}
{'in_hull': 0.9372469635627529, 'score': 0.9372469635627529, 'examples_seen': 65487, 'step': 2200, 'algorithm': 'graham_scan'}
{'in_hull': 0.9396267837541162, 'score': 0.9396267837541162, 'examples_seen': 66954, 'step': 2250, 'algorithm': 'graham_scan'}
{'in_hull': 0.9638554216867469, 'score': 0.9638554216867469, 'examples_seen': 68427, 'step': 2300, 'algorithm': 'graham_scan'}
{'in_hull': 0.9587852494577006, 'score': 0.9587852494577006, 'examples_seen': 69890, 'step': 2350, 'algorithm': 'graham_scan'}
{'in_hull': 0.9411764705882353, 'score': 0.9411764705882353, 'examples_seen': 71400, 'step': 2400, 'algorithm': 'graham_scan'}
{'in_hull': 0.9528585757271816, 'score': 0.9528585757271816, 'examples_seen': 72919, 'step': 2450, 'algorithm': 'graham_scan'}
{'in_hull': 0.946518668012109, 'score': 0.946518668012109, 'examples_seen': 74399, 'step': 2500, 'algorithm': 'graham_scan'}
{'in_hull': 0.9376344086021505, 'score': 0.9376344086021505, 'examples_seen': 75887, 'step': 2550, 'algorithm': 'graham_scan'}
{'in_hull': 0.9506172839506174, 'score': 0.9506172839506174, 'examples_seen': 77360, 'step': 2600, 'algorithm': 'graham_scan'}
{'in_hull': 0.8931451612903225, 'score': 0.8931451612903225, 'examples_seen': 78838, 'step': 2650, 'algorithm': 'graham_scan'}
{'in_hull': 0.9545934530095037, 'score': 0.9545934530095037, 'examples_seen': 80301, 'step': 2700, 'algorithm': 'graham_scan'}
{'in_hull': 0.9250243427458618, 'score': 0.9250243427458618, 'examples_seen': 81809, 'step': 2750, 'algorithm': 'graham_scan'}
{'in_hull': 0.9504310344827587, 'score': 0.9504310344827587, 'examples_seen': 83331, 'step': 2800, 'algorithm': 'graham_scan'}
{'in_hull': 0.9389473684210525, 'score': 0.9389473684210525, 'examples_seen': 84814, 'step': 2850, 'algorithm': 'graham_scan'}
{'in_hull': 0.950253807106599, 'score': 0.950253807106599, 'examples_seen': 86299, 'step': 2900, 'algorithm': 'graham_scan'}
{'in_hull': 0.9601634320735444, 'score': 0.9601634320735444, 'examples_seen': 87770, 'step': 2950, 'algorithm': 'graham_scan'}
{'in_hull': 0.9287925696594428, 'score': 0.9287925696594428, 'examples_seen': 89249, 'step': 3000, 'algorithm': 'graham_scan'}
