I0715 15:31:35.666193 131537578350080 run.py:723] (val) algo insertion_sort step 0: {'pred': 0.0927734375, 'score': 0.0927734375, 'examples_seen': 80, 'step': 0, 'algorithm': 'insertion_sort'}
I0715 15:33:21.998657 131537578350080 run.py:723] (val) algo insertion_sort step 50: {'pred': 0.421875, 'score': 0.421875, 'examples_seen': 2640, 'step': 50, 'algorithm': 'insertion_sort'}
I0715 15:33:26.459809 131537578350080 run.py:723] (val) algo insertion_sort step 100: {'pred': 0.302734375, 'score': 0.302734375, 'examples_seen': 5200, 'step': 100, 'algorithm': 'insertion_sort'}
I0715 15:33:30.938651 131537578350080 run.py:723] (val) algo insertion_sort step 150: {'pred': 0.3291015625, 'score': 0.3291015625, 'examples_seen': 7744, 'step': 150, 'algorithm': 'insertion_sort'}
I0715 15:33:35.449584 131537578350080 run.py:723] (val) algo insertion_sort step 200: {'pred': 0.4013671875, 'score': 0.4013671875, 'examples_seen': 10288, 'step': 200, 'algorithm': 'insertion_sort'}
I0715 15:33:39.994530 131537578350080 run.py:723] (val) algo insertion_sort step 250: {'pred': 0.5302734375, 'score': 0.5302734375, 'examples_seen': 12816, 'step': 250, 'algorithm': 'insertion_sort'}
I0715 15:33:44.622550 131537578350080 run.py:723] (val) algo insertion_sort step 300: {'pred': 0.4130859375, 'score': 0.4130859375, 'examples_seen': 15472, 'step': 300, 'algorithm': 'insertion_sort'}
I0715 15:33:49.214380 131537578350080 run.py:723] (val) algo insertion_sort step 350: {'pred': 0.5751953125, 'score': 0.5751953125, 'examples_seen': 18080, 'step': 350, 'algorithm': 'insertion_sort'}
I0715 15:33:53.783826 131537578350080 run.py:723] (val) algo insertion_sort step 400: {'pred': 0.5712890625, 'score': 0.5712890625, 'examples_seen': 20640, 'step': 400, 'algorithm': 'insertion_sort'}
I0715 15:33:58.345123 131537578350080 run.py:723] (val) algo insertion_sort step 450: {'pred': 0.5654296875, 'score': 0.5654296875, 'examples_seen': 23216, 'step': 450, 'algorithm': 'insertion_sort'}
I0715 15:34:02.879335 131537578350080 run.py:723] (val) algo insertion_sort step 500: {'pred': 0.6181640625, 'score': 0.6181640625, 'examples_seen': 25744, 'step': 500, 'algorithm': 'insertion_sort'}
I0715 15:34:07.391644 131537578350080 run.py:723] (val) algo insertion_sort step 550: {'pred': 0.583984375, 'score': 0.583984375, 'examples_seen': 28288, 'step': 550, 'algorithm': 'insertion_sort'}
I0715 15:34:11.948394 131537578350080 run.py:723] (val) algo insertion_sort step 600: {'pred': 0.6513671875, 'score': 0.6513671875, 'examples_seen': 30832, 'step': 600, 'algorithm': 'insertion_sort'}
I0715 15:34:16.573189 131537578350080 run.py:723] (val) algo insertion_sort step 650: {'pred': 0.59375, 'score': 0.59375, 'examples_seen': 33456, 'step': 650, 'algorithm': 'insertion_sort'}
I0715 15:34:21.194760 131537578350080 run.py:723] (val) algo insertion_sort step 700: {'pred': 0.59375, 'score': 0.59375, 'examples_seen': 36080, 'step': 700, 'algorithm': 'insertion_sort'}
I0715 15:34:25.815072 131537578350080 run.py:723] (val) algo insertion_sort step 750: {'pred': 0.560546875, 'score': 0.560546875, 'examples_seen': 38640, 'step': 750, 'algorithm': 'insertion_sort'}
I0715 15:34:30.406225 131537578350080 run.py:723] (val) algo insertion_sort step 800: {'pred': 0.6396484375, 'score': 0.6396484375, 'examples_seen': 41216, 'step': 800, 'algorithm': 'insertion_sort'}
I0715 15:34:34.935085 131537578350080 run.py:723] (val) algo insertion_sort step 850: {'pred': 0.5986328125, 'score': 0.5986328125, 'examples_seen': 43760, 'step': 850, 'algorithm': 'insertion_sort'}
I0715 15:34:39.584789 131537578350080 run.py:723] (val) algo insertion_sort step 900: {'pred': 0.6572265625, 'score': 0.6572265625, 'examples_seen': 46320, 'step': 900, 'algorithm': 'insertion_sort'}
I0715 15:34:44.114174 131537578350080 run.py:723] (val) algo insertion_sort step 950: {'pred': 0.677734375, 'score': 0.677734375, 'examples_seen': 48832, 'step': 950, 'algorithm': 'insertion_sort'}
