I0715 16:12:53.105574 127730363880960 run.py:723] (val) algo lcs_length step 0: {'b': 0.549072265625, 'score': 0.549072265625, 'examples_seen': 256, 'step': 0, 'algorithm': 'lcs_length'}
I0715 16:14:04.047081 127730363880960 run.py:723] (val) algo lcs_length step 50: {'b': 0.64794921875, 'score': 0.64794921875, 'examples_seen': 6225, 'step': 50, 'algorithm': 'lcs_length'}
I0715 16:14:07.231385 127730363880960 run.py:723] (val) algo lcs_length step 100: {'b': 0.672607421875, 'score': 0.672607421875, 'examples_seen': 12119, 'step': 100, 'algorithm': 'lcs_length'}
I0715 16:14:10.413431 127730363880960 run.py:723] (val) algo lcs_length step 150: {'b': 0.776611328125, 'score': 0.776611328125, 'examples_seen': 17980, 'step': 150, 'algorithm': 'lcs_length'}
I0715 16:14:13.636716 127730363880960 run.py:723] (val) algo lcs_length step 200: {'b': 0.9111328125, 'score': 0.9111328125, 'examples_seen': 23849, 'step': 200, 'algorithm': 'lcs_length'}
I0715 16:14:16.892033 127730363880960 run.py:723] (val) algo lcs_length step 250: {'b': 0.907958984375, 'score': 0.907958984375, 'examples_seen': 29687, 'step': 250, 'algorithm': 'lcs_length'}
I0715 16:14:20.029370 127730363880960 run.py:723] (val) algo lcs_length step 300: {'b': 0.903564453125, 'score': 0.903564453125, 'examples_seen': 35746, 'step': 300, 'algorithm': 'lcs_length'}
I0715 16:14:23.230619 127730363880960 run.py:723] (val) algo lcs_length step 350: {'b': 0.912109375, 'score': 0.912109375, 'examples_seen': 41799, 'step': 350, 'algorithm': 'lcs_length'}
I0715 16:14:26.379881 127730363880960 run.py:723] (val) algo lcs_length step 400: {'b': 0.89892578125, 'score': 0.89892578125, 'examples_seen': 47745, 'step': 400, 'algorithm': 'lcs_length'}
I0715 16:14:29.536971 127730363880960 run.py:723] (val) algo lcs_length step 450: {'b': 0.91015625, 'score': 0.91015625, 'examples_seen': 53638, 'step': 450, 'algorithm': 'lcs_length'}
I0715 16:14:32.741569 127730363880960 run.py:723] (val) algo lcs_length step 500: {'b': 0.893310546875, 'score': 0.893310546875, 'examples_seen': 59512, 'step': 500, 'algorithm': 'lcs_length'}
I0715 16:14:35.927811 127730363880960 run.py:723] (val) algo lcs_length step 550: {'b': 0.902587890625, 'score': 0.902587890625, 'examples_seen': 65364, 'step': 550, 'algorithm': 'lcs_length'}
I0715 16:14:39.111140 127730363880960 run.py:723] (val) algo lcs_length step 600: {'b': 0.8974609375, 'score': 0.8974609375, 'examples_seen': 71216, 'step': 600, 'algorithm': 'lcs_length'}
I0715 16:14:42.297014 127730363880960 run.py:723] (val) algo lcs_length step 650: {'b': 0.89697265625, 'score': 0.89697265625, 'examples_seen': 77288, 'step': 650, 'algorithm': 'lcs_length'}
I0715 16:14:45.530197 127730363880960 run.py:723] (val) algo lcs_length step 700: {'b': 0.870849609375, 'score': 0.870849609375, 'examples_seen': 83340, 'step': 700, 'algorithm': 'lcs_length'}
I0715 16:14:48.700438 127730363880960 run.py:723] (val) algo lcs_length step 750: {'b': 0.865966796875, 'score': 0.865966796875, 'examples_seen': 89291, 'step': 750, 'algorithm': 'lcs_length'}
I0715 16:14:51.883912 127730363880960 run.py:723] (val) algo lcs_length step 800: {'b': 0.906982421875, 'score': 0.906982421875, 'examples_seen': 95180, 'step': 800, 'algorithm': 'lcs_length'}
