{'min': 0.09033203125, 'score': 0.09033203125, 'examples_seen': 80, 'step': 0, 'algorithm': 'minimum'}
{'min': 0.65771484375, 'score': 0.65771484375, 'examples_seen': 2640, 'step': 50, 'algorithm': 'minimum'}
{'min': 0.574951171875, 'score': 0.574951171875, 'examples_seen': 5200, 'step': 100, 'algorithm': 'minimum'}
{'min': 0.5986328125, 'score': 0.5986328125, 'examples_seen': 7744, 'step': 150, 'algorithm': 'minimum'}
{'min': 0.840576171875, 'score': 0.840576171875, 'examples_seen': 10288, 'step': 200, 'algorithm': 'minimum'}
{'min': 0.83740234375, 'score': 0.83740234375, 'examples_seen': 12816, 'step': 250, 'algorithm': 'minimum'}
{'min': 0.879150390625, 'score': 0.879150390625, 'examples_seen': 15472, 'step': 300, 'algorithm': 'minimum'}
{'min': 0.891357421875, 'score': 0.891357421875, 'examples_seen': 18080, 'step': 350, 'algorithm': 'minimum'}
{'min': 0.910888671875, 'score': 0.910888671875, 'examples_seen': 20640, 'step': 400, 'algorithm': 'minimum'}
{'min': 0.89990234375, 'score': 0.89990234375, 'examples_seen': 23216, 'step': 450, 'algorithm': 'minimum'}
{'min': 0.944091796875, 'score': 0.944091796875, 'examples_seen': 25744, 'step': 500, 'algorithm': 'minimum'}
{'min': 0.939208984375, 'score': 0.939208984375, 'examples_seen': 28288, 'step': 550, 'algorithm': 'minimum'}
{'min': 0.96142578125, 'score': 0.96142578125, 'examples_seen': 30832, 'step': 600, 'algorithm': 'minimum'}
{'min': 0.878662109375, 'score': 0.878662109375, 'examples_seen': 33456, 'step': 650, 'algorithm': 'minimum'}
{'min': 0.877685546875, 'score': 0.877685546875, 'examples_seen': 36080, 'step': 700, 'algorithm': 'minimum'}
{'min': 0.87353515625, 'score': 0.87353515625, 'examples_seen': 38640, 'step': 750, 'algorithm': 'minimum'}
{'min': 0.94921875, 'score': 0.94921875, 'examples_seen': 41216, 'step': 800, 'algorithm': 'minimum'}
{'min': 0.95458984375, 'score': 0.95458984375, 'examples_seen': 43760, 'step': 850, 'algorithm': 'minimum'}
{'min': 0.957763671875, 'score': 0.957763671875, 'examples_seen': 46320, 'step': 900, 'algorithm': 'minimum'}
{'min': 0.95654296875, 'score': 0.95654296875, 'examples_seen': 48832, 'step': 950, 'algorithm': 'minimum'}
{'min': 0.966796875, 'score': 0.966796875, 'examples_seen': 51488, 'step': 1000, 'algorithm': 'minimum'}
{'min': 0.95068359375, 'score': 0.95068359375, 'examples_seen': 54080, 'step': 1050, 'algorithm': 'minimum'}
{'min': 0.83642578125, 'score': 0.83642578125, 'examples_seen': 56656, 'step': 1100, 'algorithm': 'minimum'}
{'min': 0.975341796875, 'score': 0.975341796875, 'examples_seen': 59232, 'step': 1150, 'algorithm': 'minimum'}
{'min': 0.93359375, 'score': 0.93359375, 'examples_seen': 61744, 'step': 1200, 'algorithm': 'minimum'}
{'min': 0.942138671875, 'score': 0.942138671875, 'examples_seen': 64304, 'step': 1250, 'algorithm': 'minimum'}
{'min': 0.93994140625, 'score': 0.93994140625, 'examples_seen': 66848, 'step': 1300, 'algorithm': 'minimum'}
{'min': 0.941162109375, 'score': 0.941162109375, 'examples_seen': 69472, 'step': 1350, 'algorithm': 'minimum'}
{'min': 0.955810546875, 'score': 0.955810546875, 'examples_seen': 72096, 'step': 1400, 'algorithm': 'minimum'}
{'min': 0.967041015625, 'score': 0.967041015625, 'examples_seen': 74656, 'step': 1450, 'algorithm': 'minimum'}
{'min': 0.96240234375, 'score': 0.96240234375, 'examples_seen': 77216, 'step': 1500, 'algorithm': 'minimum'}
{'min': 0.94482421875, 'score': 0.94482421875, 'examples_seen': 79760, 'step': 1550, 'algorithm': 'minimum'}
{'min': 0.96044921875, 'score': 0.96044921875, 'examples_seen': 82304, 'step': 1600, 'algorithm': 'minimum'}
{'min': 0.97607421875, 'score': 0.97607421875, 'examples_seen': 84832, 'step': 1650, 'algorithm': 'minimum'}
{'min': 0.9697265625, 'score': 0.9697265625, 'examples_seen': 87472, 'step': 1700, 'algorithm': 'minimum'}
{'min': 0.81689453125, 'score': 0.81689453125, 'examples_seen': 90096, 'step': 1750, 'algorithm': 'minimum'}
{'min': 0.95166015625, 'score': 0.95166015625, 'examples_seen': 92656, 'step': 1800, 'algorithm': 'minimum'}
{'min': 0.97021484375, 'score': 0.97021484375, 'examples_seen': 95232, 'step': 1850, 'algorithm': 'minimum'}
{'min': 0.96435546875, 'score': 0.96435546875, 'examples_seen': 97776, 'step': 1900, 'algorithm': 'minimum'}
{'min': 0.97216796875, 'score': 0.97216796875, 'examples_seen': 100320, 'step': 1950, 'algorithm': 'minimum'}
{'min': 0.96142578125, 'score': 0.96142578125, 'examples_seen': 102848, 'step': 2000, 'algorithm': 'minimum'}
{'min': 0.96826171875, 'score': 0.96826171875, 'examples_seen': 105488, 'step': 2050, 'algorithm': 'minimum'}
{'min': 0.964111328125, 'score': 0.964111328125, 'examples_seen': 108096, 'step': 2100, 'algorithm': 'minimum'}
{'min': 0.97802734375, 'score': 0.97802734375, 'examples_seen': 110688, 'step': 2150, 'algorithm': 'minimum'}
{'min': 0.89013671875, 'score': 0.89013671875, 'examples_seen': 113232, 'step': 2200, 'algorithm': 'minimum'}
{'min': 0.927734375, 'score': 0.927734375, 'examples_seen': 115760, 'step': 2250, 'algorithm': 'minimum'}
{'min': 0.94970703125, 'score': 0.94970703125, 'examples_seen': 118336, 'step': 2300, 'algorithm': 'minimum'}
{'min': 0.928466796875, 'score': 0.928466796875, 'examples_seen': 120848, 'step': 2350, 'algorithm': 'minimum'}
{'min': 0.974609375, 'score': 0.974609375, 'examples_seen': 123488, 'step': 2400, 'algorithm': 'minimum'}
{'min': 0.94140625, 'score': 0.94140625, 'examples_seen': 126112, 'step': 2450, 'algorithm': 'minimum'}
{'min': 0.9453125, 'score': 0.9453125, 'examples_seen': 128656, 'step': 2500, 'algorithm': 'minimum'}
{'min': 0.968017578125, 'score': 0.968017578125, 'examples_seen': 131232, 'step': 2550, 'algorithm': 'minimum'}
{'min': 0.94970703125, 'score': 0.94970703125, 'examples_seen': 133760, 'step': 2600, 'algorithm': 'minimum'}
{'min': 0.956298828125, 'score': 0.956298828125, 'examples_seen': 136304, 'step': 2650, 'algorithm': 'minimum'}
{'min': 0.974365234375, 'score': 0.974365234375, 'examples_seen': 138848, 'step': 2700, 'algorithm': 'minimum'}
{'min': 0.95654296875, 'score': 0.95654296875, 'examples_seen': 141488, 'step': 2750, 'algorithm': 'minimum'}
{'min': 0.965576171875, 'score': 0.965576171875, 'examples_seen': 144112, 'step': 2800, 'algorithm': 'minimum'}
{'min': 0.96337890625, 'score': 0.96337890625, 'examples_seen': 146672, 'step': 2850, 'algorithm': 'minimum'}
{'min': 0.977294921875, 'score': 0.977294921875, 'examples_seen': 149216, 'step': 2900, 'algorithm': 'minimum'}
{'min': 0.926025390625, 'score': 0.926025390625, 'examples_seen': 151776, 'step': 2950, 'algorithm': 'minimum'}
{'min': 0.97314453125, 'score': 0.97314453125, 'examples_seen': 154320, 'step': 3000, 'algorithm': 'minimum'}
{'min': 0.97607421875, 'score': 0.97607421875, 'examples_seen': 156832, 'step': 3050, 'algorithm': 'minimum'}
{'min': 0.9716796875, 'score': 0.9716796875, 'examples_seen': 159488, 'step': 3100, 'algorithm': 'minimum'}
{'min': 0.93994140625, 'score': 0.93994140625, 'examples_seen': 162112, 'step': 3150, 'algorithm': 'minimum'}
{'min': 0.966064453125, 'score': 0.966064453125, 'examples_seen': 164672, 'step': 3200, 'algorithm': 'minimum'}
{'min': 0.983154296875, 'score': 0.983154296875, 'examples_seen': 167248, 'step': 3250, 'algorithm': 'minimum'}
{'min': 0.945068359375, 'score': 0.945068359375, 'examples_seen': 169776, 'step': 3300, 'algorithm': 'minimum'}
{'min': 0.954345703125, 'score': 0.954345703125, 'examples_seen': 172336, 'step': 3350, 'algorithm': 'minimum'}
{'min': 0.969482421875, 'score': 0.969482421875, 'examples_seen': 174864, 'step': 3400, 'algorithm': 'minimum'}
{'min': 0.9716796875, 'score': 0.9716796875, 'examples_seen': 177504, 'step': 3450, 'algorithm': 'minimum'}
{'min': 0.97802734375, 'score': 0.97802734375, 'examples_seen': 180112, 'step': 3500, 'algorithm': 'minimum'}
{'min': 0.9697265625, 'score': 0.9697265625, 'examples_seen': 182672, 'step': 3550, 'algorithm': 'minimum'}
{'min': 0.93701171875, 'score': 0.93701171875, 'examples_seen': 185248, 'step': 3600, 'algorithm': 'minimum'}
{'min': 0.9697265625, 'score': 0.9697265625, 'examples_seen': 187776, 'step': 3650, 'algorithm': 'minimum'}
{'min': 0.93310546875, 'score': 0.93310546875, 'examples_seen': 190320, 'step': 3700, 'algorithm': 'minimum'}
{'min': 0.95458984375, 'score': 0.95458984375, 'examples_seen': 192864, 'step': 3750, 'algorithm': 'minimum'}
{'min': 0.977294921875, 'score': 0.977294921875, 'examples_seen': 195504, 'step': 3800, 'algorithm': 'minimum'}
{'min': 0.97802734375, 'score': 0.97802734375, 'examples_seen': 198128, 'step': 3850, 'algorithm': 'minimum'}
{'min': 0.969970703125, 'score': 0.969970703125, 'examples_seen': 200672, 'step': 3900, 'algorithm': 'minimum'}
{'min': 0.97802734375, 'score': 0.97802734375, 'examples_seen': 203232, 'step': 3950, 'algorithm': 'minimum'}
{'min': 0.970703125, 'score': 0.970703125, 'examples_seen': 205792, 'step': 4000, 'algorithm': 'minimum'}
{'min': 0.984375, 'score': 0.984375, 'examples_seen': 208320, 'step': 4050, 'algorithm': 'minimum'}
{'min': 0.9736328125, 'score': 0.9736328125, 'examples_seen': 210848, 'step': 4100, 'algorithm': 'minimum'}
{'min': 0.92626953125, 'score': 0.92626953125, 'examples_seen': 213520, 'step': 4150, 'algorithm': 'minimum'}
{'min': 0.97216796875, 'score': 0.97216796875, 'examples_seen': 216112, 'step': 4200, 'algorithm': 'minimum'}
{'min': 0.97314453125, 'score': 0.97314453125, 'examples_seen': 218688, 'step': 4250, 'algorithm': 'minimum'}
{'min': 0.9658203125, 'score': 0.9658203125, 'examples_seen': 221248, 'step': 4300, 'algorithm': 'minimum'}
{'min': 0.95556640625, 'score': 0.95556640625, 'examples_seen': 223792, 'step': 4350, 'algorithm': 'minimum'}
{'min': 0.98291015625, 'score': 0.98291015625, 'examples_seen': 226352, 'step': 4400, 'algorithm': 'minimum'}
{'min': 0.96240234375, 'score': 0.96240234375, 'examples_seen': 228880, 'step': 4450, 'algorithm': 'minimum'}
{'min': 0.97998046875, 'score': 0.97998046875, 'examples_seen': 231504, 'step': 4500, 'algorithm': 'minimum'}
{'min': 0.979248046875, 'score': 0.979248046875, 'examples_seen': 234128, 'step': 4550, 'algorithm': 'minimum'}
{'min': 0.96533203125, 'score': 0.96533203125, 'examples_seen': 236688, 'step': 4600, 'algorithm': 'minimum'}
{'min': 0.9853515625, 'score': 0.9853515625, 'examples_seen': 239264, 'step': 4650, 'algorithm': 'minimum'}
{'min': 0.915283203125, 'score': 0.915283203125, 'examples_seen': 241792, 'step': 4700, 'algorithm': 'minimum'}
{'min': 0.98583984375, 'score': 0.98583984375, 'examples_seen': 244336, 'step': 4750, 'algorithm': 'minimum'}
{'min': 0.95068359375, 'score': 0.95068359375, 'examples_seen': 246880, 'step': 4800, 'algorithm': 'minimum'}
{'min': 0.9765625, 'score': 0.9765625, 'examples_seen': 249520, 'step': 4850, 'algorithm': 'minimum'}
{'min': 0.96923828125, 'score': 0.96923828125, 'examples_seen': 252128, 'step': 4900, 'algorithm': 'minimum'}
{'min': 0.978271484375, 'score': 0.978271484375, 'examples_seen': 254688, 'step': 4950, 'algorithm': 'minimum'}
{'min': 0.9306640625, 'score': 0.9306640625, 'examples_seen': 257264, 'step': 5000, 'algorithm': 'minimum'}
{'min': 0.977783203125, 'score': 0.977783203125, 'examples_seen': 259792, 'step': 5050, 'algorithm': 'minimum'}
{'min': 0.981201171875, 'score': 0.981201171875, 'examples_seen': 262336, 'step': 5100, 'algorithm': 'minimum'}
{'min': 0.977783203125, 'score': 0.977783203125, 'examples_seen': 264880, 'step': 5150, 'algorithm': 'minimum'}
{'min': 0.96533203125, 'score': 0.96533203125, 'examples_seen': 267520, 'step': 5200, 'algorithm': 'minimum'}
{'min': 0.9755859375, 'score': 0.9755859375, 'examples_seen': 270128, 'step': 5250, 'algorithm': 'minimum'}
{'min': 0.94921875, 'score': 0.94921875, 'examples_seen': 272688, 'step': 5300, 'algorithm': 'minimum'}
{'min': 0.973876953125, 'score': 0.973876953125, 'examples_seen': 275248, 'step': 5350, 'algorithm': 'minimum'}
{'min': 0.959228515625, 'score': 0.959228515625, 'examples_seen': 277792, 'step': 5400, 'algorithm': 'minimum'}
{'min': 0.955810546875, 'score': 0.955810546875, 'examples_seen': 280352, 'step': 5450, 'algorithm': 'minimum'}
{'min': 0.94140625, 'score': 0.94140625, 'examples_seen': 282864, 'step': 5500, 'algorithm': 'minimum'}
{'min': 0.972412109375, 'score': 0.972412109375, 'examples_seen': 285504, 'step': 5550, 'algorithm': 'minimum'}
{'min': 0.97705078125, 'score': 0.97705078125, 'examples_seen': 288128, 'step': 5600, 'algorithm': 'minimum'}
{'min': 0.941650390625, 'score': 0.941650390625, 'examples_seen': 290688, 'step': 5650, 'algorithm': 'minimum'}
{'min': 0.975830078125, 'score': 0.975830078125, 'examples_seen': 293280, 'step': 5700, 'algorithm': 'minimum'}
{'min': 0.975341796875, 'score': 0.975341796875, 'examples_seen': 295808, 'step': 5750, 'algorithm': 'minimum'}
{'min': 0.963623046875, 'score': 0.963623046875, 'examples_seen': 298352, 'step': 5800, 'algorithm': 'minimum'}
{'min': 0.94873046875, 'score': 0.94873046875, 'examples_seen': 300896, 'step': 5850, 'algorithm': 'minimum'}
{'min': 0.987060546875, 'score': 0.987060546875, 'examples_seen': 303520, 'step': 5900, 'algorithm': 'minimum'}
{'min': 0.98388671875, 'score': 0.98388671875, 'examples_seen': 306144, 'step': 5950, 'algorithm': 'minimum'}
{'min': 0.988037109375, 'score': 0.988037109375, 'examples_seen': 308720, 'step': 6000, 'algorithm': 'minimum'}
{'min': 0.973388671875, 'score': 0.973388671875, 'examples_seen': 311264, 'step': 6050, 'algorithm': 'minimum'}
{'min': 0.9375, 'score': 0.9375, 'examples_seen': 313808, 'step': 6100, 'algorithm': 'minimum'}
{'min': 0.96826171875, 'score': 0.96826171875, 'examples_seen': 316368, 'step': 6150, 'algorithm': 'minimum'}
{'min': 0.935546875, 'score': 0.935546875, 'examples_seen': 318880, 'step': 6200, 'algorithm': 'minimum'}
{'min': 0.96240234375, 'score': 0.96240234375, 'examples_seen': 321536, 'step': 6250, 'algorithm': 'minimum'}
{'min': 0.970947265625, 'score': 0.970947265625, 'examples_seen': 324128, 'step': 6300, 'algorithm': 'minimum'}
{'min': 0.992431640625, 'score': 0.992431640625, 'examples_seen': 326704, 'step': 6350, 'algorithm': 'minimum'}
