{'in_mst': 0.36396946564885496, 'score': 0.36396946564885496, 'examples_seen': 173, 'step': 0, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.4687975646879756, 'score': 0.4687975646879756, 'examples_seen': 4391, 'step': 50, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.5838180856689582, 'score': 0.5838180856689582, 'examples_seen': 8479, 'step': 100, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.3478260869565217, 'score': 0.3478260869565217, 'examples_seen': 12607, 'step': 150, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.4578833693304536, 'score': 0.4578833693304536, 'examples_seen': 16654, 'step': 200, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.6437462951985773, 'score': 0.6437462951985773, 'examples_seen': 20657, 'step': 250, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.6763848396501457, 'score': 0.6763848396501457, 'examples_seen': 24913, 'step': 300, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.5807935595169638, 'score': 0.5807935595169638, 'examples_seen': 29115, 'step': 350, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.5899280575539569, 'score': 0.5899280575539569, 'examples_seen': 33291, 'step': 400, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.5741741741741742, 'score': 0.5741741741741742, 'examples_seen': 37323, 'step': 450, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.6257521058965103, 'score': 0.6257521058965103, 'examples_seen': 41441, 'step': 500, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.5611325611325612, 'score': 0.5611325611325612, 'examples_seen': 45561, 'step': 550, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.6530856800479329, 'score': 0.6530856800479329, 'examples_seen': 49670, 'step': 600, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.6541554959785523, 'score': 0.6541554959785523, 'examples_seen': 53982, 'step': 650, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.6666666666666666, 'score': 0.6666666666666666, 'examples_seen': 58197, 'step': 700, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.6057818659658345, 'score': 0.6057818659658345, 'examples_seen': 62281, 'step': 750, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.5667299177735611, 'score': 0.5667299177735611, 'examples_seen': 66331, 'step': 800, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.621152770005596, 'score': 0.621152770005596, 'examples_seen': 70296, 'step': 850, 'algorithm': 'mst_kruskal'}
