{'root': 0.5055147058823529, 'score': 0.5055147058823529, 'examples_seen': 64, 'step': 0, 'algorithm': 'optimal_bst'}
{'root': 0.6064554498269896, 'score': 0.6064554498269896, 'examples_seen': 2080, 'step': 50, 'algorithm': 'optimal_bst'}
{'root': 0.6854995674740484, 'score': 0.6854995674740484, 'examples_seen': 4064, 'step': 100, 'algorithm': 'optimal_bst'}
{'root': 0.7589208477508651, 'score': 0.7589208477508651, 'examples_seen': 6016, 'step': 150, 'algorithm': 'optimal_bst'}
{'root': 0.7538386678200693, 'score': 0.7538386678200693, 'examples_seen': 8016, 'step': 200, 'algorithm': 'optimal_bst'}
{'root': 0.8197448096885813, 'score': 0.8197448096885813, 'examples_seen': 9952, 'step': 250, 'algorithm': 'optimal_bst'}
{'root': 0.8494809688581315, 'score': 0.8494809688581315, 'examples_seen': 12000, 'step': 300, 'algorithm': 'optimal_bst'}
{'root': 0.8556444636678201, 'score': 0.8556444636678201, 'examples_seen': 14032, 'step': 350, 'algorithm': 'optimal_bst'}
{'root': 0.8318014705882353, 'score': 0.8318014705882353, 'examples_seen': 16000, 'step': 400, 'algorithm': 'optimal_bst'}
{'root': 0.7070177335640139, 'score': 0.7070177335640139, 'examples_seen': 18000, 'step': 450, 'algorithm': 'optimal_bst'}
{'root': 0.8346128892733564, 'score': 0.8346128892733564, 'examples_seen': 19952, 'step': 500, 'algorithm': 'optimal_bst'}
{'root': 0.9106293252595156, 'score': 0.9106293252595156, 'examples_seen': 21920, 'step': 550, 'algorithm': 'optimal_bst'}
{'root': 0.9055471453287197, 'score': 0.9055471453287197, 'examples_seen': 23904, 'step': 600, 'algorithm': 'optimal_bst'}
{'root': 0.8921388408304498, 'score': 0.8921388408304498, 'examples_seen': 25920, 'step': 650, 'algorithm': 'optimal_bst'}
{'root': 0.7637867647058824, 'score': 0.7637867647058824, 'examples_seen': 27952, 'step': 700, 'algorithm': 'optimal_bst'}
{'root': 0.9107374567474048, 'score': 0.9107374567474048, 'examples_seen': 29936, 'step': 750, 'algorithm': 'optimal_bst'}
{'root': 0.909818339100346, 'score': 0.909818339100346, 'examples_seen': 31920, 'step': 800, 'algorithm': 'optimal_bst'}
{'root': 0.9147383217993079, 'score': 0.9147383217993079, 'examples_seen': 33904, 'step': 850, 'algorithm': 'optimal_bst'}
{'root': 0.9286332179930796, 'score': 0.9286332179930796, 'examples_seen': 35856, 'step': 900, 'algorithm': 'optimal_bst'}
{'root': 0.9272815743944637, 'score': 0.9272815743944637, 'examples_seen': 37808, 'step': 950, 'algorithm': 'optimal_bst'}
{'root': 0.9267409169550173, 'score': 0.9267409169550173, 'examples_seen': 39872, 'step': 1000, 'algorithm': 'optimal_bst'}
{'root': 0.8812175605536332, 'score': 0.8812175605536332, 'examples_seen': 41872, 'step': 1050, 'algorithm': 'optimal_bst'}
{'root': 0.862510813148789, 'score': 0.862510813148789, 'examples_seen': 43872, 'step': 1100, 'algorithm': 'optimal_bst'}
{'root': 0.9180363321799307, 'score': 0.9180363321799307, 'examples_seen': 45856, 'step': 1150, 'algorithm': 'optimal_bst'}
{'root': 0.912791955017301, 'score': 0.912791955017301, 'examples_seen': 47808, 'step': 1200, 'algorithm': 'optimal_bst'}
{'root': 0.8799740484429066, 'score': 0.8799740484429066, 'examples_seen': 49808, 'step': 1250, 'algorithm': 'optimal_bst'}
{'root': 0.932742214532872, 'score': 0.932742214532872, 'examples_seen': 51760, 'step': 1300, 'algorithm': 'optimal_bst'}
{'root': 0.9287954152249135, 'score': 0.9287954152249135, 'examples_seen': 53792, 'step': 1350, 'algorithm': 'optimal_bst'}
{'root': 0.9233347750865052, 'score': 0.9233347750865052, 'examples_seen': 55824, 'step': 1400, 'algorithm': 'optimal_bst'}
{'root': 0.9101967993079585, 'score': 0.9101967993079585, 'examples_seen': 57792, 'step': 1450, 'algorithm': 'optimal_bst'}
{'root': 0.8995458477508651, 'score': 0.8995458477508651, 'examples_seen': 59792, 'step': 1500, 'algorithm': 'optimal_bst'}
{'root': 0.9362564878892734, 'score': 0.9362564878892734, 'examples_seen': 61744, 'step': 1550, 'algorithm': 'optimal_bst'}
{'root': 0.9404195501730104, 'score': 0.9404195501730104, 'examples_seen': 63712, 'step': 1600, 'algorithm': 'optimal_bst'}
{'root': 0.9371215397923875, 'score': 0.9371215397923875, 'examples_seen': 65712, 'step': 1650, 'algorithm': 'optimal_bst'}
{'root': 0.9389057093425606, 'score': 0.9389057093425606, 'examples_seen': 67712, 'step': 1700, 'algorithm': 'optimal_bst'}
{'root': 0.9224156574394463, 'score': 0.9224156574394463, 'examples_seen': 69744, 'step': 1750, 'algorithm': 'optimal_bst'}
{'root': 0.9255514705882353, 'score': 0.9255514705882353, 'examples_seen': 71728, 'step': 1800, 'algorithm': 'optimal_bst'}
{'root': 0.9259839965397924, 'score': 0.9259839965397924, 'examples_seen': 73712, 'step': 1850, 'algorithm': 'optimal_bst'}
{'root': 0.9298767301038062, 'score': 0.9298767301038062, 'examples_seen': 75712, 'step': 1900, 'algorithm': 'optimal_bst'}
{'root': 0.9179822664359861, 'score': 0.9179822664359861, 'examples_seen': 77664, 'step': 1950, 'algorithm': 'optimal_bst'}
{'root': 0.9463667820069204, 'score': 0.9463667820069204, 'examples_seen': 79632, 'step': 2000, 'algorithm': 'optimal_bst'}
{'root': 0.9336613321799307, 'score': 0.9336613321799307, 'examples_seen': 81680, 'step': 2050, 'algorithm': 'optimal_bst'}
{'root': 0.939121972318339, 'score': 0.939121972318339, 'examples_seen': 83680, 'step': 2100, 'algorithm': 'optimal_bst'}
{'root': 0.9375, 'score': 0.9375, 'examples_seen': 85680, 'step': 2150, 'algorithm': 'optimal_bst'}
{'root': 0.9203070934256056, 'score': 0.9203070934256056, 'examples_seen': 87664, 'step': 2200, 'algorithm': 'optimal_bst'}
{'root': 0.8950043252595156, 'score': 0.8950043252595156, 'examples_seen': 89632, 'step': 2250, 'algorithm': 'optimal_bst'}
{'root': 0.9447988754325259, 'score': 0.9447988754325259, 'examples_seen': 91616, 'step': 2300, 'algorithm': 'optimal_bst'}
{'root': 0.9446366782006921, 'score': 0.9446366782006921, 'examples_seen': 93568, 'step': 2350, 'algorithm': 'optimal_bst'}
{'root': 0.923226643598616, 'score': 0.923226643598616, 'examples_seen': 95600, 'step': 2400, 'algorithm': 'optimal_bst'}
{'root': 0.9407439446366782, 'score': 0.9407439446366782, 'examples_seen': 97632, 'step': 2450, 'algorithm': 'optimal_bst'}
{'root': 0.9475562283737025, 'score': 0.9475562283737025, 'examples_seen': 99600, 'step': 2500, 'algorithm': 'optimal_bst'}
{'root': 0.8966803633217993, 'score': 0.8966803633217993, 'examples_seen': 101600, 'step': 2550, 'algorithm': 'optimal_bst'}
{'root': 0.9327962802768166, 'score': 0.9327962802768166, 'examples_seen': 103568, 'step': 2600, 'algorithm': 'optimal_bst'}
{'root': 0.9437175605536332, 'score': 0.9437175605536332, 'examples_seen': 105520, 'step': 2650, 'algorithm': 'optimal_bst'}
{'root': 0.9446907439446367, 'score': 0.9446907439446367, 'examples_seen': 107520, 'step': 2700, 'algorithm': 'optimal_bst'}
{'root': 0.9488538062283737, 'score': 0.9488538062283737, 'examples_seen': 109520, 'step': 2750, 'algorithm': 'optimal_bst'}
{'root': 0.9288494809688581, 'score': 0.9288494809688581, 'examples_seen': 111552, 'step': 2800, 'algorithm': 'optimal_bst'}
{'root': 0.8908412629757786, 'score': 0.8908412629757786, 'examples_seen': 113552, 'step': 2850, 'algorithm': 'optimal_bst'}
{'root': 0.9141976643598616, 'score': 0.9141976643598616, 'examples_seen': 115520, 'step': 2900, 'algorithm': 'optimal_bst'}
{'root': 0.9487456747404844, 'score': 0.9487456747404844, 'examples_seen': 117520, 'step': 2950, 'algorithm': 'optimal_bst'}
{'root': 0.9462586505190311, 'score': 0.9462586505190311, 'examples_seen': 119456, 'step': 3000, 'algorithm': 'optimal_bst'}
{'root': 0.9481509515570934, 'score': 0.9481509515570934, 'examples_seen': 121424, 'step': 3050, 'algorithm': 'optimal_bst'}
{'root': 0.9431769031141869, 'score': 0.9431769031141869, 'examples_seen': 123472, 'step': 3100, 'algorithm': 'optimal_bst'}
{'root': 0.9446907439446367, 'score': 0.9446907439446367, 'examples_seen': 125472, 'step': 3150, 'algorithm': 'optimal_bst'}
{'root': 0.9201448961937716, 'score': 0.9201448961937716, 'examples_seen': 127488, 'step': 3200, 'algorithm': 'optimal_bst'}
