{'median': 0.029052734375, 'score': 0.029052734375, 'examples_seen': 46, 'step': 0, 'algorithm': 'quickselect'}
{'median': 0.060546875, 'score': 0.060546875, 'examples_seen': 1653, 'step': 50, 'algorithm': 'quickselect'}
{'median': 0.075927734375, 'score': 0.075927734375, 'examples_seen': 3277, 'step': 100, 'algorithm': 'quickselect'}
{'median': 0.157958984375, 'score': 0.157958984375, 'examples_seen': 4881, 'step': 150, 'algorithm': 'quickselect'}
{'median': 0.199462890625, 'score': 0.199462890625, 'examples_seen': 6472, 'step': 200, 'algorithm': 'quickselect'}
{'median': 0.1748046875, 'score': 0.1748046875, 'examples_seen': 8061, 'step': 250, 'algorithm': 'quickselect'}
{'median': 0.2265625, 'score': 0.2265625, 'examples_seen': 9734, 'step': 300, 'algorithm': 'quickselect'}
{'median': 0.212158203125, 'score': 0.212158203125, 'examples_seen': 11367, 'step': 350, 'algorithm': 'quickselect'}
{'median': 0.14208984375, 'score': 0.14208984375, 'examples_seen': 12963, 'step': 400, 'algorithm': 'quickselect'}
{'median': 0.15185546875, 'score': 0.15185546875, 'examples_seen': 14543, 'step': 450, 'algorithm': 'quickselect'}
{'median': 0.214599609375, 'score': 0.214599609375, 'examples_seen': 16145, 'step': 500, 'algorithm': 'quickselect'}
{'median': 0.19580078125, 'score': 0.19580078125, 'examples_seen': 17728, 'step': 550, 'algorithm': 'quickselect'}
{'median': 0.240966796875, 'score': 0.240966796875, 'examples_seen': 19323, 'step': 600, 'algorithm': 'quickselect'}
{'median': 0.171875, 'score': 0.171875, 'examples_seen': 21004, 'step': 650, 'algorithm': 'quickselect'}
{'median': 0.227783203125, 'score': 0.227783203125, 'examples_seen': 22632, 'step': 700, 'algorithm': 'quickselect'}
{'median': 0.185302734375, 'score': 0.185302734375, 'examples_seen': 24241, 'step': 750, 'algorithm': 'quickselect'}
{'median': 0.18603515625, 'score': 0.18603515625, 'examples_seen': 25833, 'step': 800, 'algorithm': 'quickselect'}
{'median': 0.2333984375, 'score': 0.2333984375, 'examples_seen': 27431, 'step': 850, 'algorithm': 'quickselect'}
{'median': 0.26708984375, 'score': 0.26708984375, 'examples_seen': 29033, 'step': 900, 'algorithm': 'quickselect'}
{'median': 0.215576171875, 'score': 0.215576171875, 'examples_seen': 30646, 'step': 950, 'algorithm': 'quickselect'}
{'median': 0.224365234375, 'score': 0.224365234375, 'examples_seen': 32349, 'step': 1000, 'algorithm': 'quickselect'}
{'median': 0.26708984375, 'score': 0.26708984375, 'examples_seen': 33968, 'step': 1050, 'algorithm': 'quickselect'}
{'median': 0.24560546875, 'score': 0.24560546875, 'examples_seen': 35594, 'step': 1100, 'algorithm': 'quickselect'}
{'median': 0.20556640625, 'score': 0.20556640625, 'examples_seen': 37192, 'step': 1150, 'algorithm': 'quickselect'}
{'median': 0.20458984375, 'score': 0.20458984375, 'examples_seen': 38766, 'step': 1200, 'algorithm': 'quickselect'}
{'median': 0.20654296875, 'score': 0.20654296875, 'examples_seen': 40371, 'step': 1250, 'algorithm': 'quickselect'}
{'median': 0.162353515625, 'score': 0.162353515625, 'examples_seen': 41953, 'step': 1300, 'algorithm': 'quickselect'}
{'median': 0.120849609375, 'score': 0.120849609375, 'examples_seen': 43643, 'step': 1350, 'algorithm': 'quickselect'}
{'median': 0.146240234375, 'score': 0.146240234375, 'examples_seen': 45300, 'step': 1400, 'algorithm': 'quickselect'}
{'median': 0.1787109375, 'score': 0.1787109375, 'examples_seen': 46902, 'step': 1450, 'algorithm': 'quickselect'}
{'median': 0.184814453125, 'score': 0.184814453125, 'examples_seen': 48509, 'step': 1500, 'algorithm': 'quickselect'}
{'median': 0.12646484375, 'score': 0.12646484375, 'examples_seen': 50107, 'step': 1550, 'algorithm': 'quickselect'}
{'median': 0.223876953125, 'score': 0.223876953125, 'examples_seen': 51716, 'step': 1600, 'algorithm': 'quickselect'}
{'median': 0.15869140625, 'score': 0.15869140625, 'examples_seen': 53287, 'step': 1650, 'algorithm': 'quickselect'}
{'median': 0.145751953125, 'score': 0.145751953125, 'examples_seen': 54980, 'step': 1700, 'algorithm': 'quickselect'}
{'median': 0.1220703125, 'score': 0.1220703125, 'examples_seen': 56623, 'step': 1750, 'algorithm': 'quickselect'}
{'median': 0.156494140625, 'score': 0.156494140625, 'examples_seen': 58234, 'step': 1800, 'algorithm': 'quickselect'}
{'median': 0.1767578125, 'score': 0.1767578125, 'examples_seen': 59815, 'step': 1850, 'algorithm': 'quickselect'}
{'median': 0.114501953125, 'score': 0.114501953125, 'examples_seen': 61409, 'step': 1900, 'algorithm': 'quickselect'}
{'median': 0.15380859375, 'score': 0.15380859375, 'examples_seen': 62998, 'step': 1950, 'algorithm': 'quickselect'}
{'median': 0.157958984375, 'score': 0.157958984375, 'examples_seen': 64577, 'step': 2000, 'algorithm': 'quickselect'}
{'median': 0.13427734375, 'score': 0.13427734375, 'examples_seen': 66280, 'step': 2050, 'algorithm': 'quickselect'}
{'median': 0.19384765625, 'score': 0.19384765625, 'examples_seen': 67907, 'step': 2100, 'algorithm': 'quickselect'}
{'median': 0.104736328125, 'score': 0.104736328125, 'examples_seen': 69528, 'step': 2150, 'algorithm': 'quickselect'}
{'median': 0.118408203125, 'score': 0.118408203125, 'examples_seen': 71127, 'step': 2200, 'algorithm': 'quickselect'}
{'median': 0.152587890625, 'score': 0.152587890625, 'examples_seen': 72720, 'step': 2250, 'algorithm': 'quickselect'}
{'median': 0.144775390625, 'score': 0.144775390625, 'examples_seen': 74319, 'step': 2300, 'algorithm': 'quickselect'}
{'median': 0.20556640625, 'score': 0.20556640625, 'examples_seen': 75922, 'step': 2350, 'algorithm': 'quickselect'}
{'median': 0.14599609375, 'score': 0.14599609375, 'examples_seen': 77601, 'step': 2400, 'algorithm': 'quickselect'}
{'median': 0.133544921875, 'score': 0.133544921875, 'examples_seen': 79240, 'step': 2450, 'algorithm': 'quickselect'}
{'median': 0.13623046875, 'score': 0.13623046875, 'examples_seen': 80842, 'step': 2500, 'algorithm': 'quickselect'}
{'median': 0.181640625, 'score': 0.181640625, 'examples_seen': 82446, 'step': 2550, 'algorithm': 'quickselect'}
{'median': 0.1865234375, 'score': 0.1865234375, 'examples_seen': 84033, 'step': 2600, 'algorithm': 'quickselect'}
{'median': 0.14990234375, 'score': 0.14990234375, 'examples_seen': 85629, 'step': 2650, 'algorithm': 'quickselect'}
{'median': 0.133544921875, 'score': 0.133544921875, 'examples_seen': 87219, 'step': 2700, 'algorithm': 'quickselect'}
{'median': 0.17041015625, 'score': 0.17041015625, 'examples_seen': 88901, 'step': 2750, 'algorithm': 'quickselect'}
{'median': 0.200439453125, 'score': 0.200439453125, 'examples_seen': 90553, 'step': 2800, 'algorithm': 'quickselect'}
{'median': 0.164794921875, 'score': 0.164794921875, 'examples_seen': 92169, 'step': 2850, 'algorithm': 'quickselect'}
{'median': 0.175048828125, 'score': 0.175048828125, 'examples_seen': 93760, 'step': 2900, 'algorithm': 'quickselect'}
{'median': 0.153564453125, 'score': 0.153564453125, 'examples_seen': 95361, 'step': 2950, 'algorithm': 'quickselect'}
{'median': 0.1220703125, 'score': 0.1220703125, 'examples_seen': 96964, 'step': 3000, 'algorithm': 'quickselect'}
{'median': 0.10595703125, 'score': 0.10595703125, 'examples_seen': 98545, 'step': 3050, 'algorithm': 'quickselect'}
{'median': 0.139404296875, 'score': 0.139404296875, 'examples_seen': 100240, 'step': 3100, 'algorithm': 'quickselect'}
{'median': 0.128173828125, 'score': 0.128173828125, 'examples_seen': 101873, 'step': 3150, 'algorithm': 'quickselect'}
{'median': 0.0947265625, 'score': 0.0947265625, 'examples_seen': 103477, 'step': 3200, 'algorithm': 'quickselect'}
{'median': 0.11572265625, 'score': 0.11572265625, 'examples_seen': 105081, 'step': 3250, 'algorithm': 'quickselect'}
{'median': 0.129638671875, 'score': 0.129638671875, 'examples_seen': 106693, 'step': 3300, 'algorithm': 'quickselect'}
{'median': 0.167724609375, 'score': 0.167724609375, 'examples_seen': 108284, 'step': 3350, 'algorithm': 'quickselect'}
{'median': 0.118408203125, 'score': 0.118408203125, 'examples_seen': 109876, 'step': 3400, 'algorithm': 'quickselect'}
{'median': 0.1787109375, 'score': 0.1787109375, 'examples_seen': 111568, 'step': 3450, 'algorithm': 'quickselect'}
{'median': 0.19677734375, 'score': 0.19677734375, 'examples_seen': 113210, 'step': 3500, 'algorithm': 'quickselect'}
{'median': 0.125732421875, 'score': 0.125732421875, 'examples_seen': 114837, 'step': 3550, 'algorithm': 'quickselect'}
{'median': 0.14208984375, 'score': 0.14208984375, 'examples_seen': 116452, 'step': 3600, 'algorithm': 'quickselect'}
{'median': 0.140625, 'score': 0.140625, 'examples_seen': 118059, 'step': 3650, 'algorithm': 'quickselect'}
{'median': 0.12353515625, 'score': 0.12353515625, 'examples_seen': 119646, 'step': 3700, 'algorithm': 'quickselect'}
{'median': 0.14794921875, 'score': 0.14794921875, 'examples_seen': 121242, 'step': 3750, 'algorithm': 'quickselect'}
{'median': 0.10498046875, 'score': 0.10498046875, 'examples_seen': 122929, 'step': 3800, 'algorithm': 'quickselect'}
{'median': 0.161376953125, 'score': 0.161376953125, 'examples_seen': 124559, 'step': 3850, 'algorithm': 'quickselect'}
{'median': 0.268798828125, 'score': 0.268798828125, 'examples_seen': 126160, 'step': 3900, 'algorithm': 'quickselect'}
{'median': 0.109130859375, 'score': 0.109130859375, 'examples_seen': 127760, 'step': 3950, 'algorithm': 'quickselect'}
{'median': 0.086181640625, 'score': 0.086181640625, 'examples_seen': 129362, 'step': 4000, 'algorithm': 'quickselect'}
{'median': 0.267333984375, 'score': 0.267333984375, 'examples_seen': 130946, 'step': 4050, 'algorithm': 'quickselect'}
{'median': 0.13330078125, 'score': 0.13330078125, 'examples_seen': 132502, 'step': 4100, 'algorithm': 'quickselect'}
{'median': 0.122314453125, 'score': 0.122314453125, 'examples_seen': 134189, 'step': 4150, 'algorithm': 'quickselect'}
{'median': 0.259765625, 'score': 0.259765625, 'examples_seen': 135817, 'step': 4200, 'algorithm': 'quickselect'}
{'median': 0.1826171875, 'score': 0.1826171875, 'examples_seen': 137434, 'step': 4250, 'algorithm': 'quickselect'}
{'median': 0.119873046875, 'score': 0.119873046875, 'examples_seen': 139044, 'step': 4300, 'algorithm': 'quickselect'}
{'median': 0.1767578125, 'score': 0.1767578125, 'examples_seen': 140610, 'step': 4350, 'algorithm': 'quickselect'}
{'median': 0.211181640625, 'score': 0.211181640625, 'examples_seen': 142193, 'step': 4400, 'algorithm': 'quickselect'}
{'median': 0.09033203125, 'score': 0.09033203125, 'examples_seen': 143774, 'step': 4450, 'algorithm': 'quickselect'}
{'median': 0.125244140625, 'score': 0.125244140625, 'examples_seen': 145472, 'step': 4500, 'algorithm': 'quickselect'}
{'median': 0.104248046875, 'score': 0.104248046875, 'examples_seen': 147128, 'step': 4550, 'algorithm': 'quickselect'}
{'median': 0.103515625, 'score': 0.103515625, 'examples_seen': 148731, 'step': 4600, 'algorithm': 'quickselect'}
{'median': 0.1171875, 'score': 0.1171875, 'examples_seen': 150349, 'step': 4650, 'algorithm': 'quickselect'}
{'median': 0.146240234375, 'score': 0.146240234375, 'examples_seen': 151923, 'step': 4700, 'algorithm': 'quickselect'}
{'median': 0.168701171875, 'score': 0.168701171875, 'examples_seen': 153491, 'step': 4750, 'algorithm': 'quickselect'}
{'median': 0.177978515625, 'score': 0.177978515625, 'examples_seen': 155084, 'step': 4800, 'algorithm': 'quickselect'}
{'median': 0.12451171875, 'score': 0.12451171875, 'examples_seen': 156776, 'step': 4850, 'algorithm': 'quickselect'}
{'median': 0.186767578125, 'score': 0.186767578125, 'examples_seen': 158405, 'step': 4900, 'algorithm': 'quickselect'}
{'median': 0.13818359375, 'score': 0.13818359375, 'examples_seen': 160029, 'step': 4950, 'algorithm': 'quickselect'}
{'median': 0.124267578125, 'score': 0.124267578125, 'examples_seen': 161635, 'step': 5000, 'algorithm': 'quickselect'}
{'median': 0.12255859375, 'score': 0.12255859375, 'examples_seen': 163220, 'step': 5050, 'algorithm': 'quickselect'}
{'median': 0.1640625, 'score': 0.1640625, 'examples_seen': 164818, 'step': 5100, 'algorithm': 'quickselect'}
{'median': 0.13916015625, 'score': 0.13916015625, 'examples_seen': 166390, 'step': 5150, 'algorithm': 'quickselect'}
{'median': 0.119873046875, 'score': 0.119873046875, 'examples_seen': 168070, 'step': 5200, 'algorithm': 'quickselect'}
{'median': 0.106201171875, 'score': 0.106201171875, 'examples_seen': 169714, 'step': 5250, 'algorithm': 'quickselect'}
{'median': 0.1474609375, 'score': 0.1474609375, 'examples_seen': 171322, 'step': 5300, 'algorithm': 'quickselect'}
{'median': 0.141845703125, 'score': 0.141845703125, 'examples_seen': 172933, 'step': 5350, 'algorithm': 'quickselect'}
{'median': 0.169921875, 'score': 0.169921875, 'examples_seen': 174535, 'step': 5400, 'algorithm': 'quickselect'}
{'median': 0.2021484375, 'score': 0.2021484375, 'examples_seen': 176146, 'step': 5450, 'algorithm': 'quickselect'}
{'median': 0.218994140625, 'score': 0.218994140625, 'examples_seen': 177726, 'step': 5500, 'algorithm': 'quickselect'}
{'median': 0.206787109375, 'score': 0.206787109375, 'examples_seen': 179409, 'step': 5550, 'algorithm': 'quickselect'}
{'median': 0.13525390625, 'score': 0.13525390625, 'examples_seen': 181053, 'step': 5600, 'algorithm': 'quickselect'}
{'median': 0.202392578125, 'score': 0.202392578125, 'examples_seen': 182671, 'step': 5650, 'algorithm': 'quickselect'}
{'median': 0.253173828125, 'score': 0.253173828125, 'examples_seen': 184253, 'step': 5700, 'algorithm': 'quickselect'}
{'median': 0.120849609375, 'score': 0.120849609375, 'examples_seen': 185836, 'step': 5750, 'algorithm': 'quickselect'}
