I0715 18:15:22.003289 124880143382016 run.py:723] (val) algo quicksort step 0: {'pred': 0.08203125, 'score': 0.08203125, 'examples_seen': 55, 'step': 0, 'algorithm': 'quicksort'}
I0715 18:17:14.323307 124880143382016 run.py:723] (val) algo quicksort step 50: {'pred': 0.2119140625, 'score': 0.2119140625, 'examples_seen': 1782, 'step': 50, 'algorithm': 'quicksort'}
I0715 18:17:18.482987 124880143382016 run.py:723] (val) algo quicksort step 100: {'pred': 0.3330078125, 'score': 0.3330078125, 'examples_seen': 3499, 'step': 100, 'algorithm': 'quicksort'}
I0715 18:17:22.537645 124880143382016 run.py:723] (val) algo quicksort step 150: {'pred': 0.3095703125, 'score': 0.3095703125, 'examples_seen': 5209, 'step': 150, 'algorithm': 'quicksort'}
I0715 18:17:26.546607 124880143382016 run.py:723] (val) algo quicksort step 200: {'pred': 0.265625, 'score': 0.265625, 'examples_seen': 6915, 'step': 200, 'algorithm': 'quicksort'}
I0715 18:17:30.545742 124880143382016 run.py:723] (val) algo quicksort step 250: {'pred': 0.248046875, 'score': 0.248046875, 'examples_seen': 8625, 'step': 250, 'algorithm': 'quicksort'}
I0715 18:17:34.753735 124880143382016 run.py:723] (val) algo quicksort step 300: {'pred': 0.3359375, 'score': 0.3359375, 'examples_seen': 10448, 'step': 300, 'algorithm': 'quicksort'}
I0715 18:17:38.930084 124880143382016 run.py:723] (val) algo quicksort step 350: {'pred': 0.3310546875, 'score': 0.3310546875, 'examples_seen': 12202, 'step': 350, 'algorithm': 'quicksort'}
I0715 18:17:43.060334 124880143382016 run.py:723] (val) algo quicksort step 400: {'pred': 0.37109375, 'score': 0.37109375, 'examples_seen': 13931, 'step': 400, 'algorithm': 'quicksort'}
I0715 18:17:47.139801 124880143382016 run.py:723] (val) algo quicksort step 450: {'pred': 0.3759765625, 'score': 0.3759765625, 'examples_seen': 15630, 'step': 450, 'algorithm': 'quicksort'}
I0715 18:17:51.235061 124880143382016 run.py:723] (val) algo quicksort step 500: {'pred': 0.349609375, 'score': 0.349609375, 'examples_seen': 17352, 'step': 500, 'algorithm': 'quicksort'}
I0715 18:17:55.322371 124880143382016 run.py:723] (val) algo quicksort step 550: {'pred': 0.369140625, 'score': 0.369140625, 'examples_seen': 19054, 'step': 550, 'algorithm': 'quicksort'}
I0715 18:17:59.457154 124880143382016 run.py:723] (val) algo quicksort step 600: {'pred': 0.2744140625, 'score': 0.2744140625, 'examples_seen': 20764, 'step': 600, 'algorithm': 'quicksort'}
I0715 18:18:03.666217 124880143382016 run.py:723] (val) algo quicksort step 650: {'pred': 0.357421875, 'score': 0.357421875, 'examples_seen': 22594, 'step': 650, 'algorithm': 'quicksort'}
I0715 18:18:07.752099 124880143382016 run.py:723] (val) algo quicksort step 700: {'pred': 0.3203125, 'score': 0.3203125, 'examples_seen': 24344, 'step': 700, 'algorithm': 'quicksort'}
I0715 18:18:11.885937 124880143382016 run.py:723] (val) algo quicksort step 750: {'pred': 0.3720703125, 'score': 0.3720703125, 'examples_seen': 26065, 'step': 750, 'algorithm': 'quicksort'}
I0715 18:18:16.014521 124880143382016 run.py:723] (val) algo quicksort step 800: {'pred': 0.4267578125, 'score': 0.4267578125, 'examples_seen': 27785, 'step': 800, 'algorithm': 'quicksort'}
I0715 18:18:20.149748 124880143382016 run.py:723] (val) algo quicksort step 850: {'pred': 0.380859375, 'score': 0.380859375, 'examples_seen': 29491, 'step': 850, 'algorithm': 'quicksort'}
I0715 18:18:24.216651 124880143382016 run.py:723] (val) algo quicksort step 900: {'pred': 0.36328125, 'score': 0.36328125, 'examples_seen': 31189, 'step': 900, 'algorithm': 'quicksort'}
I0715 18:18:28.232304 124880143382016 run.py:723] (val) algo quicksort step 950: {'pred': 0.3408203125, 'score': 0.3408203125, 'examples_seen': 32894, 'step': 950, 'algorithm': 'quicksort'}
I0715 18:18:32.461850 124880143382016 run.py:723] (val) algo quicksort step 1000: {'pred': 0.3447265625, 'score': 0.3447265625, 'examples_seen': 34734, 'step': 1000, 'algorithm': 'quicksort'}
I0715 18:18:36.597726 124880143382016 run.py:723] (val) algo quicksort step 1050: {'pred': 0.4130859375, 'score': 0.4130859375, 'examples_seen': 36497, 'step': 1050, 'algorithm': 'quicksort'}
I0715 18:18:40.596028 124880143382016 run.py:723] (val) algo quicksort step 1100: {'pred': 0.3603515625, 'score': 0.3603515625, 'examples_seen': 38217, 'step': 1100, 'algorithm': 'quicksort'}
I0715 18:18:44.657222 124880143382016 run.py:723] (val) algo quicksort step 1150: {'pred': 0.3916015625, 'score': 0.3916015625, 'examples_seen': 39941, 'step': 1150, 'algorithm': 'quicksort'}
I0715 18:18:48.705096 124880143382016 run.py:723] (val) algo quicksort step 1200: {'pred': 0.4873046875, 'score': 0.4873046875, 'examples_seen': 41647, 'step': 1200, 'algorithm': 'quicksort'}
I0715 18:18:52.739181 124880143382016 run.py:723] (val) algo quicksort step 1250: {'pred': 0.4375, 'score': 0.4375, 'examples_seen': 43355, 'step': 1250, 'algorithm': 'quicksort'}
I0715 18:18:56.855354 124880143382016 run.py:723] (val) algo quicksort step 1300: {'pred': 0.4013671875, 'score': 0.4013671875, 'examples_seen': 45058, 'step': 1300, 'algorithm': 'quicksort'}
I0715 18:19:01.105597 124880143382016 run.py:723] (val) algo quicksort step 1350: {'pred': 0.3837890625, 'score': 0.3837890625, 'examples_seen': 46905, 'step': 1350, 'algorithm': 'quicksort'}
I0715 18:19:05.251330 124880143382016 run.py:723] (val) algo quicksort step 1400: {'pred': 0.390625, 'score': 0.390625, 'examples_seen': 48665, 'step': 1400, 'algorithm': 'quicksort'}
I0715 18:19:09.318473 124880143382016 run.py:723] (val) algo quicksort step 1450: {'pred': 0.4501953125, 'score': 0.4501953125, 'examples_seen': 50388, 'step': 1450, 'algorithm': 'quicksort'}
I0715 18:19:13.387219 124880143382016 run.py:723] (val) algo quicksort step 1500: {'pred': 0.458984375, 'score': 0.458984375, 'examples_seen': 52101, 'step': 1500, 'algorithm': 'quicksort'}
I0715 18:19:17.498833 124880143382016 run.py:723] (val) algo quicksort step 1550: {'pred': 0.4951171875, 'score': 0.4951171875, 'examples_seen': 53806, 'step': 1550, 'algorithm': 'quicksort'}
I0715 18:19:21.635930 124880143382016 run.py:723] (val) algo quicksort step 1600: {'pred': 0.4677734375, 'score': 0.4677734375, 'examples_seen': 55518, 'step': 1600, 'algorithm': 'quicksort'}
I0715 18:19:25.610266 124880143382016 run.py:723] (val) algo quicksort step 1650: {'pred': 0.462890625, 'score': 0.462890625, 'examples_seen': 57231, 'step': 1650, 'algorithm': 'quicksort'}
I0715 18:19:29.754557 124880143382016 run.py:723] (val) algo quicksort step 1700: {'pred': 0.517578125, 'score': 0.517578125, 'examples_seen': 59052, 'step': 1700, 'algorithm': 'quicksort'}
I0715 18:19:33.852071 124880143382016 run.py:723] (val) algo quicksort step 1750: {'pred': 0.4345703125, 'score': 0.4345703125, 'examples_seen': 60828, 'step': 1750, 'algorithm': 'quicksort'}
I0715 18:19:37.950938 124880143382016 run.py:723] (val) algo quicksort step 1800: {'pred': 0.4677734375, 'score': 0.4677734375, 'examples_seen': 62558, 'step': 1800, 'algorithm': 'quicksort'}
I0715 18:19:41.995986 124880143382016 run.py:723] (val) algo quicksort step 1850: {'pred': 0.4501953125, 'score': 0.4501953125, 'examples_seen': 64269, 'step': 1850, 'algorithm': 'quicksort'}
I0715 18:19:46.086696 124880143382016 run.py:723] (val) algo quicksort step 1900: {'pred': 0.4326171875, 'score': 0.4326171875, 'examples_seen': 65981, 'step': 1900, 'algorithm': 'quicksort'}
