I0715 18:32:09.161968 127664416589312 run.py:723] (val) algo segments_intersect step 0: {'intersect': 0.3954036535061874, 'score': 0.3954036535061874, 'examples_seen': 48, 'step': 0, 'algorithm': 'segments_intersect'}
I0715 18:32:10.987601 127664416589312 run.py:723] (val) algo segments_intersect step 50: {'intersect': 0.3226675648366454, 'score': 0.3226675648366454, 'examples_seen': 2560, 'step': 50, 'algorithm': 'segments_intersect'}
I0715 18:32:12.809280 127664416589312 run.py:723] (val) algo segments_intersect step 100: {'intersect': 0.6587637595258256, 'score': 0.6587637595258256, 'examples_seen': 5184, 'step': 100, 'algorithm': 'segments_intersect'}
I0715 18:32:14.626158 127664416589312 run.py:723] (val) algo segments_intersect step 150: {'intersect': 0.10767946577629382, 'score': 0.10767946577629382, 'examples_seen': 7696, 'step': 150, 'algorithm': 'segments_intersect'}
I0715 18:32:16.423451 127664416589312 run.py:723] (val) algo segments_intersect step 200: {'intersect': 0.5699714402284781, 'score': 0.5699714402284781, 'examples_seen': 10304, 'step': 200, 'algorithm': 'segments_intersect'}
I0715 18:32:18.227334 127664416589312 run.py:723] (val) algo segments_intersect step 250: {'intersect': 0.5494309305958491, 'score': 0.5494309305958491, 'examples_seen': 12832, 'step': 250, 'algorithm': 'segments_intersect'}
I0715 18:32:20.008280 127664416589312 run.py:723] (val) algo segments_intersect step 300: {'intersect': 0.6544744318181819, 'score': 0.6544744318181819, 'examples_seen': 15360, 'step': 300, 'algorithm': 'segments_intersect'}
I0715 18:32:21.832242 127664416589312 run.py:723] (val) algo segments_intersect step 350: {'intersect': 0.2876761835923383, 'score': 0.2876761835923383, 'examples_seen': 17968, 'step': 350, 'algorithm': 'segments_intersect'}
I0715 18:32:23.658247 127664416589312 run.py:723] (val) algo segments_intersect step 400: {'intersect': 0.6006811409110259, 'score': 0.6006811409110259, 'examples_seen': 20480, 'step': 400, 'algorithm': 'segments_intersect'}
I0715 18:32:25.491126 127664416589312 run.py:723] (val) algo segments_intersect step 450: {'intersect': 0.6736876215165263, 'score': 0.6736876215165263, 'examples_seen': 23104, 'step': 450, 'algorithm': 'segments_intersect'}
I0715 18:32:27.321056 127664416589312 run.py:723] (val) algo segments_intersect step 500: {'intersect': 0.671304347826087, 'score': 0.671304347826087, 'examples_seen': 25616, 'step': 500, 'algorithm': 'segments_intersect'}
I0715 18:32:29.108488 127664416589312 run.py:723] (val) algo segments_intersect step 550: {'intersect': 0.5467741935483871, 'score': 0.5467741935483871, 'examples_seen': 28224, 'step': 550, 'algorithm': 'segments_intersect'}
I0715 18:32:30.910039 127664416589312 run.py:723] (val) algo segments_intersect step 600: {'intersect': 0.65937302756154, 'score': 0.65937302756154, 'examples_seen': 30752, 'step': 600, 'algorithm': 'segments_intersect'}
I0715 18:32:32.695313 127664416589312 run.py:723] (val) algo segments_intersect step 650: {'intersect': 0.46470588235294125, 'score': 0.46470588235294125, 'examples_seen': 33280, 'step': 650, 'algorithm': 'segments_intersect'}
I0715 18:32:34.569352 127664416589312 run.py:723] (val) algo segments_intersect step 700: {'intersect': 0.6621149042464614, 'score': 0.6621149042464614, 'examples_seen': 35888, 'step': 700, 'algorithm': 'segments_intersect'}
I0715 18:32:36.391223 127664416589312 run.py:723] (val) algo segments_intersect step 750: {'intersect': 0.7044325183860067, 'score': 0.7044325183860067, 'examples_seen': 38400, 'step': 750, 'algorithm': 'segments_intersect'}
I0715 18:32:38.258342 127664416589312 run.py:723] (val) algo segments_intersect step 800: {'intersect': 0.4582629266644136, 'score': 0.4582629266644136, 'examples_seen': 41024, 'step': 800, 'algorithm': 'segments_intersect'}
I0715 18:32:40.133396 127664416589312 run.py:723] (val) algo segments_intersect step 850: {'intersect': 0.6874563649057482, 'score': 0.6874563649057482, 'examples_seen': 43536, 'step': 850, 'algorithm': 'segments_intersect'}
I0715 18:32:42.043812 127664416589312 run.py:723] (val) algo segments_intersect step 900: {'intersect': 0.7126958891664774, 'score': 0.7126958891664774, 'examples_seen': 46144, 'step': 900, 'algorithm': 'segments_intersect'}
