{'scc_id': 0.05859375, 'score': 0.05859375, 'examples_seen': 0, 'step': 0, 'algorithm': 'strongly_connected_components'}
{'scc_id': 0.662109375, 'score': 0.662109375, 'examples_seen': 144, 'step': 50, 'algorithm': 'strongly_connected_components'}
{'scc_id': 0.7265625, 'score': 0.7265625, 'examples_seen': 288, 'step': 100, 'algorithm': 'strongly_connected_components'}
{'scc_id': 0.533203125, 'score': 0.533203125, 'examples_seen': 432, 'step': 150, 'algorithm': 'strongly_connected_components'}
{'scc_id': 0.3203125, 'score': 0.3203125, 'examples_seen': 577, 'step': 200, 'algorithm': 'strongly_connected_components'}
{'scc_id': 0.572265625, 'score': 0.572265625, 'examples_seen': 722, 'step': 250, 'algorithm': 'strongly_connected_components'}
{'scc_id': 0.3359375, 'score': 0.3359375, 'examples_seen': 868, 'step': 300, 'algorithm': 'strongly_connected_components'}
{'scc_id': 0.673828125, 'score': 0.673828125, 'examples_seen': 1015, 'step': 350, 'algorithm': 'strongly_connected_components'}
{'scc_id': 0.693359375, 'score': 0.693359375, 'examples_seen': 1162, 'step': 400, 'algorithm': 'strongly_connected_components'}
{'scc_id': 0.5078125, 'score': 0.5078125, 'examples_seen': 1308, 'step': 450, 'algorithm': 'strongly_connected_components'}
{'scc_id': 0.458984375, 'score': 0.458984375, 'examples_seen': 1453, 'step': 500, 'algorithm': 'strongly_connected_components'}
{'scc_id': 0.53515625, 'score': 0.53515625, 'examples_seen': 1599, 'step': 550, 'algorithm': 'strongly_connected_components'}
{'scc_id': 0.4609375, 'score': 0.4609375, 'examples_seen': 1743, 'step': 600, 'algorithm': 'strongly_connected_components'}
{'scc_id': 0.474609375, 'score': 0.474609375, 'examples_seen': 1888, 'step': 650, 'algorithm': 'strongly_connected_components'}
{'scc_id': 0.55078125, 'score': 0.55078125, 'examples_seen': 2032, 'step': 700, 'algorithm': 'strongly_connected_components'}
{'scc_id': 0.55078125, 'score': 0.55078125, 'examples_seen': 2176, 'step': 750, 'algorithm': 'strongly_connected_components'}
{'scc_id': 0.65625, 'score': 0.65625, 'examples_seen': 2320, 'step': 800, 'algorithm': 'strongly_connected_components'}
{'scc_id': 0.486328125, 'score': 0.486328125, 'examples_seen': 2465, 'step': 850, 'algorithm': 'strongly_connected_components'}
{'scc_id': 0.322265625, 'score': 0.322265625, 'examples_seen': 2611, 'step': 900, 'algorithm': 'strongly_connected_components'}
{'scc_id': 0.373046875, 'score': 0.373046875, 'examples_seen': 2757, 'step': 950, 'algorithm': 'strongly_connected_components'}
{'scc_id': 0.517578125, 'score': 0.517578125, 'examples_seen': 2901, 'step': 1000, 'algorithm': 'strongly_connected_components'}
{'scc_id': 0.55859375, 'score': 0.55859375, 'examples_seen': 3046, 'step': 1050, 'algorithm': 'strongly_connected_components'}
{'scc_id': 0.466796875, 'score': 0.466796875, 'examples_seen': 3190, 'step': 1100, 'algorithm': 'strongly_connected_components'}
{'scc_id': 0.642578125, 'score': 0.642578125, 'examples_seen': 3335, 'step': 1150, 'algorithm': 'strongly_connected_components'}
{'scc_id': 0.58984375, 'score': 0.58984375, 'examples_seen': 3480, 'step': 1200, 'algorithm': 'strongly_connected_components'}
{'scc_id': 0.599609375, 'score': 0.599609375, 'examples_seen': 3624, 'step': 1250, 'algorithm': 'strongly_connected_components'}
{'scc_id': 0.435546875, 'score': 0.435546875, 'examples_seen': 3768, 'step': 1300, 'algorithm': 'strongly_connected_components'}
{'scc_id': 0.4140625, 'score': 0.4140625, 'examples_seen': 3916, 'step': 1350, 'algorithm': 'strongly_connected_components'}
{'scc_id': 0.630859375, 'score': 0.630859375, 'examples_seen': 4062, 'step': 1400, 'algorithm': 'strongly_connected_components'}
{'scc_id': 0.587890625, 'score': 0.587890625, 'examples_seen': 4207, 'step': 1450, 'algorithm': 'strongly_connected_components'}
{'scc_id': 0.609375, 'score': 0.609375, 'examples_seen': 4351, 'step': 1500, 'algorithm': 'strongly_connected_components'}
{'scc_id': 0.5546875, 'score': 0.5546875, 'examples_seen': 4498, 'step': 1550, 'algorithm': 'strongly_connected_components'}
{'scc_id': 0.5546875, 'score': 0.5546875, 'examples_seen': 4643, 'step': 1600, 'algorithm': 'strongly_connected_components'}
{'scc_id': 0.630859375, 'score': 0.630859375, 'examples_seen': 4787, 'step': 1650, 'algorithm': 'strongly_connected_components'}
{'scc_id': 0.546875, 'score': 0.546875, 'examples_seen': 4931, 'step': 1700, 'algorithm': 'strongly_connected_components'}
{'scc_id': 0.61328125, 'score': 0.61328125, 'examples_seen': 5076, 'step': 1750, 'algorithm': 'strongly_connected_components'}
{'scc_id': 0.5625, 'score': 0.5625, 'examples_seen': 5220, 'step': 1800, 'algorithm': 'strongly_connected_components'}
{'scc_id': 0.587890625, 'score': 0.587890625, 'examples_seen': 5364, 'step': 1850, 'algorithm': 'strongly_connected_components'}
{'scc_id': 0.580078125, 'score': 0.580078125, 'examples_seen': 5509, 'step': 1900, 'algorithm': 'strongly_connected_components'}
{'scc_id': 0.576171875, 'score': 0.576171875, 'examples_seen': 5653, 'step': 1950, 'algorithm': 'strongly_connected_components'}
{'scc_id': 0.6953125, 'score': 0.6953125, 'examples_seen': 5797, 'step': 2000, 'algorithm': 'strongly_connected_components'}
{'scc_id': 0.63671875, 'score': 0.63671875, 'examples_seen': 5942, 'step': 2050, 'algorithm': 'strongly_connected_components'}
{'scc_id': 0.65234375, 'score': 0.65234375, 'examples_seen': 6088, 'step': 2100, 'algorithm': 'strongly_connected_components'}
{'scc_id': 0.6171875, 'score': 0.6171875, 'examples_seen': 6234, 'step': 2150, 'algorithm': 'strongly_connected_components'}
{'scc_id': 0.7109375, 'score': 0.7109375, 'examples_seen': 6383, 'step': 2200, 'algorithm': 'strongly_connected_components'}
{'scc_id': 0.6328125, 'score': 0.6328125, 'examples_seen': 6528, 'step': 2250, 'algorithm': 'strongly_connected_components'}
{'scc_id': 0.568359375, 'score': 0.568359375, 'examples_seen': 6673, 'step': 2300, 'algorithm': 'strongly_connected_components'}
{'scc_id': 0.662109375, 'score': 0.662109375, 'examples_seen': 6818, 'step': 2350, 'algorithm': 'strongly_connected_components'}
{'scc_id': 0.63671875, 'score': 0.63671875, 'examples_seen': 6963, 'step': 2400, 'algorithm': 'strongly_connected_components'}
{'scc_id': 0.609375, 'score': 0.609375, 'examples_seen': 7108, 'step': 2450, 'algorithm': 'strongly_connected_components'}
{'scc_id': 0.638671875, 'score': 0.638671875, 'examples_seen': 7252, 'step': 2500, 'algorithm': 'strongly_connected_components'}
{'scc_id': 0.642578125, 'score': 0.642578125, 'examples_seen': 7396, 'step': 2550, 'algorithm': 'strongly_connected_components'}
{'scc_id': 0.6171875, 'score': 0.6171875, 'examples_seen': 7540, 'step': 2600, 'algorithm': 'strongly_connected_components'}
{'scc_id': 0.61328125, 'score': 0.61328125, 'examples_seen': 7684, 'step': 2650, 'algorithm': 'strongly_connected_components'}
{'scc_id': 0.603515625, 'score': 0.603515625, 'examples_seen': 7830, 'step': 2700, 'algorithm': 'strongly_connected_components'}
{'scc_id': 0.654296875, 'score': 0.654296875, 'examples_seen': 7976, 'step': 2750, 'algorithm': 'strongly_connected_components'}
{'scc_id': 0.58984375, 'score': 0.58984375, 'examples_seen': 8120, 'step': 2800, 'algorithm': 'strongly_connected_components'}
{'scc_id': 0.5625, 'score': 0.5625, 'examples_seen': 8265, 'step': 2850, 'algorithm': 'strongly_connected_components'}
{'scc_id': 0.578125, 'score': 0.578125, 'examples_seen': 8411, 'step': 2900, 'algorithm': 'strongly_connected_components'}
{'scc_id': 0.619140625, 'score': 0.619140625, 'examples_seen': 8554, 'step': 2950, 'algorithm': 'strongly_connected_components'}
{'scc_id': 0.607421875, 'score': 0.607421875, 'examples_seen': 8699, 'step': 3000, 'algorithm': 'strongly_connected_components'}
{'scc_id': 0.638671875, 'score': 0.638671875, 'examples_seen': 8844, 'step': 3050, 'algorithm': 'strongly_connected_components'}
{'scc_id': 0.61328125, 'score': 0.61328125, 'examples_seen': 8991, 'step': 3100, 'algorithm': 'strongly_connected_components'}
{'scc_id': 0.6171875, 'score': 0.6171875, 'examples_seen': 9135, 'step': 3150, 'algorithm': 'strongly_connected_components'}
{'scc_id': 0.62890625, 'score': 0.62890625, 'examples_seen': 9281, 'step': 3200, 'algorithm': 'strongly_connected_components'}
{'scc_id': 0.626953125, 'score': 0.626953125, 'examples_seen': 9424, 'step': 3250, 'algorithm': 'strongly_connected_components'}
{'scc_id': 0.578125, 'score': 0.578125, 'examples_seen': 9573, 'step': 3300, 'algorithm': 'strongly_connected_components'}
{'scc_id': 0.615234375, 'score': 0.615234375, 'examples_seen': 9719, 'step': 3350, 'algorithm': 'strongly_connected_components'}
{'scc_id': 0.62109375, 'score': 0.62109375, 'examples_seen': 9862, 'step': 3400, 'algorithm': 'strongly_connected_components'}
{'scc_id': 0.6015625, 'score': 0.6015625, 'examples_seen': 10006, 'step': 3450, 'algorithm': 'strongly_connected_components'}
{'scc_id': 0.62890625, 'score': 0.62890625, 'examples_seen': 10151, 'step': 3500, 'algorithm': 'strongly_connected_components'}
{'scc_id': 0.625, 'score': 0.625, 'examples_seen': 10295, 'step': 3550, 'algorithm': 'strongly_connected_components'}
{'scc_id': 0.5703125, 'score': 0.5703125, 'examples_seen': 10440, 'step': 3600, 'algorithm': 'strongly_connected_components'}
{'scc_id': 0.66015625, 'score': 0.66015625, 'examples_seen': 10586, 'step': 3650, 'algorithm': 'strongly_connected_components'}
{'scc_id': 0.595703125, 'score': 0.595703125, 'examples_seen': 10729, 'step': 3700, 'algorithm': 'strongly_connected_components'}
{'scc_id': 0.623046875, 'score': 0.623046875, 'examples_seen': 10874, 'step': 3750, 'algorithm': 'strongly_connected_components'}
{'scc_id': 0.623046875, 'score': 0.623046875, 'examples_seen': 11019, 'step': 3800, 'algorithm': 'strongly_connected_components'}
{'scc_id': 0.58984375, 'score': 0.58984375, 'examples_seen': 11165, 'step': 3850, 'algorithm': 'strongly_connected_components'}
{'scc_id': 0.56640625, 'score': 0.56640625, 'examples_seen': 11308, 'step': 3900, 'algorithm': 'strongly_connected_components'}
{'scc_id': 0.619140625, 'score': 0.619140625, 'examples_seen': 11455, 'step': 3950, 'algorithm': 'strongly_connected_components'}
{'scc_id': 0.603515625, 'score': 0.603515625, 'examples_seen': 11602, 'step': 4000, 'algorithm': 'strongly_connected_components'}
{'scc_id': 0.607421875, 'score': 0.607421875, 'examples_seen': 11746, 'step': 4050, 'algorithm': 'strongly_connected_components'}
