I0716 06:31:53.923326 125155326850560 run.py:722] (val) algo activity_selector step 0: {'selected': 0.18060200668896323, 'score': 0.18060200668896323, 'examples_seen': 64, 'step': 0, 'algorithm': 'activity_selector'}
I0716 06:33:00.730003 125155326850560 run.py:722] (val) algo activity_selector step 50: {'selected': 0.7269303201506592, 'score': 0.7269303201506592, 'examples_seen': 2080, 'step': 50, 'algorithm': 'activity_selector'}
I0716 06:33:01.769533 125155326850560 run.py:722] (val) algo activity_selector step 100: {'selected': 0.5938144329896906, 'score': 0.5938144329896906, 'examples_seen': 4064, 'step': 100, 'algorithm': 'activity_selector'}
I0716 06:33:02.785610 125155326850560 run.py:722] (val) algo activity_selector step 150: {'selected': 0.6666666666666666, 'score': 0.6666666666666666, 'examples_seen': 6016, 'step': 150, 'algorithm': 'activity_selector'}
I0716 06:33:03.817492 125155326850560 run.py:722] (val) algo activity_selector step 200: {'selected': 0.7282415630550622, 'score': 0.7282415630550622, 'examples_seen': 8016, 'step': 200, 'algorithm': 'activity_selector'}
I0716 06:33:04.854577 125155326850560 run.py:722] (val) algo activity_selector step 250: {'selected': 0.625615763546798, 'score': 0.625615763546798, 'examples_seen': 9952, 'step': 250, 'algorithm': 'activity_selector'}
I0716 06:33:05.892033 125155326850560 run.py:722] (val) algo activity_selector step 300: {'selected': 0.7179487179487181, 'score': 0.7179487179487181, 'examples_seen': 12000, 'step': 300, 'algorithm': 'activity_selector'}
I0716 06:33:06.909743 125155326850560 run.py:722] (val) algo activity_selector step 350: {'selected': 0.6339285714285714, 'score': 0.6339285714285714, 'examples_seen': 14032, 'step': 350, 'algorithm': 'activity_selector'}
I0716 06:33:07.944945 125155326850560 run.py:722] (val) algo activity_selector step 400: {'selected': 0.738362760834671, 'score': 0.738362760834671, 'examples_seen': 16000, 'step': 400, 'algorithm': 'activity_selector'}
I0716 06:33:08.988919 125155326850560 run.py:722] (val) algo activity_selector step 450: {'selected': 0.8122743682310469, 'score': 0.8122743682310469, 'examples_seen': 18000, 'step': 450, 'algorithm': 'activity_selector'}
I0716 06:33:10.026262 125155326850560 run.py:722] (val) algo activity_selector step 500: {'selected': 0.792763157894737, 'score': 0.792763157894737, 'examples_seen': 19952, 'step': 500, 'algorithm': 'activity_selector'}
I0716 06:33:11.050987 125155326850560 run.py:722] (val) algo activity_selector step 550: {'selected': 0.771875, 'score': 0.771875, 'examples_seen': 21920, 'step': 550, 'algorithm': 'activity_selector'}
I0716 06:33:12.058509 125155326850560 run.py:722] (val) algo activity_selector step 600: {'selected': 0.7811934900542494, 'score': 0.7811934900542494, 'examples_seen': 23904, 'step': 600, 'algorithm': 'activity_selector'}
I0716 06:33:13.098054 125155326850560 run.py:722] (val) algo activity_selector step 650: {'selected': 0.8407871198568874, 'score': 0.8407871198568874, 'examples_seen': 25920, 'step': 650, 'algorithm': 'activity_selector'}
I0716 06:33:14.151352 125155326850560 run.py:722] (val) algo activity_selector step 700: {'selected': 0.8386023294509151, 'score': 0.8386023294509151, 'examples_seen': 27952, 'step': 700, 'algorithm': 'activity_selector'}
I0716 06:33:15.175841 125155326850560 run.py:722] (val) algo activity_selector step 750: {'selected': 0.8132231404958677, 'score': 0.8132231404958677, 'examples_seen': 29936, 'step': 750, 'algorithm': 'activity_selector'}
I0716 06:33:16.216921 125155326850560 run.py:722] (val) algo activity_selector step 800: {'selected': 0.8443649373881933, 'score': 0.8443649373881933, 'examples_seen': 31920, 'step': 800, 'algorithm': 'activity_selector'}
I0716 06:33:17.249091 125155326850560 run.py:722] (val) algo activity_selector step 850: {'selected': 0.8604651162790697, 'score': 0.8604651162790697, 'examples_seen': 33904, 'step': 850, 'algorithm': 'activity_selector'}
I0716 06:33:18.306952 125155326850560 run.py:722] (val) algo activity_selector step 900: {'selected': 0.8695652173913043, 'score': 0.8695652173913043, 'examples_seen': 35856, 'step': 900, 'algorithm': 'activity_selector'}
I0716 06:33:19.339327 125155326850560 run.py:722] (val) algo activity_selector step 950: {'selected': 0.8909774436090225, 'score': 0.8909774436090225, 'examples_seen': 37808, 'step': 950, 'algorithm': 'activity_selector'}
I0716 06:33:20.396164 125155326850560 run.py:722] (val) algo activity_selector step 1000: {'selected': 0.898876404494382, 'score': 0.898876404494382, 'examples_seen': 39872, 'step': 1000, 'algorithm': 'activity_selector'}
