{'is_cut': 0.16923076923076924, 'score': 0.16923076923076924, 'examples_seen': 16, 'step': 0, 'algorithm': 'articulation_points'}
{'is_cut': 0.0, 'score': 0.0, 'examples_seen': 799, 'step': 50, 'algorithm': 'articulation_points'}
{'is_cut': 0.0, 'score': 0.0, 'examples_seen': 1592, 'step': 100, 'algorithm': 'articulation_points'}
{'is_cut': 0.6178343949044586, 'score': 0.6178343949044586, 'examples_seen': 2372, 'step': 150, 'algorithm': 'articulation_points'}
{'is_cut': 0.09271523178807946, 'score': 0.09271523178807946, 'examples_seen': 3158, 'step': 200, 'algorithm': 'articulation_points'}
{'is_cut': 0.3076923076923077, 'score': 0.3076923076923077, 'examples_seen': 3938, 'step': 250, 'algorithm': 'articulation_points'}
{'is_cut': 0.4829931972789116, 'score': 0.4829931972789116, 'examples_seen': 4758, 'step': 300, 'algorithm': 'articulation_points'}
{'is_cut': 0.5606694560669456, 'score': 0.5606694560669456, 'examples_seen': 5564, 'step': 350, 'algorithm': 'articulation_points'}
{'is_cut': 0.4312267657992565, 'score': 0.4312267657992565, 'examples_seen': 6361, 'step': 400, 'algorithm': 'articulation_points'}
{'is_cut': 0.6863905325443787, 'score': 0.6863905325443787, 'examples_seen': 7144, 'step': 450, 'algorithm': 'articulation_points'}
{'is_cut': 0.43243243243243246, 'score': 0.43243243243243246, 'examples_seen': 7922, 'step': 500, 'algorithm': 'articulation_points'}
{'is_cut': 0.5671641791044776, 'score': 0.5671641791044776, 'examples_seen': 8709, 'step': 550, 'algorithm': 'articulation_points'}
{'is_cut': 0.4586466165413534, 'score': 0.4586466165413534, 'examples_seen': 9489, 'step': 600, 'algorithm': 'articulation_points'}
{'is_cut': 0.41904761904761906, 'score': 0.41904761904761906, 'examples_seen': 10303, 'step': 650, 'algorithm': 'articulation_points'}
{'is_cut': 0.518796992481203, 'score': 0.518796992481203, 'examples_seen': 11121, 'step': 700, 'algorithm': 'articulation_points'}
{'is_cut': 0.5560538116591928, 'score': 0.5560538116591928, 'examples_seen': 11916, 'step': 750, 'algorithm': 'articulation_points'}
{'is_cut': 0.5103448275862069, 'score': 0.5103448275862069, 'examples_seen': 12693, 'step': 800, 'algorithm': 'articulation_points'}
