{'pi': 0.5986328125, 'score': 0.5986328125, 'examples_seen': 159, 'step': 0, 'algorithm': 'bellman_ford'}
{'pi': 0.7666015625, 'score': 0.7666015625, 'examples_seen': 5709, 'step': 50, 'algorithm': 'bellman_ford'}
{'pi': 0.818359375, 'score': 0.818359375, 'examples_seen': 11237, 'step': 100, 'algorithm': 'bellman_ford'}
{'pi': 0.837890625, 'score': 0.837890625, 'examples_seen': 16757, 'step': 150, 'algorithm': 'bellman_ford'}
{'pi': 0.853515625, 'score': 0.853515625, 'examples_seen': 22307, 'step': 200, 'algorithm': 'bellman_ford'}
{'pi': 0.8671875, 'score': 0.8671875, 'examples_seen': 27783, 'step': 250, 'algorithm': 'bellman_ford'}
{'pi': 0.884765625, 'score': 0.884765625, 'examples_seen': 33428, 'step': 300, 'algorithm': 'bellman_ford'}
{'pi': 0.8447265625, 'score': 0.8447265625, 'examples_seen': 39018, 'step': 350, 'algorithm': 'bellman_ford'}
{'pi': 0.859375, 'score': 0.859375, 'examples_seen': 44533, 'step': 400, 'algorithm': 'bellman_ford'}
{'pi': 0.9140625, 'score': 0.9140625, 'examples_seen': 49952, 'step': 450, 'algorithm': 'bellman_ford'}
{'pi': 0.7802734375, 'score': 0.7802734375, 'examples_seen': 55377, 'step': 500, 'algorithm': 'bellman_ford'}
{'pi': 0.8994140625, 'score': 0.8994140625, 'examples_seen': 60807, 'step': 550, 'algorithm': 'bellman_ford'}
{'pi': 0.71875, 'score': 0.71875, 'examples_seen': 66310, 'step': 600, 'algorithm': 'bellman_ford'}
{'pi': 0.890625, 'score': 0.890625, 'examples_seen': 71917, 'step': 650, 'algorithm': 'bellman_ford'}
{'pi': 0.904296875, 'score': 0.904296875, 'examples_seen': 77495, 'step': 700, 'algorithm': 'bellman_ford'}
{'pi': 0.5576171875, 'score': 0.5576171875, 'examples_seen': 83095, 'step': 750, 'algorithm': 'bellman_ford'}
{'pi': 0.9365234375, 'score': 0.9365234375, 'examples_seen': 88565, 'step': 800, 'algorithm': 'bellman_ford'}
{'pi': 0.9404296875, 'score': 0.9404296875, 'examples_seen': 94046, 'step': 850, 'algorithm': 'bellman_ford'}
{'pi': 0.8779296875, 'score': 0.8779296875, 'examples_seen': 99550, 'step': 900, 'algorithm': 'bellman_ford'}
{'pi': 0.845703125, 'score': 0.845703125, 'examples_seen': 105079, 'step': 950, 'algorithm': 'bellman_ford'}
{'pi': 0.9150390625, 'score': 0.9150390625, 'examples_seen': 110658, 'step': 1000, 'algorithm': 'bellman_ford'}
{'pi': 0.94140625, 'score': 0.94140625, 'examples_seen': 116243, 'step': 1050, 'algorithm': 'bellman_ford'}
{'pi': 0.95703125, 'score': 0.95703125, 'examples_seen': 121826, 'step': 1100, 'algorithm': 'bellman_ford'}
{'pi': 0.7392578125, 'score': 0.7392578125, 'examples_seen': 127423, 'step': 1150, 'algorithm': 'bellman_ford'}
{'pi': 0.9111328125, 'score': 0.9111328125, 'examples_seen': 132913, 'step': 1200, 'algorithm': 'bellman_ford'}
{'pi': 0.921875, 'score': 0.921875, 'examples_seen': 138408, 'step': 1250, 'algorithm': 'bellman_ford'}
{'pi': 0.763671875, 'score': 0.763671875, 'examples_seen': 143905, 'step': 1300, 'algorithm': 'bellman_ford'}
{'pi': 0.904296875, 'score': 0.904296875, 'examples_seen': 149507, 'step': 1350, 'algorithm': 'bellman_ford'}
{'pi': 0.7763671875, 'score': 0.7763671875, 'examples_seen': 155075, 'step': 1400, 'algorithm': 'bellman_ford'}
{'pi': 0.958984375, 'score': 0.958984375, 'examples_seen': 160654, 'step': 1450, 'algorithm': 'bellman_ford'}
{'pi': 0.8056640625, 'score': 0.8056640625, 'examples_seen': 166176, 'step': 1500, 'algorithm': 'bellman_ford'}
