I0716 06:59:41.276809 123331353363968 run.py:722] (val) algo bfs step 0: {'pi': 0.6142578125, 'score': 0.6142578125, 'examples_seen': 154, 'step': 0, 'algorithm': 'bfs'}
I0716 07:01:14.504405 123331353363968 run.py:722] (val) algo bfs step 50: {'pi': 0.9453125, 'score': 0.9453125, 'examples_seen': 6141, 'step': 50, 'algorithm': 'bfs'}
I0716 07:01:17.292185 123331353363968 run.py:722] (val) algo bfs step 100: {'pi': 0.966796875, 'score': 0.966796875, 'examples_seen': 12109, 'step': 100, 'algorithm': 'bfs'}
I0716 07:01:20.033241 123331353363968 run.py:722] (val) algo bfs step 150: {'pi': 0.9873046875, 'score': 0.9873046875, 'examples_seen': 17996, 'step': 150, 'algorithm': 'bfs'}
I0716 07:01:22.711569 123331353363968 run.py:722] (val) algo bfs step 200: {'pi': 0.9873046875, 'score': 0.9873046875, 'examples_seen': 23947, 'step': 200, 'algorithm': 'bfs'}
I0716 07:01:25.427215 123331353363968 run.py:722] (val) algo bfs step 250: {'pi': 0.982421875, 'score': 0.982421875, 'examples_seen': 29856, 'step': 250, 'algorithm': 'bfs'}
I0716 07:01:28.109749 123331353363968 run.py:722] (val) algo bfs step 300: {'pi': 0.982421875, 'score': 0.982421875, 'examples_seen': 35867, 'step': 300, 'algorithm': 'bfs'}
I0716 07:01:30.792405 123331353363968 run.py:722] (val) algo bfs step 350: {'pi': 0.9931640625, 'score': 0.9931640625, 'examples_seen': 41918, 'step': 350, 'algorithm': 'bfs'}
I0716 07:01:33.546289 123331353363968 run.py:722] (val) algo bfs step 400: {'pi': 0.9931640625, 'score': 0.9931640625, 'examples_seen': 47909, 'step': 400, 'algorithm': 'bfs'}
I0716 07:01:36.228703 123331353363968 run.py:722] (val) algo bfs step 450: {'pi': 0.9990234375, 'score': 0.9990234375, 'examples_seen': 53904, 'step': 450, 'algorithm': 'bfs'}
I0716 07:01:38.922832 123331353363968 run.py:722] (val) algo bfs step 500: {'pi': 0.994140625, 'score': 0.994140625, 'examples_seen': 59841, 'step': 500, 'algorithm': 'bfs'}
I0716 07:01:41.608010 123331353363968 run.py:722] (val) algo bfs step 550: {'pi': 0.9931640625, 'score': 0.9931640625, 'examples_seen': 65752, 'step': 550, 'algorithm': 'bfs'}
I0716 07:01:44.311468 123331353363968 run.py:722] (val) algo bfs step 600: {'pi': 0.9921875, 'score': 0.9921875, 'examples_seen': 71692, 'step': 600, 'algorithm': 'bfs'}
I0716 07:01:46.987313 123331353363968 run.py:722] (val) algo bfs step 650: {'pi': 0.9951171875, 'score': 0.9951171875, 'examples_seen': 77740, 'step': 650, 'algorithm': 'bfs'}
I0716 07:01:49.740102 123331353363968 run.py:722] (val) algo bfs step 700: {'pi': 0.9931640625, 'score': 0.9931640625, 'examples_seen': 83753, 'step': 700, 'algorithm': 'bfs'}
I0716 07:01:52.412483 123331353363968 run.py:722] (val) algo bfs step 750: {'pi': 0.9990234375, 'score': 0.9990234375, 'examples_seen': 89759, 'step': 750, 'algorithm': 'bfs'}
I0716 07:01:54.977623 123331353363968 run.py:722] (val) algo bfs step 800: {'pi': 0.98828125, 'score': 0.98828125, 'examples_seen': 95685, 'step': 800, 'algorithm': 'bfs'}
I0716 07:01:57.615685 123331353363968 run.py:722] (val) algo bfs step 850: {'pi': 0.9892578125, 'score': 0.9892578125, 'examples_seen': 101629, 'step': 850, 'algorithm': 'bfs'}
I0716 07:02:00.298027 123331353363968 run.py:722] (val) algo bfs step 900: {'pi': 0.9990234375, 'score': 0.9990234375, 'examples_seen': 107598, 'step': 900, 'algorithm': 'bfs'}
I0716 07:02:02.984508 123331353363968 run.py:722] (val) algo bfs step 950: {'pi': 0.99609375, 'score': 0.99609375, 'examples_seen': 113479, 'step': 950, 'algorithm': 'bfs'}
I0716 07:02:05.645624 123331353363968 run.py:722] (val) algo bfs step 1000: {'pi': 0.998046875, 'score': 0.998046875, 'examples_seen': 119518, 'step': 1000, 'algorithm': 'bfs'}
