{'return': 0.054443359375, 'score': 0.054443359375, 'examples_seen': 96, 'step': 0, 'algorithm': 'binary_search'}
{'return': 0.43017578125, 'score': 0.43017578125, 'examples_seen': 3929, 'step': 50, 'algorithm': 'binary_search'}
{'return': 0.447265625, 'score': 0.447265625, 'examples_seen': 7769, 'step': 100, 'algorithm': 'binary_search'}
{'return': 0.46484375, 'score': 0.46484375, 'examples_seen': 11585, 'step': 150, 'algorithm': 'binary_search'}
{'return': 0.576904296875, 'score': 0.576904296875, 'examples_seen': 15405, 'step': 200, 'algorithm': 'binary_search'}
{'return': 0.251708984375, 'score': 0.251708984375, 'examples_seen': 19220, 'step': 250, 'algorithm': 'binary_search'}
{'return': 0.690185546875, 'score': 0.690185546875, 'examples_seen': 23101, 'step': 300, 'algorithm': 'binary_search'}
{'return': 0.536376953125, 'score': 0.536376953125, 'examples_seen': 26975, 'step': 350, 'algorithm': 'binary_search'}
{'return': 0.67724609375, 'score': 0.67724609375, 'examples_seen': 30803, 'step': 400, 'algorithm': 'binary_search'}
{'return': 0.738037109375, 'score': 0.738037109375, 'examples_seen': 34648, 'step': 450, 'algorithm': 'binary_search'}
{'return': 0.68896484375, 'score': 0.68896484375, 'examples_seen': 38465, 'step': 500, 'algorithm': 'binary_search'}
{'return': 0.690185546875, 'score': 0.690185546875, 'examples_seen': 42280, 'step': 550, 'algorithm': 'binary_search'}
{'return': 0.451171875, 'score': 0.451171875, 'examples_seen': 46095, 'step': 600, 'algorithm': 'binary_search'}
{'return': 0.604248046875, 'score': 0.604248046875, 'examples_seen': 49987, 'step': 650, 'algorithm': 'binary_search'}
{'return': 0.821533203125, 'score': 0.821533203125, 'examples_seen': 53861, 'step': 700, 'algorithm': 'binary_search'}
{'return': 0.81884765625, 'score': 0.81884765625, 'examples_seen': 57708, 'step': 750, 'algorithm': 'binary_search'}
{'return': 0.673095703125, 'score': 0.673095703125, 'examples_seen': 61556, 'step': 800, 'algorithm': 'binary_search'}
{'return': 0.759033203125, 'score': 0.759033203125, 'examples_seen': 65375, 'step': 850, 'algorithm': 'binary_search'}
{'return': 0.726806640625, 'score': 0.726806640625, 'examples_seen': 69199, 'step': 900, 'algorithm': 'binary_search'}
{'return': 0.504638671875, 'score': 0.504638671875, 'examples_seen': 73009, 'step': 950, 'algorithm': 'binary_search'}
{'return': 0.58251953125, 'score': 0.58251953125, 'examples_seen': 76906, 'step': 1000, 'algorithm': 'binary_search'}
{'return': 0.826171875, 'score': 0.826171875, 'examples_seen': 80786, 'step': 1050, 'algorithm': 'binary_search'}
{'return': 0.70361328125, 'score': 0.70361328125, 'examples_seen': 84624, 'step': 1100, 'algorithm': 'binary_search'}
{'return': 0.642822265625, 'score': 0.642822265625, 'examples_seen': 88449, 'step': 1150, 'algorithm': 'binary_search'}
{'return': 0.6494140625, 'score': 0.6494140625, 'examples_seen': 92263, 'step': 1200, 'algorithm': 'binary_search'}
{'return': 0.748046875, 'score': 0.748046875, 'examples_seen': 96077, 'step': 1250, 'algorithm': 'binary_search'}
{'return': 0.73486328125, 'score': 0.73486328125, 'examples_seen': 99908, 'step': 1300, 'algorithm': 'binary_search'}
{'return': 0.62939453125, 'score': 0.62939453125, 'examples_seen': 103790, 'step': 1350, 'algorithm': 'binary_search'}
{'return': 0.793212890625, 'score': 0.793212890625, 'examples_seen': 107671, 'step': 1400, 'algorithm': 'binary_search'}
{'return': 0.712890625, 'score': 0.712890625, 'examples_seen': 111509, 'step': 1450, 'algorithm': 'binary_search'}
{'return': 0.816650390625, 'score': 0.816650390625, 'examples_seen': 115364, 'step': 1500, 'algorithm': 'binary_search'}
{'return': 0.762939453125, 'score': 0.762939453125, 'examples_seen': 119178, 'step': 1550, 'algorithm': 'binary_search'}
{'return': 0.837158203125, 'score': 0.837158203125, 'examples_seen': 122997, 'step': 1600, 'algorithm': 'binary_search'}
{'return': 0.834716796875, 'score': 0.834716796875, 'examples_seen': 126829, 'step': 1650, 'algorithm': 'binary_search'}
{'return': 0.734130859375, 'score': 0.734130859375, 'examples_seen': 130709, 'step': 1700, 'algorithm': 'binary_search'}
{'return': 0.684814453125, 'score': 0.684814453125, 'examples_seen': 134592, 'step': 1750, 'algorithm': 'binary_search'}
{'return': 0.83935546875, 'score': 0.83935546875, 'examples_seen': 138441, 'step': 1800, 'algorithm': 'binary_search'}
{'return': 0.621826171875, 'score': 0.621826171875, 'examples_seen': 142294, 'step': 1850, 'algorithm': 'binary_search'}
{'return': 0.724853515625, 'score': 0.724853515625, 'examples_seen': 146105, 'step': 1900, 'algorithm': 'binary_search'}
{'return': 0.83349609375, 'score': 0.83349609375, 'examples_seen': 149913, 'step': 1950, 'algorithm': 'binary_search'}
{'return': 0.774658203125, 'score': 0.774658203125, 'examples_seen': 153743, 'step': 2000, 'algorithm': 'binary_search'}
{'return': 0.7568359375, 'score': 0.7568359375, 'examples_seen': 157638, 'step': 2050, 'algorithm': 'binary_search'}
{'return': 0.78515625, 'score': 0.78515625, 'examples_seen': 161536, 'step': 2100, 'algorithm': 'binary_search'}
{'return': 0.8271484375, 'score': 0.8271484375, 'examples_seen': 165370, 'step': 2150, 'algorithm': 'binary_search'}
{'return': 0.7841796875, 'score': 0.7841796875, 'examples_seen': 169201, 'step': 2200, 'algorithm': 'binary_search'}
{'return': 0.808837890625, 'score': 0.808837890625, 'examples_seen': 173028, 'step': 2250, 'algorithm': 'binary_search'}
{'return': 0.83349609375, 'score': 0.83349609375, 'examples_seen': 176837, 'step': 2300, 'algorithm': 'binary_search'}
{'return': 0.869384765625, 'score': 0.869384765625, 'examples_seen': 180652, 'step': 2350, 'algorithm': 'binary_search'}
{'return': 0.83837890625, 'score': 0.83837890625, 'examples_seen': 184537, 'step': 2400, 'algorithm': 'binary_search'}
{'return': 0.77197265625, 'score': 0.77197265625, 'examples_seen': 188423, 'step': 2450, 'algorithm': 'binary_search'}
{'return': 0.83251953125, 'score': 0.83251953125, 'examples_seen': 192254, 'step': 2500, 'algorithm': 'binary_search'}
{'return': 0.7001953125, 'score': 0.7001953125, 'examples_seen': 196090, 'step': 2550, 'algorithm': 'binary_search'}
{'return': 0.84521484375, 'score': 0.84521484375, 'examples_seen': 199901, 'step': 2600, 'algorithm': 'binary_search'}
{'return': 0.855712890625, 'score': 0.855712890625, 'examples_seen': 203721, 'step': 2650, 'algorithm': 'binary_search'}
{'return': 0.80615234375, 'score': 0.80615234375, 'examples_seen': 207530, 'step': 2700, 'algorithm': 'binary_search'}
{'return': 0.880615234375, 'score': 0.880615234375, 'examples_seen': 211422, 'step': 2750, 'algorithm': 'binary_search'}
{'return': 0.72314453125, 'score': 0.72314453125, 'examples_seen': 215308, 'step': 2800, 'algorithm': 'binary_search'}
{'return': 0.847900390625, 'score': 0.847900390625, 'examples_seen': 219137, 'step': 2850, 'algorithm': 'binary_search'}
{'return': 0.86865234375, 'score': 0.86865234375, 'examples_seen': 222989, 'step': 2900, 'algorithm': 'binary_search'}
{'return': 0.840087890625, 'score': 0.840087890625, 'examples_seen': 226818, 'step': 2950, 'algorithm': 'binary_search'}
{'return': 0.88330078125, 'score': 0.88330078125, 'examples_seen': 230626, 'step': 3000, 'algorithm': 'binary_search'}
{'return': 0.849609375, 'score': 0.849609375, 'examples_seen': 234455, 'step': 3050, 'algorithm': 'binary_search'}
{'return': 0.894287109375, 'score': 0.894287109375, 'examples_seen': 238331, 'step': 3100, 'algorithm': 'binary_search'}
{'return': 0.8408203125, 'score': 0.8408203125, 'examples_seen': 242216, 'step': 3150, 'algorithm': 'binary_search'}
{'return': 0.84033203125, 'score': 0.84033203125, 'examples_seen': 246053, 'step': 3200, 'algorithm': 'binary_search'}
{'return': 0.857666015625, 'score': 0.857666015625, 'examples_seen': 249892, 'step': 3250, 'algorithm': 'binary_search'}
{'return': 0.814697265625, 'score': 0.814697265625, 'examples_seen': 253710, 'step': 3300, 'algorithm': 'binary_search'}
{'return': 0.8896484375, 'score': 0.8896484375, 'examples_seen': 257531, 'step': 3350, 'algorithm': 'binary_search'}
{'return': 0.809326171875, 'score': 0.809326171875, 'examples_seen': 261352, 'step': 3400, 'algorithm': 'binary_search'}
{'return': 0.779052734375, 'score': 0.779052734375, 'examples_seen': 265239, 'step': 3450, 'algorithm': 'binary_search'}
{'return': 0.908935546875, 'score': 0.908935546875, 'examples_seen': 269107, 'step': 3500, 'algorithm': 'binary_search'}
{'return': 0.844482421875, 'score': 0.844482421875, 'examples_seen': 272954, 'step': 3550, 'algorithm': 'binary_search'}
