{'pred': 0.0869140625, 'score': 0.0869140625, 'examples_seen': 64, 'step': 0, 'algorithm': 'bubble_sort'}
{'pred': 0.3544921875, 'score': 0.3544921875, 'examples_seen': 1744, 'step': 50, 'algorithm': 'bubble_sort'}
{'pred': 0.2646484375, 'score': 0.2646484375, 'examples_seen': 3408, 'step': 100, 'algorithm': 'bubble_sort'}
{'pred': 0.455078125, 'score': 0.455078125, 'examples_seen': 5056, 'step': 150, 'algorithm': 'bubble_sort'}
{'pred': 0.4638671875, 'score': 0.4638671875, 'examples_seen': 6720, 'step': 200, 'algorithm': 'bubble_sort'}
{'pred': 0.369140625, 'score': 0.369140625, 'examples_seen': 8368, 'step': 250, 'algorithm': 'bubble_sort'}
{'pred': 0.2958984375, 'score': 0.2958984375, 'examples_seen': 10176, 'step': 300, 'algorithm': 'bubble_sort'}
{'pred': 0.369140625, 'score': 0.369140625, 'examples_seen': 11904, 'step': 350, 'algorithm': 'bubble_sort'}
{'pred': 0.369140625, 'score': 0.369140625, 'examples_seen': 13568, 'step': 400, 'algorithm': 'bubble_sort'}
{'pred': 0.3505859375, 'score': 0.3505859375, 'examples_seen': 15264, 'step': 450, 'algorithm': 'bubble_sort'}
{'pred': 0.3994140625, 'score': 0.3994140625, 'examples_seen': 16912, 'step': 500, 'algorithm': 'bubble_sort'}
{'pred': 0.3857421875, 'score': 0.3857421875, 'examples_seen': 18576, 'step': 550, 'algorithm': 'bubble_sort'}
{'pred': 0.5283203125, 'score': 0.5283203125, 'examples_seen': 20224, 'step': 600, 'algorithm': 'bubble_sort'}
{'pred': 0.53125, 'score': 0.53125, 'examples_seen': 22016, 'step': 650, 'algorithm': 'bubble_sort'}
{'pred': 0.53515625, 'score': 0.53515625, 'examples_seen': 23728, 'step': 700, 'algorithm': 'bubble_sort'}
{'pred': 0.5771484375, 'score': 0.5771484375, 'examples_seen': 25408, 'step': 750, 'algorithm': 'bubble_sort'}
{'pred': 0.509765625, 'score': 0.509765625, 'examples_seen': 27088, 'step': 800, 'algorithm': 'bubble_sort'}
{'pred': 0.6142578125, 'score': 0.6142578125, 'examples_seen': 28752, 'step': 850, 'algorithm': 'bubble_sort'}
{'pred': 0.5712890625, 'score': 0.5712890625, 'examples_seen': 30432, 'step': 900, 'algorithm': 'bubble_sort'}
{'pred': 0.630859375, 'score': 0.630859375, 'examples_seen': 32080, 'step': 950, 'algorithm': 'bubble_sort'}
{'pred': 0.6826171875, 'score': 0.6826171875, 'examples_seen': 33872, 'step': 1000, 'algorithm': 'bubble_sort'}
{'pred': 0.623046875, 'score': 0.623046875, 'examples_seen': 35568, 'step': 1050, 'algorithm': 'bubble_sort'}
{'pred': 0.603515625, 'score': 0.603515625, 'examples_seen': 37264, 'step': 1100, 'algorithm': 'bubble_sort'}
{'pred': 0.552734375, 'score': 0.552734375, 'examples_seen': 38928, 'step': 1150, 'algorithm': 'bubble_sort'}
{'pred': 0.6015625, 'score': 0.6015625, 'examples_seen': 40576, 'step': 1200, 'algorithm': 'bubble_sort'}
{'pred': 0.5849609375, 'score': 0.5849609375, 'examples_seen': 42240, 'step': 1250, 'algorithm': 'bubble_sort'}
{'pred': 0.6142578125, 'score': 0.6142578125, 'examples_seen': 43920, 'step': 1300, 'algorithm': 'bubble_sort'}
{'pred': 0.6162109375, 'score': 0.6162109375, 'examples_seen': 45712, 'step': 1350, 'algorithm': 'bubble_sort'}
{'pred': 0.583984375, 'score': 0.583984375, 'examples_seen': 47424, 'step': 1400, 'algorithm': 'bubble_sort'}
{'pred': 0.65625, 'score': 0.65625, 'examples_seen': 49120, 'step': 1450, 'algorithm': 'bubble_sort'}
{'pred': 0.6455078125, 'score': 0.6455078125, 'examples_seen': 50784, 'step': 1500, 'algorithm': 'bubble_sort'}
{'pred': 0.56640625, 'score': 0.56640625, 'examples_seen': 52432, 'step': 1550, 'algorithm': 'bubble_sort'}
{'pred': 0.4638671875, 'score': 0.4638671875, 'examples_seen': 54096, 'step': 1600, 'algorithm': 'bubble_sort'}
{'pred': 0.509765625, 'score': 0.509765625, 'examples_seen': 55760, 'step': 1650, 'algorithm': 'bubble_sort'}
{'pred': 0.6708984375, 'score': 0.6708984375, 'examples_seen': 57536, 'step': 1700, 'algorithm': 'bubble_sort'}
{'pred': 0.6455078125, 'score': 0.6455078125, 'examples_seen': 59264, 'step': 1750, 'algorithm': 'bubble_sort'}
{'pred': 0.64453125, 'score': 0.64453125, 'examples_seen': 60944, 'step': 1800, 'algorithm': 'bubble_sort'}
{'pred': 0.630859375, 'score': 0.630859375, 'examples_seen': 62608, 'step': 1850, 'algorithm': 'bubble_sort'}
{'pred': 0.72265625, 'score': 0.72265625, 'examples_seen': 64288, 'step': 1900, 'algorithm': 'bubble_sort'}
{'pred': 0.7099609375, 'score': 0.7099609375, 'examples_seen': 65936, 'step': 1950, 'algorithm': 'bubble_sort'}
{'pred': 0.7158203125, 'score': 0.7158203125, 'examples_seen': 67600, 'step': 2000, 'algorithm': 'bubble_sort'}
{'pred': 0.7177734375, 'score': 0.7177734375, 'examples_seen': 69376, 'step': 2050, 'algorithm': 'bubble_sort'}
{'pred': 0.7490234375, 'score': 0.7490234375, 'examples_seen': 71088, 'step': 2100, 'algorithm': 'bubble_sort'}
{'pred': 0.71484375, 'score': 0.71484375, 'examples_seen': 72800, 'step': 2150, 'algorithm': 'bubble_sort'}
{'pred': 0.67578125, 'score': 0.67578125, 'examples_seen': 74448, 'step': 2200, 'algorithm': 'bubble_sort'}
{'pred': 0.65625, 'score': 0.65625, 'examples_seen': 76112, 'step': 2250, 'algorithm': 'bubble_sort'}
{'pred': 0.744140625, 'score': 0.744140625, 'examples_seen': 77792, 'step': 2300, 'algorithm': 'bubble_sort'}
{'pred': 0.6484375, 'score': 0.6484375, 'examples_seen': 79456, 'step': 2350, 'algorithm': 'bubble_sort'}
{'pred': 0.5751953125, 'score': 0.5751953125, 'examples_seen': 81232, 'step': 2400, 'algorithm': 'bubble_sort'}
{'pred': 0.6787109375, 'score': 0.6787109375, 'examples_seen': 82960, 'step': 2450, 'algorithm': 'bubble_sort'}
{'pred': 0.578125, 'score': 0.578125, 'examples_seen': 84640, 'step': 2500, 'algorithm': 'bubble_sort'}
{'pred': 0.6904296875, 'score': 0.6904296875, 'examples_seen': 86304, 'step': 2550, 'algorithm': 'bubble_sort'}
{'pred': 0.734375, 'score': 0.734375, 'examples_seen': 87968, 'step': 2600, 'algorithm': 'bubble_sort'}
{'pred': 0.716796875, 'score': 0.716796875, 'examples_seen': 89616, 'step': 2650, 'algorithm': 'bubble_sort'}
{'pred': 0.7470703125, 'score': 0.7470703125, 'examples_seen': 91280, 'step': 2700, 'algorithm': 'bubble_sort'}
{'pred': 0.708984375, 'score': 0.708984375, 'examples_seen': 93072, 'step': 2750, 'algorithm': 'bubble_sort'}
{'pred': 0.724609375, 'score': 0.724609375, 'examples_seen': 94800, 'step': 2800, 'algorithm': 'bubble_sort'}
{'pred': 0.6904296875, 'score': 0.6904296875, 'examples_seen': 96448, 'step': 2850, 'algorithm': 'bubble_sort'}
{'pred': 0.7421875, 'score': 0.7421875, 'examples_seen': 98144, 'step': 2900, 'algorithm': 'bubble_sort'}
{'pred': 0.716796875, 'score': 0.716796875, 'examples_seen': 99792, 'step': 2950, 'algorithm': 'bubble_sort'}
{'pred': 0.73828125, 'score': 0.73828125, 'examples_seen': 101456, 'step': 3000, 'algorithm': 'bubble_sort'}
{'pred': 0.654296875, 'score': 0.654296875, 'examples_seen': 103104, 'step': 3050, 'algorithm': 'bubble_sort'}
{'pred': 0.6875, 'score': 0.6875, 'examples_seen': 104880, 'step': 3100, 'algorithm': 'bubble_sort'}
{'pred': 0.6865234375, 'score': 0.6865234375, 'examples_seen': 106640, 'step': 3150, 'algorithm': 'bubble_sort'}
{'pred': 0.703125, 'score': 0.703125, 'examples_seen': 108304, 'step': 3200, 'algorithm': 'bubble_sort'}
{'pred': 0.763671875, 'score': 0.763671875, 'examples_seen': 109968, 'step': 3250, 'algorithm': 'bubble_sort'}
{'pred': 0.708984375, 'score': 0.708984375, 'examples_seen': 111664, 'step': 3300, 'algorithm': 'bubble_sort'}
{'pred': 0.720703125, 'score': 0.720703125, 'examples_seen': 113328, 'step': 3350, 'algorithm': 'bubble_sort'}
{'pred': 0.7392578125, 'score': 0.7392578125, 'examples_seen': 114976, 'step': 3400, 'algorithm': 'bubble_sort'}
{'pred': 0.744140625, 'score': 0.744140625, 'examples_seen': 116768, 'step': 3450, 'algorithm': 'bubble_sort'}
{'pred': 0.736328125, 'score': 0.736328125, 'examples_seen': 118480, 'step': 3500, 'algorithm': 'bubble_sort'}
{'pred': 0.734375, 'score': 0.734375, 'examples_seen': 120160, 'step': 3550, 'algorithm': 'bubble_sort'}
{'pred': 0.7919921875, 'score': 0.7919921875, 'examples_seen': 121840, 'step': 3600, 'algorithm': 'bubble_sort'}
{'pred': 0.7666015625, 'score': 0.7666015625, 'examples_seen': 123488, 'step': 3650, 'algorithm': 'bubble_sort'}
{'pred': 0.8427734375, 'score': 0.8427734375, 'examples_seen': 125136, 'step': 3700, 'algorithm': 'bubble_sort'}
{'pred': 0.755859375, 'score': 0.755859375, 'examples_seen': 126816, 'step': 3750, 'algorithm': 'bubble_sort'}
{'pred': 0.7841796875, 'score': 0.7841796875, 'examples_seen': 128592, 'step': 3800, 'algorithm': 'bubble_sort'}
{'pred': 0.7431640625, 'score': 0.7431640625, 'examples_seen': 130304, 'step': 3850, 'algorithm': 'bubble_sort'}
{'pred': 0.765625, 'score': 0.765625, 'examples_seen': 132000, 'step': 3900, 'algorithm': 'bubble_sort'}
{'pred': 0.7001953125, 'score': 0.7001953125, 'examples_seen': 133664, 'step': 3950, 'algorithm': 'bubble_sort'}
{'pred': 0.751953125, 'score': 0.751953125, 'examples_seen': 135312, 'step': 4000, 'algorithm': 'bubble_sort'}
{'pred': 0.7626953125, 'score': 0.7626953125, 'examples_seen': 136976, 'step': 4050, 'algorithm': 'bubble_sort'}
{'pred': 0.734375, 'score': 0.734375, 'examples_seen': 138624, 'step': 4100, 'algorithm': 'bubble_sort'}
{'pred': 0.744140625, 'score': 0.744140625, 'examples_seen': 140448, 'step': 4150, 'algorithm': 'bubble_sort'}
{'pred': 0.791015625, 'score': 0.791015625, 'examples_seen': 142160, 'step': 4200, 'algorithm': 'bubble_sort'}
{'pred': 0.7568359375, 'score': 0.7568359375, 'examples_seen': 143840, 'step': 4250, 'algorithm': 'bubble_sort'}
