I0716 07:57:25.194106 132989137683968 run.py:722] (val) algo dfs step 0: {'pi': 0.1103515625, 'score': 0.1103515625, 'examples_seen': 16, 'step': 0, 'algorithm': 'dfs'}
I0716 07:59:12.254945 132989137683968 run.py:722] (val) algo dfs step 50: {'pi': 0.333984375, 'score': 0.333984375, 'examples_seen': 880, 'step': 50, 'algorithm': 'dfs'}
I0716 07:59:13.656290 132989137683968 run.py:722] (val) algo dfs step 100: {'pi': 0.4091796875, 'score': 0.4091796875, 'examples_seen': 1744, 'step': 100, 'algorithm': 'dfs'}
I0716 07:59:15.039447 132989137683968 run.py:722] (val) algo dfs step 150: {'pi': 0.375, 'score': 0.375, 'examples_seen': 2576, 'step': 150, 'algorithm': 'dfs'}
I0716 07:59:16.413135 132989137683968 run.py:722] (val) algo dfs step 200: {'pi': 0.4169921875, 'score': 0.4169921875, 'examples_seen': 3424, 'step': 200, 'algorithm': 'dfs'}
I0716 07:59:17.819641 132989137683968 run.py:722] (val) algo dfs step 250: {'pi': 0.4169921875, 'score': 0.4169921875, 'examples_seen': 4256, 'step': 250, 'algorithm': 'dfs'}
I0716 07:59:19.219180 132989137683968 run.py:722] (val) algo dfs step 300: {'pi': 0.390625, 'score': 0.390625, 'examples_seen': 5152, 'step': 300, 'algorithm': 'dfs'}
I0716 07:59:20.573322 132989137683968 run.py:722] (val) algo dfs step 350: {'pi': 0.443359375, 'score': 0.443359375, 'examples_seen': 6000, 'step': 350, 'algorithm': 'dfs'}
I0716 07:59:21.973926 132989137683968 run.py:722] (val) algo dfs step 400: {'pi': 0.421875, 'score': 0.421875, 'examples_seen': 6864, 'step': 400, 'algorithm': 'dfs'}
I0716 07:59:23.316782 132989137683968 run.py:722] (val) algo dfs step 450: {'pi': 0.4111328125, 'score': 0.4111328125, 'examples_seen': 7728, 'step': 450, 'algorithm': 'dfs'}
I0716 07:59:24.673096 132989137683968 run.py:722] (val) algo dfs step 500: {'pi': 0.4462890625, 'score': 0.4462890625, 'examples_seen': 8560, 'step': 500, 'algorithm': 'dfs'}
I0716 07:59:26.107983 132989137683968 run.py:722] (val) algo dfs step 550: {'pi': 0.4306640625, 'score': 0.4306640625, 'examples_seen': 9408, 'step': 550, 'algorithm': 'dfs'}
I0716 07:59:27.512559 132989137683968 run.py:722] (val) algo dfs step 600: {'pi': 0.45703125, 'score': 0.45703125, 'examples_seen': 10272, 'step': 600, 'algorithm': 'dfs'}
I0716 07:59:28.966127 132989137683968 run.py:722] (val) algo dfs step 650: {'pi': 0.4345703125, 'score': 0.4345703125, 'examples_seen': 11152, 'step': 650, 'algorithm': 'dfs'}
I0716 07:59:30.337568 132989137683968 run.py:722] (val) algo dfs step 700: {'pi': 0.458984375, 'score': 0.458984375, 'examples_seen': 12000, 'step': 700, 'algorithm': 'dfs'}
I0716 07:59:31.737099 132989137683968 run.py:722] (val) algo dfs step 750: {'pi': 0.4755859375, 'score': 0.4755859375, 'examples_seen': 12880, 'step': 750, 'algorithm': 'dfs'}
I0716 07:59:33.117631 132989137683968 run.py:722] (val) algo dfs step 800: {'pi': 0.478515625, 'score': 0.478515625, 'examples_seen': 13728, 'step': 800, 'algorithm': 'dfs'}
I0716 07:59:34.511383 132989137683968 run.py:722] (val) algo dfs step 850: {'pi': 0.4765625, 'score': 0.4765625, 'examples_seen': 14576, 'step': 850, 'algorithm': 'dfs'}
I0716 07:59:35.898547 132989137683968 run.py:722] (val) algo dfs step 900: {'pi': 0.443359375, 'score': 0.443359375, 'examples_seen': 15440, 'step': 900, 'algorithm': 'dfs'}
I0716 07:59:37.297085 132989137683968 run.py:722] (val) algo dfs step 950: {'pi': 0.4501953125, 'score': 0.4501953125, 'examples_seen': 16272, 'step': 950, 'algorithm': 'dfs'}
I0716 07:59:38.671369 132989137683968 run.py:722] (val) algo dfs step 1000: {'pi': 0.5078125, 'score': 0.5078125, 'examples_seen': 17152, 'step': 1000, 'algorithm': 'dfs'}
I0716 07:59:40.075429 132989137683968 run.py:722] (val) algo dfs step 1050: {'pi': 0.3935546875, 'score': 0.3935546875, 'examples_seen': 18032, 'step': 1050, 'algorithm': 'dfs'}
I0716 07:59:41.440180 132989137683968 run.py:722] (val) algo dfs step 1100: {'pi': 0.4931640625, 'score': 0.4931640625, 'examples_seen': 18864, 'step': 1100, 'algorithm': 'dfs'}
I0716 07:59:42.794371 132989137683968 run.py:722] (val) algo dfs step 1150: {'pi': 0.505859375, 'score': 0.505859375, 'examples_seen': 19744, 'step': 1150, 'algorithm': 'dfs'}
I0716 07:59:44.193242 132989137683968 run.py:722] (val) algo dfs step 1200: {'pi': 0.478515625, 'score': 0.478515625, 'examples_seen': 20560, 'step': 1200, 'algorithm': 'dfs'}
I0716 07:59:45.594555 132989137683968 run.py:722] (val) algo dfs step 1250: {'pi': 0.501953125, 'score': 0.501953125, 'examples_seen': 21440, 'step': 1250, 'algorithm': 'dfs'}
I0716 07:59:47.004642 132989137683968 run.py:722] (val) algo dfs step 1300: {'pi': 0.47265625, 'score': 0.47265625, 'examples_seen': 22256, 'step': 1300, 'algorithm': 'dfs'}
I0716 07:59:48.422554 132989137683968 run.py:722] (val) algo dfs step 1350: {'pi': 0.5107421875, 'score': 0.5107421875, 'examples_seen': 23136, 'step': 1350, 'algorithm': 'dfs'}
I0716 07:59:49.841314 132989137683968 run.py:722] (val) algo dfs step 1400: {'pi': 0.470703125, 'score': 0.470703125, 'examples_seen': 24032, 'step': 1400, 'algorithm': 'dfs'}
I0716 07:59:51.205116 132989137683968 run.py:722] (val) algo dfs step 1450: {'pi': 0.47265625, 'score': 0.47265625, 'examples_seen': 24864, 'step': 1450, 'algorithm': 'dfs'}
I0716 07:59:52.553965 132989137683968 run.py:722] (val) algo dfs step 1500: {'pi': 0.5263671875, 'score': 0.5263671875, 'examples_seen': 25744, 'step': 1500, 'algorithm': 'dfs'}
I0716 07:59:53.947090 132989137683968 run.py:722] (val) algo dfs step 1550: {'pi': 0.5234375, 'score': 0.5234375, 'examples_seen': 26576, 'step': 1550, 'algorithm': 'dfs'}
I0716 07:59:55.338243 132989137683968 run.py:722] (val) algo dfs step 1600: {'pi': 0.4775390625, 'score': 0.4775390625, 'examples_seen': 27424, 'step': 1600, 'algorithm': 'dfs'}
I0716 07:59:56.726706 132989137683968 run.py:722] (val) algo dfs step 1650: {'pi': 0.5380859375, 'score': 0.5380859375, 'examples_seen': 28272, 'step': 1650, 'algorithm': 'dfs'}
I0716 07:59:58.133516 132989137683968 run.py:722] (val) algo dfs step 1700: {'pi': 0.443359375, 'score': 0.443359375, 'examples_seen': 29152, 'step': 1700, 'algorithm': 'dfs'}
I0716 07:59:59.496923 132989137683968 run.py:722] (val) algo dfs step 1750: {'pi': 0.47265625, 'score': 0.47265625, 'examples_seen': 30016, 'step': 1750, 'algorithm': 'dfs'}
I0716 08:00:00.872182 132989137683968 run.py:722] (val) algo dfs step 1800: {'pi': 0.595703125, 'score': 0.595703125, 'examples_seen': 30880, 'step': 1800, 'algorithm': 'dfs'}
I0716 08:00:02.270980 132989137683968 run.py:722] (val) algo dfs step 1850: {'pi': 0.5087890625, 'score': 0.5087890625, 'examples_seen': 31712, 'step': 1850, 'algorithm': 'dfs'}
I0716 08:00:03.641771 132989137683968 run.py:722] (val) algo dfs step 1900: {'pi': 0.5029296875, 'score': 0.5029296875, 'examples_seen': 32592, 'step': 1900, 'algorithm': 'dfs'}
I0716 08:00:05.000030 132989137683968 run.py:722] (val) algo dfs step 1950: {'pi': 0.5009765625, 'score': 0.5009765625, 'examples_seen': 33408, 'step': 1950, 'algorithm': 'dfs'}
I0716 08:00:06.460635 132989137683968 run.py:722] (val) algo dfs step 2000: {'pi': 0.525390625, 'score': 0.525390625, 'examples_seen': 34272, 'step': 2000, 'algorithm': 'dfs'}
I0716 08:00:07.844137 132989137683968 run.py:722] (val) algo dfs step 2050: {'pi': 0.55078125, 'score': 0.55078125, 'examples_seen': 35152, 'step': 2050, 'algorithm': 'dfs'}
I0716 08:00:09.270713 132989137683968 run.py:722] (val) algo dfs step 2100: {'pi': 0.4931640625, 'score': 0.4931640625, 'examples_seen': 36016, 'step': 2100, 'algorithm': 'dfs'}
I0716 08:00:10.618890 132989137683968 run.py:722] (val) algo dfs step 2150: {'pi': 0.5625, 'score': 0.5625, 'examples_seen': 36880, 'step': 2150, 'algorithm': 'dfs'}
I0716 08:00:11.972649 132989137683968 run.py:722] (val) algo dfs step 2200: {'pi': 0.5458984375, 'score': 0.5458984375, 'examples_seen': 37728, 'step': 2200, 'algorithm': 'dfs'}
I0716 08:00:13.361624 132989137683968 run.py:722] (val) algo dfs step 2250: {'pi': 0.48046875, 'score': 0.48046875, 'examples_seen': 38592, 'step': 2250, 'algorithm': 'dfs'}
I0716 08:00:14.684372 132989137683968 run.py:722] (val) algo dfs step 2300: {'pi': 0.51171875, 'score': 0.51171875, 'examples_seen': 39440, 'step': 2300, 'algorithm': 'dfs'}
I0716 08:00:16.088508 132989137683968 run.py:722] (val) algo dfs step 2350: {'pi': 0.390625, 'score': 0.390625, 'examples_seen': 40272, 'step': 2350, 'algorithm': 'dfs'}
I0716 08:00:17.461948 132989137683968 run.py:722] (val) algo dfs step 2400: {'pi': 0.5419921875, 'score': 0.5419921875, 'examples_seen': 41152, 'step': 2400, 'algorithm': 'dfs'}
I0716 08:00:18.825300 132989137683968 run.py:722] (val) algo dfs step 2450: {'pi': 0.5830078125, 'score': 0.5830078125, 'examples_seen': 42032, 'step': 2450, 'algorithm': 'dfs'}
I0716 08:00:20.164353 132989137683968 run.py:722] (val) algo dfs step 2500: {'pi': 0.58984375, 'score': 0.58984375, 'examples_seen': 42864, 'step': 2500, 'algorithm': 'dfs'}
I0716 08:00:21.543879 132989137683968 run.py:722] (val) algo dfs step 2550: {'pi': 0.494140625, 'score': 0.494140625, 'examples_seen': 43712, 'step': 2550, 'algorithm': 'dfs'}
I0716 08:00:22.913506 132989137683968 run.py:722] (val) algo dfs step 2600: {'pi': 0.5361328125, 'score': 0.5361328125, 'examples_seen': 44576, 'step': 2600, 'algorithm': 'dfs'}
I0716 08:00:24.322042 132989137683968 run.py:722] (val) algo dfs step 2650: {'pi': 0.494140625, 'score': 0.494140625, 'examples_seen': 45424, 'step': 2650, 'algorithm': 'dfs'}
I0716 08:00:25.691574 132989137683968 run.py:722] (val) algo dfs step 2700: {'pi': 0.5146484375, 'score': 0.5146484375, 'examples_seen': 46272, 'step': 2700, 'algorithm': 'dfs'}
I0716 08:00:27.124928 132989137683968 run.py:722] (val) algo dfs step 2750: {'pi': 0.54296875, 'score': 0.54296875, 'examples_seen': 47168, 'step': 2750, 'algorithm': 'dfs'}
I0716 08:00:28.473785 132989137683968 run.py:722] (val) algo dfs step 2800: {'pi': 0.5322265625, 'score': 0.5322265625, 'examples_seen': 48016, 'step': 2800, 'algorithm': 'dfs'}
I0716 08:00:29.852214 132989137683968 run.py:722] (val) algo dfs step 2850: {'pi': 0.5849609375, 'score': 0.5849609375, 'examples_seen': 48880, 'step': 2850, 'algorithm': 'dfs'}
I0716 08:00:31.233312 132989137683968 run.py:722] (val) algo dfs step 2900: {'pi': 0.4599609375, 'score': 0.4599609375, 'examples_seen': 49728, 'step': 2900, 'algorithm': 'dfs'}
I0716 08:00:32.558505 132989137683968 run.py:722] (val) algo dfs step 2950: {'pi': 0.5419921875, 'score': 0.5419921875, 'examples_seen': 50608, 'step': 2950, 'algorithm': 'dfs'}
I0716 08:00:33.906416 132989137683968 run.py:722] (val) algo dfs step 3000: {'pi': 0.5556640625, 'score': 0.5556640625, 'examples_seen': 51424, 'step': 3000, 'algorithm': 'dfs'}
I0716 08:00:35.312753 132989137683968 run.py:722] (val) algo dfs step 3050: {'pi': 0.541015625, 'score': 0.541015625, 'examples_seen': 52256, 'step': 3050, 'algorithm': 'dfs'}
I0716 08:00:36.746475 132989137683968 run.py:722] (val) algo dfs step 3100: {'pi': 0.458984375, 'score': 0.458984375, 'examples_seen': 53168, 'step': 3100, 'algorithm': 'dfs'}
I0716 08:00:38.092117 132989137683968 run.py:722] (val) algo dfs step 3150: {'pi': 0.576171875, 'score': 0.576171875, 'examples_seen': 54032, 'step': 3150, 'algorithm': 'dfs'}
I0716 08:00:39.444932 132989137683968 run.py:722] (val) algo dfs step 3200: {'pi': 0.6142578125, 'score': 0.6142578125, 'examples_seen': 54880, 'step': 3200, 'algorithm': 'dfs'}
I0716 08:00:40.813102 132989137683968 run.py:722] (val) algo dfs step 3250: {'pi': 0.46875, 'score': 0.46875, 'examples_seen': 55744, 'step': 3250, 'algorithm': 'dfs'}
I0716 08:00:42.203257 132989137683968 run.py:722] (val) algo dfs step 3300: {'pi': 0.46875, 'score': 0.46875, 'examples_seen': 56576, 'step': 3300, 'algorithm': 'dfs'}
I0716 08:00:43.563072 132989137683968 run.py:722] (val) algo dfs step 3350: {'pi': 0.5234375, 'score': 0.5234375, 'examples_seen': 57424, 'step': 3350, 'algorithm': 'dfs'}
