I0716 08:05:20.132418 140312253715968 run.py:722] (val) algo dijkstra step 0: {'pi': 0.4375, 'score': 0.4375, 'examples_seen': 84, 'step': 0, 'algorithm': 'dijkstra'}
I0716 08:06:59.987517 140312253715968 run.py:722] (val) algo dijkstra step 50: {'pi': 0.716796875, 'score': 0.716796875, 'examples_seen': 2939, 'step': 50, 'algorithm': 'dijkstra'}
I0716 08:07:01.951472 140312253715968 run.py:722] (val) algo dijkstra step 100: {'pi': 0.8310546875, 'score': 0.8310546875, 'examples_seen': 5767, 'step': 100, 'algorithm': 'dijkstra'}
I0716 08:07:03.816103 140312253715968 run.py:722] (val) algo dijkstra step 150: {'pi': 0.869140625, 'score': 0.869140625, 'examples_seen': 8549, 'step': 150, 'algorithm': 'dijkstra'}
I0716 08:07:05.811572 140312253715968 run.py:722] (val) algo dijkstra step 200: {'pi': 0.8857421875, 'score': 0.8857421875, 'examples_seen': 11356, 'step': 200, 'algorithm': 'dijkstra'}
I0716 08:07:07.760068 140312253715968 run.py:722] (val) algo dijkstra step 250: {'pi': 0.87890625, 'score': 0.87890625, 'examples_seen': 14127, 'step': 250, 'algorithm': 'dijkstra'}
I0716 08:07:09.682471 140312253715968 run.py:722] (val) algo dijkstra step 300: {'pi': 0.91015625, 'score': 0.91015625, 'examples_seen': 17028, 'step': 300, 'algorithm': 'dijkstra'}
I0716 08:07:11.620210 140312253715968 run.py:722] (val) algo dijkstra step 350: {'pi': 0.849609375, 'score': 0.849609375, 'examples_seen': 19885, 'step': 350, 'algorithm': 'dijkstra'}
I0716 08:07:13.489528 140312253715968 run.py:722] (val) algo dijkstra step 400: {'pi': 0.8701171875, 'score': 0.8701171875, 'examples_seen': 22716, 'step': 400, 'algorithm': 'dijkstra'}
I0716 08:07:15.368747 140312253715968 run.py:722] (val) algo dijkstra step 450: {'pi': 0.9296875, 'score': 0.9296875, 'examples_seen': 25567, 'step': 450, 'algorithm': 'dijkstra'}
I0716 08:07:17.242143 140312253715968 run.py:722] (val) algo dijkstra step 500: {'pi': 0.9365234375, 'score': 0.9365234375, 'examples_seen': 28356, 'step': 500, 'algorithm': 'dijkstra'}
I0716 08:07:19.125392 140312253715968 run.py:722] (val) algo dijkstra step 550: {'pi': 0.9326171875, 'score': 0.9326171875, 'examples_seen': 31141, 'step': 550, 'algorithm': 'dijkstra'}
I0716 08:07:21.030148 140312253715968 run.py:722] (val) algo dijkstra step 600: {'pi': 0.92578125, 'score': 0.92578125, 'examples_seen': 33957, 'step': 600, 'algorithm': 'dijkstra'}
