{'start': 0.2900390625, 'end': 0.0, 'score': 0.14501953125, 'examples_seen': 80, 'step': 0, 'algorithm': 'find_maximum_subarray_kadane'}
{'start': 0.443359375, 'end': 0.47900390625, 'score': 0.461181640625, 'examples_seen': 2640, 'step': 50, 'algorithm': 'find_maximum_subarray_kadane'}
{'start': 0.5859375, 'end': 0.4638671875, 'score': 0.52490234375, 'examples_seen': 5200, 'step': 100, 'algorithm': 'find_maximum_subarray_kadane'}
{'start': 0.708984375, 'end': 0.521484375, 'score': 0.615234375, 'examples_seen': 7744, 'step': 150, 'algorithm': 'find_maximum_subarray_kadane'}
{'start': 0.6884765625, 'end': 0.56982421875, 'score': 0.629150390625, 'examples_seen': 10288, 'step': 200, 'algorithm': 'find_maximum_subarray_kadane'}
{'start': 0.72607421875, 'end': 0.65234375, 'score': 0.689208984375, 'examples_seen': 12816, 'step': 250, 'algorithm': 'find_maximum_subarray_kadane'}
{'start': 0.7080078125, 'end': 0.45458984375, 'score': 0.581298828125, 'examples_seen': 15472, 'step': 300, 'algorithm': 'find_maximum_subarray_kadane'}
{'start': 0.693359375, 'end': 0.6826171875, 'score': 0.68798828125, 'examples_seen': 18080, 'step': 350, 'algorithm': 'find_maximum_subarray_kadane'}
{'start': 0.7333984375, 'end': 0.71435546875, 'score': 0.723876953125, 'examples_seen': 20640, 'step': 400, 'algorithm': 'find_maximum_subarray_kadane'}
{'start': 0.7705078125, 'end': 0.759765625, 'score': 0.76513671875, 'examples_seen': 23216, 'step': 450, 'algorithm': 'find_maximum_subarray_kadane'}
{'start': 0.75146484375, 'end': 0.6591796875, 'score': 0.705322265625, 'examples_seen': 25744, 'step': 500, 'algorithm': 'find_maximum_subarray_kadane'}
{'start': 0.82421875, 'end': 0.7958984375, 'score': 0.81005859375, 'examples_seen': 28288, 'step': 550, 'algorithm': 'find_maximum_subarray_kadane'}
{'start': 0.80224609375, 'end': 0.7587890625, 'score': 0.780517578125, 'examples_seen': 30832, 'step': 600, 'algorithm': 'find_maximum_subarray_kadane'}
{'start': 0.79541015625, 'end': 0.77294921875, 'score': 0.7841796875, 'examples_seen': 33456, 'step': 650, 'algorithm': 'find_maximum_subarray_kadane'}
{'start': 0.79638671875, 'end': 0.8349609375, 'score': 0.815673828125, 'examples_seen': 36080, 'step': 700, 'algorithm': 'find_maximum_subarray_kadane'}
{'start': 0.7841796875, 'end': 0.82275390625, 'score': 0.803466796875, 'examples_seen': 38640, 'step': 750, 'algorithm': 'find_maximum_subarray_kadane'}
{'start': 0.8095703125, 'end': 0.82080078125, 'score': 0.815185546875, 'examples_seen': 41216, 'step': 800, 'algorithm': 'find_maximum_subarray_kadane'}
{'start': 0.84521484375, 'end': 0.75830078125, 'score': 0.8017578125, 'examples_seen': 43760, 'step': 850, 'algorithm': 'find_maximum_subarray_kadane'}
{'start': 0.81787109375, 'end': 0.81591796875, 'score': 0.81689453125, 'examples_seen': 46320, 'step': 900, 'algorithm': 'find_maximum_subarray_kadane'}
{'start': 0.8505859375, 'end': 0.8193359375, 'score': 0.8349609375, 'examples_seen': 48832, 'step': 950, 'algorithm': 'find_maximum_subarray_kadane'}
{'start': 0.8173828125, 'end': 0.80029296875, 'score': 0.808837890625, 'examples_seen': 51488, 'step': 1000, 'algorithm': 'find_maximum_subarray_kadane'}
{'start': 0.841796875, 'end': 0.74072265625, 'score': 0.791259765625, 'examples_seen': 54080, 'step': 1050, 'algorithm': 'find_maximum_subarray_kadane'}
{'start': 0.8330078125, 'end': 0.8369140625, 'score': 0.8349609375, 'examples_seen': 56656, 'step': 1100, 'algorithm': 'find_maximum_subarray_kadane'}
{'start': 0.83935546875, 'end': 0.81640625, 'score': 0.827880859375, 'examples_seen': 59232, 'step': 1150, 'algorithm': 'find_maximum_subarray_kadane'}
{'start': 0.85400390625, 'end': 0.8349609375, 'score': 0.844482421875, 'examples_seen': 61744, 'step': 1200, 'algorithm': 'find_maximum_subarray_kadane'}
{'start': 0.8154296875, 'end': 0.8115234375, 'score': 0.8134765625, 'examples_seen': 64304, 'step': 1250, 'algorithm': 'find_maximum_subarray_kadane'}
{'start': 0.87890625, 'end': 0.84912109375, 'score': 0.864013671875, 'examples_seen': 66848, 'step': 1300, 'algorithm': 'find_maximum_subarray_kadane'}
{'start': 0.83349609375, 'end': 0.80029296875, 'score': 0.81689453125, 'examples_seen': 69472, 'step': 1350, 'algorithm': 'find_maximum_subarray_kadane'}
{'start': 0.8330078125, 'end': 0.8349609375, 'score': 0.833984375, 'examples_seen': 72096, 'step': 1400, 'algorithm': 'find_maximum_subarray_kadane'}
{'start': 0.88037109375, 'end': 0.84033203125, 'score': 0.8603515625, 'examples_seen': 74656, 'step': 1450, 'algorithm': 'find_maximum_subarray_kadane'}
{'start': 0.892578125, 'end': 0.87158203125, 'score': 0.882080078125, 'examples_seen': 77216, 'step': 1500, 'algorithm': 'find_maximum_subarray_kadane'}
{'start': 0.8798828125, 'end': 0.859375, 'score': 0.86962890625, 'examples_seen': 79760, 'step': 1550, 'algorithm': 'find_maximum_subarray_kadane'}
{'start': 0.89404296875, 'end': 0.82763671875, 'score': 0.86083984375, 'examples_seen': 82304, 'step': 1600, 'algorithm': 'find_maximum_subarray_kadane'}
{'start': 0.8642578125, 'end': 0.87158203125, 'score': 0.867919921875, 'examples_seen': 84832, 'step': 1650, 'algorithm': 'find_maximum_subarray_kadane'}
{'start': 0.83935546875, 'end': 0.84423828125, 'score': 0.841796875, 'examples_seen': 87472, 'step': 1700, 'algorithm': 'find_maximum_subarray_kadane'}
{'start': 0.87548828125, 'end': 0.87646484375, 'score': 0.8759765625, 'examples_seen': 90096, 'step': 1750, 'algorithm': 'find_maximum_subarray_kadane'}
{'start': 0.89404296875, 'end': 0.85986328125, 'score': 0.876953125, 'examples_seen': 92656, 'step': 1800, 'algorithm': 'find_maximum_subarray_kadane'}
{'start': 0.8857421875, 'end': 0.845703125, 'score': 0.86572265625, 'examples_seen': 95232, 'step': 1850, 'algorithm': 'find_maximum_subarray_kadane'}
{'start': 0.90087890625, 'end': 0.90966796875, 'score': 0.9052734375, 'examples_seen': 97776, 'step': 1900, 'algorithm': 'find_maximum_subarray_kadane'}
{'start': 0.89208984375, 'end': 0.89501953125, 'score': 0.8935546875, 'examples_seen': 100320, 'step': 1950, 'algorithm': 'find_maximum_subarray_kadane'}
{'start': 0.90869140625, 'end': 0.8876953125, 'score': 0.898193359375, 'examples_seen': 102848, 'step': 2000, 'algorithm': 'find_maximum_subarray_kadane'}
