{'pred': 0.072265625, 'score': 0.072265625, 'examples_seen': 16, 'step': 0, 'algorithm': 'heapsort'}
{'pred': 0.3193359375, 'score': 0.3193359375, 'examples_seen': 784, 'step': 50, 'algorithm': 'heapsort'}
{'pred': 0.1767578125, 'score': 0.1767578125, 'examples_seen': 1548, 'step': 100, 'algorithm': 'heapsort'}
{'pred': 0.1982421875, 'score': 0.1982421875, 'examples_seen': 2335, 'step': 150, 'algorithm': 'heapsort'}
{'pred': 0.181640625, 'score': 0.181640625, 'examples_seen': 3091, 'step': 200, 'algorithm': 'heapsort'}
{'pred': 0.1669921875, 'score': 0.1669921875, 'examples_seen': 3867, 'step': 250, 'algorithm': 'heapsort'}
{'pred': 0.2255859375, 'score': 0.2255859375, 'examples_seen': 4661, 'step': 300, 'algorithm': 'heapsort'}
{'pred': 0.3046875, 'score': 0.3046875, 'examples_seen': 5440, 'step': 350, 'algorithm': 'heapsort'}
{'pred': 0.2138671875, 'score': 0.2138671875, 'examples_seen': 6224, 'step': 400, 'algorithm': 'heapsort'}
{'pred': 0.2890625, 'score': 0.2890625, 'examples_seen': 6995, 'step': 450, 'algorithm': 'heapsort'}
{'pred': 0.2080078125, 'score': 0.2080078125, 'examples_seen': 7754, 'step': 500, 'algorithm': 'heapsort'}
{'pred': 0.28515625, 'score': 0.28515625, 'examples_seen': 8526, 'step': 550, 'algorithm': 'heapsort'}
{'pred': 0.298828125, 'score': 0.298828125, 'examples_seen': 9292, 'step': 600, 'algorithm': 'heapsort'}
{'pred': 0.263671875, 'score': 0.263671875, 'examples_seen': 10097, 'step': 650, 'algorithm': 'heapsort'}
{'pred': 0.287109375, 'score': 0.287109375, 'examples_seen': 10890, 'step': 700, 'algorithm': 'heapsort'}
{'pred': 0.357421875, 'score': 0.357421875, 'examples_seen': 11659, 'step': 750, 'algorithm': 'heapsort'}
{'pred': 0.1806640625, 'score': 0.1806640625, 'examples_seen': 12433, 'step': 800, 'algorithm': 'heapsort'}
{'pred': 0.2158203125, 'score': 0.2158203125, 'examples_seen': 13204, 'step': 850, 'algorithm': 'heapsort'}
{'pred': 0.33984375, 'score': 0.33984375, 'examples_seen': 13958, 'step': 900, 'algorithm': 'heapsort'}
{'pred': 0.384765625, 'score': 0.384765625, 'examples_seen': 14724, 'step': 950, 'algorithm': 'heapsort'}
{'pred': 0.2822265625, 'score': 0.2822265625, 'examples_seen': 15534, 'step': 1000, 'algorithm': 'heapsort'}
{'pred': 0.3779296875, 'score': 0.3779296875, 'examples_seen': 16334, 'step': 1050, 'algorithm': 'heapsort'}
{'pred': 0.28125, 'score': 0.28125, 'examples_seen': 17112, 'step': 1100, 'algorithm': 'heapsort'}
{'pred': 0.2119140625, 'score': 0.2119140625, 'examples_seen': 17875, 'step': 1150, 'algorithm': 'heapsort'}
{'pred': 0.361328125, 'score': 0.361328125, 'examples_seen': 18637, 'step': 1200, 'algorithm': 'heapsort'}
{'pred': 0.3486328125, 'score': 0.3486328125, 'examples_seen': 19405, 'step': 1250, 'algorithm': 'heapsort'}
{'pred': 0.2724609375, 'score': 0.2724609375, 'examples_seen': 20168, 'step': 1300, 'algorithm': 'heapsort'}
