I0716 09:21:49.459342 135833165022720 run.py:722] (val) algo kmp_matcher step 0: {'match': 0.111328125, 'score': 0.111328125, 'examples_seen': 15, 'step': 0, 'algorithm': 'kmp_matcher'}
I0716 09:21:53.647885 135833165022720 run.py:722] (val) algo kmp_matcher step 50: {'match': 0.121826171875, 'score': 0.121826171875, 'examples_seen': 850, 'step': 50, 'algorithm': 'kmp_matcher'}
I0716 09:21:57.845898 135833165022720 run.py:722] (val) algo kmp_matcher step 100: {'match': 0.108154296875, 'score': 0.108154296875, 'examples_seen': 1677, 'step': 100, 'algorithm': 'kmp_matcher'}
I0716 09:22:02.027434 135833165022720 run.py:722] (val) algo kmp_matcher step 150: {'match': 0.119384765625, 'score': 0.119384765625, 'examples_seen': 2534, 'step': 150, 'algorithm': 'kmp_matcher'}
I0716 09:22:06.194985 135833165022720 run.py:722] (val) algo kmp_matcher step 200: {'match': 0.116943359375, 'score': 0.116943359375, 'examples_seen': 3395, 'step': 200, 'algorithm': 'kmp_matcher'}
I0716 09:22:10.389618 135833165022720 run.py:722] (val) algo kmp_matcher step 250: {'match': 0.145751953125, 'score': 0.145751953125, 'examples_seen': 4240, 'step': 250, 'algorithm': 'kmp_matcher'}
I0716 09:22:14.596843 135833165022720 run.py:722] (val) algo kmp_matcher step 300: {'match': 0.262451171875, 'score': 0.262451171875, 'examples_seen': 5090, 'step': 300, 'algorithm': 'kmp_matcher'}
I0716 09:22:18.805112 135833165022720 run.py:722] (val) algo kmp_matcher step 350: {'match': 0.4375, 'score': 0.4375, 'examples_seen': 5932, 'step': 350, 'algorithm': 'kmp_matcher'}
I0716 09:22:22.984874 135833165022720 run.py:722] (val) algo kmp_matcher step 400: {'match': 0.254638671875, 'score': 0.254638671875, 'examples_seen': 6763, 'step': 400, 'algorithm': 'kmp_matcher'}
I0716 09:22:27.148770 135833165022720 run.py:722] (val) algo kmp_matcher step 450: {'match': 0.2939453125, 'score': 0.2939453125, 'examples_seen': 7613, 'step': 450, 'algorithm': 'kmp_matcher'}
I0716 09:22:31.302898 135833165022720 run.py:722] (val) algo kmp_matcher step 500: {'match': 0.30908203125, 'score': 0.30908203125, 'examples_seen': 8457, 'step': 500, 'algorithm': 'kmp_matcher'}
I0716 09:22:35.458163 135833165022720 run.py:722] (val) algo kmp_matcher step 550: {'match': 0.39794921875, 'score': 0.39794921875, 'examples_seen': 9277, 'step': 550, 'algorithm': 'kmp_matcher'}
I0716 09:22:39.621892 135833165022720 run.py:722] (val) algo kmp_matcher step 600: {'match': 0.535888671875, 'score': 0.535888671875, 'examples_seen': 10135, 'step': 600, 'algorithm': 'kmp_matcher'}
I0716 09:22:43.809046 135833165022720 run.py:722] (val) algo kmp_matcher step 650: {'match': 0.46484375, 'score': 0.46484375, 'examples_seen': 10984, 'step': 650, 'algorithm': 'kmp_matcher'}
