{'b': 0.549072265625, 'score': 0.549072265625, 'examples_seen': 256, 'step': 0, 'algorithm': 'lcs_length'}
{'b': 0.64794921875, 'score': 0.64794921875, 'examples_seen': 6225, 'step': 50, 'algorithm': 'lcs_length'}
{'b': 0.672607421875, 'score': 0.672607421875, 'examples_seen': 12119, 'step': 100, 'algorithm': 'lcs_length'}
{'b': 0.776611328125, 'score': 0.776611328125, 'examples_seen': 17980, 'step': 150, 'algorithm': 'lcs_length'}
{'b': 0.9111328125, 'score': 0.9111328125, 'examples_seen': 23849, 'step': 200, 'algorithm': 'lcs_length'}
{'b': 0.907958984375, 'score': 0.907958984375, 'examples_seen': 29687, 'step': 250, 'algorithm': 'lcs_length'}
{'b': 0.903564453125, 'score': 0.903564453125, 'examples_seen': 35746, 'step': 300, 'algorithm': 'lcs_length'}
{'b': 0.912109375, 'score': 0.912109375, 'examples_seen': 41799, 'step': 350, 'algorithm': 'lcs_length'}
{'b': 0.89892578125, 'score': 0.89892578125, 'examples_seen': 47745, 'step': 400, 'algorithm': 'lcs_length'}
{'b': 0.91015625, 'score': 0.91015625, 'examples_seen': 53638, 'step': 450, 'algorithm': 'lcs_length'}
{'b': 0.893310546875, 'score': 0.893310546875, 'examples_seen': 59512, 'step': 500, 'algorithm': 'lcs_length'}
{'b': 0.902587890625, 'score': 0.902587890625, 'examples_seen': 65364, 'step': 550, 'algorithm': 'lcs_length'}
{'b': 0.8974609375, 'score': 0.8974609375, 'examples_seen': 71216, 'step': 600, 'algorithm': 'lcs_length'}
{'b': 0.89697265625, 'score': 0.89697265625, 'examples_seen': 77288, 'step': 650, 'algorithm': 'lcs_length'}
{'b': 0.870849609375, 'score': 0.870849609375, 'examples_seen': 83340, 'step': 700, 'algorithm': 'lcs_length'}
{'b': 0.865966796875, 'score': 0.865966796875, 'examples_seen': 89291, 'step': 750, 'algorithm': 'lcs_length'}
{'b': 0.906982421875, 'score': 0.906982421875, 'examples_seen': 95180, 'step': 800, 'algorithm': 'lcs_length'}
{'b': 0.885986328125, 'score': 0.885986328125, 'examples_seen': 101060, 'step': 850, 'algorithm': 'lcs_length'}
{'b': 0.922119140625, 'score': 0.922119140625, 'examples_seen': 106912, 'step': 900, 'algorithm': 'lcs_length'}
{'b': 0.927490234375, 'score': 0.927490234375, 'examples_seen': 112772, 'step': 950, 'algorithm': 'lcs_length'}
{'b': 0.90380859375, 'score': 0.90380859375, 'examples_seen': 118833, 'step': 1000, 'algorithm': 'lcs_length'}
{'b': 0.9111328125, 'score': 0.9111328125, 'examples_seen': 124894, 'step': 1050, 'algorithm': 'lcs_length'}
{'b': 0.92236328125, 'score': 0.92236328125, 'examples_seen': 130841, 'step': 1100, 'algorithm': 'lcs_length'}
{'b': 0.933349609375, 'score': 0.933349609375, 'examples_seen': 136753, 'step': 1150, 'algorithm': 'lcs_length'}
{'b': 0.930908203125, 'score': 0.930908203125, 'examples_seen': 142605, 'step': 1200, 'algorithm': 'lcs_length'}
{'b': 0.926025390625, 'score': 0.926025390625, 'examples_seen': 148460, 'step': 1250, 'algorithm': 'lcs_length'}
{'b': 0.9287109375, 'score': 0.9287109375, 'examples_seen': 154289, 'step': 1300, 'algorithm': 'lcs_length'}
{'b': 0.933837890625, 'score': 0.933837890625, 'examples_seen': 160350, 'step': 1350, 'algorithm': 'lcs_length'}
{'b': 0.926025390625, 'score': 0.926025390625, 'examples_seen': 166429, 'step': 1400, 'algorithm': 'lcs_length'}
{'b': 0.901123046875, 'score': 0.901123046875, 'examples_seen': 172381, 'step': 1450, 'algorithm': 'lcs_length'}
{'b': 0.935302734375, 'score': 0.935302734375, 'examples_seen': 178280, 'step': 1500, 'algorithm': 'lcs_length'}
{'b': 0.9365234375, 'score': 0.9365234375, 'examples_seen': 184122, 'step': 1550, 'algorithm': 'lcs_length'}
{'b': 0.943115234375, 'score': 0.943115234375, 'examples_seen': 189972, 'step': 1600, 'algorithm': 'lcs_length'}
{'b': 0.943115234375, 'score': 0.943115234375, 'examples_seen': 195809, 'step': 1650, 'algorithm': 'lcs_length'}
{'b': 0.93408203125, 'score': 0.93408203125, 'examples_seen': 201878, 'step': 1700, 'algorithm': 'lcs_length'}
{'b': 0.9443359375, 'score': 0.9443359375, 'examples_seen': 207960, 'step': 1750, 'algorithm': 'lcs_length'}
{'b': 0.944580078125, 'score': 0.944580078125, 'examples_seen': 213897, 'step': 1800, 'algorithm': 'lcs_length'}
{'b': 0.928955078125, 'score': 0.928955078125, 'examples_seen': 219807, 'step': 1850, 'algorithm': 'lcs_length'}
{'b': 0.938720703125, 'score': 0.938720703125, 'examples_seen': 225667, 'step': 1900, 'algorithm': 'lcs_length'}
{'b': 0.9306640625, 'score': 0.9306640625, 'examples_seen': 231520, 'step': 1950, 'algorithm': 'lcs_length'}
{'b': 0.93408203125, 'score': 0.93408203125, 'examples_seen': 237346, 'step': 2000, 'algorithm': 'lcs_length'}
{'b': 0.939453125, 'score': 0.939453125, 'examples_seen': 243405, 'step': 2050, 'algorithm': 'lcs_length'}
{'b': 0.9443359375, 'score': 0.9443359375, 'examples_seen': 249464, 'step': 2100, 'algorithm': 'lcs_length'}
{'b': 0.956787109375, 'score': 0.956787109375, 'examples_seen': 255412, 'step': 2150, 'algorithm': 'lcs_length'}
{'b': 0.938232421875, 'score': 0.938232421875, 'examples_seen': 261294, 'step': 2200, 'algorithm': 'lcs_length'}
{'b': 0.92333984375, 'score': 0.92333984375, 'examples_seen': 267156, 'step': 2250, 'algorithm': 'lcs_length'}
{'b': 0.943115234375, 'score': 0.943115234375, 'examples_seen': 273020, 'step': 2300, 'algorithm': 'lcs_length'}
{'b': 0.95361328125, 'score': 0.95361328125, 'examples_seen': 278853, 'step': 2350, 'algorithm': 'lcs_length'}
{'b': 0.934326171875, 'score': 0.934326171875, 'examples_seen': 284935, 'step': 2400, 'algorithm': 'lcs_length'}
{'b': 0.948486328125, 'score': 0.948486328125, 'examples_seen': 290997, 'step': 2450, 'algorithm': 'lcs_length'}
{'b': 0.928466796875, 'score': 0.928466796875, 'examples_seen': 296927, 'step': 2500, 'algorithm': 'lcs_length'}
{'b': 0.949462890625, 'score': 0.949462890625, 'examples_seen': 302816, 'step': 2550, 'algorithm': 'lcs_length'}
{'b': 0.942626953125, 'score': 0.942626953125, 'examples_seen': 308663, 'step': 2600, 'algorithm': 'lcs_length'}
{'b': 0.947021484375, 'score': 0.947021484375, 'examples_seen': 314523, 'step': 2650, 'algorithm': 'lcs_length'}
{'b': 0.947021484375, 'score': 0.947021484375, 'examples_seen': 320355, 'step': 2700, 'algorithm': 'lcs_length'}
{'b': 0.947998046875, 'score': 0.947998046875, 'examples_seen': 326414, 'step': 2750, 'algorithm': 'lcs_length'}
{'b': 0.943603515625, 'score': 0.943603515625, 'examples_seen': 332487, 'step': 2800, 'algorithm': 'lcs_length'}
{'b': 0.9541015625, 'score': 0.9541015625, 'examples_seen': 338424, 'step': 2850, 'algorithm': 'lcs_length'}
{'b': 0.94677734375, 'score': 0.94677734375, 'examples_seen': 344321, 'step': 2900, 'algorithm': 'lcs_length'}
{'b': 0.955078125, 'score': 0.955078125, 'examples_seen': 350177, 'step': 2950, 'algorithm': 'lcs_length'}
{'b': 0.950439453125, 'score': 0.950439453125, 'examples_seen': 356031, 'step': 3000, 'algorithm': 'lcs_length'}
{'b': 0.953125, 'score': 0.953125, 'examples_seen': 361859, 'step': 3050, 'algorithm': 'lcs_length'}
{'b': 0.944580078125, 'score': 0.944580078125, 'examples_seen': 367912, 'step': 3100, 'algorithm': 'lcs_length'}
{'b': 0.95068359375, 'score': 0.95068359375, 'examples_seen': 373971, 'step': 3150, 'algorithm': 'lcs_length'}
{'b': 0.954345703125, 'score': 0.954345703125, 'examples_seen': 379910, 'step': 3200, 'algorithm': 'lcs_length'}
{'b': 0.95458984375, 'score': 0.95458984375, 'examples_seen': 385821, 'step': 3250, 'algorithm': 'lcs_length'}
{'b': 0.95166015625, 'score': 0.95166015625, 'examples_seen': 391664, 'step': 3300, 'algorithm': 'lcs_length'}
{'b': 0.95849609375, 'score': 0.95849609375, 'examples_seen': 397497, 'step': 3350, 'algorithm': 'lcs_length'}
{'b': 0.956787109375, 'score': 0.956787109375, 'examples_seen': 403337, 'step': 3400, 'algorithm': 'lcs_length'}
{'b': 0.96484375, 'score': 0.96484375, 'examples_seen': 409397, 'step': 3450, 'algorithm': 'lcs_length'}
{'b': 0.966064453125, 'score': 0.966064453125, 'examples_seen': 415462, 'step': 3500, 'algorithm': 'lcs_length'}
{'b': 0.964599609375, 'score': 0.964599609375, 'examples_seen': 421427, 'step': 3550, 'algorithm': 'lcs_length'}
{'b': 0.9541015625, 'score': 0.9541015625, 'examples_seen': 427311, 'step': 3600, 'algorithm': 'lcs_length'}
{'b': 0.95556640625, 'score': 0.95556640625, 'examples_seen': 433168, 'step': 3650, 'algorithm': 'lcs_length'}
