{'s': 0.283447265625, 'score': 0.283447265625, 'examples_seen': 128, 'step': 0, 'algorithm': 'matrix_chain_order'}
{'s': 0.58984375, 'score': 0.58984375, 'examples_seen': 4218, 'step': 50, 'algorithm': 'matrix_chain_order'}
{'s': 0.6907958984375, 'score': 0.6907958984375, 'examples_seen': 8294, 'step': 100, 'algorithm': 'matrix_chain_order'}
{'s': 0.77850341796875, 'score': 0.77850341796875, 'examples_seen': 12355, 'step': 150, 'algorithm': 'matrix_chain_order'}
{'s': 0.79278564453125, 'score': 0.79278564453125, 'examples_seen': 16408, 'step': 200, 'algorithm': 'matrix_chain_order'}
{'s': 0.8594970703125, 'score': 0.8594970703125, 'examples_seen': 20456, 'step': 250, 'algorithm': 'matrix_chain_order'}
{'s': 0.8582763671875, 'score': 0.8582763671875, 'examples_seen': 24737, 'step': 300, 'algorithm': 'matrix_chain_order'}
{'s': 0.90765380859375, 'score': 0.90765380859375, 'examples_seen': 28894, 'step': 350, 'algorithm': 'matrix_chain_order'}
{'s': 0.8779296875, 'score': 0.8779296875, 'examples_seen': 32991, 'step': 400, 'algorithm': 'matrix_chain_order'}
{'s': 0.90167236328125, 'score': 0.90167236328125, 'examples_seen': 37073, 'step': 450, 'algorithm': 'matrix_chain_order'}
{'s': 0.908935546875, 'score': 0.908935546875, 'examples_seen': 41130, 'step': 500, 'algorithm': 'matrix_chain_order'}
{'s': 0.931884765625, 'score': 0.931884765625, 'examples_seen': 45165, 'step': 550, 'algorithm': 'matrix_chain_order'}
{'s': 0.92205810546875, 'score': 0.92205810546875, 'examples_seen': 49209, 'step': 600, 'algorithm': 'matrix_chain_order'}
{'s': 0.9344482421875, 'score': 0.9344482421875, 'examples_seen': 53487, 'step': 650, 'algorithm': 'matrix_chain_order'}
{'s': 0.9317626953125, 'score': 0.9317626953125, 'examples_seen': 57638, 'step': 700, 'algorithm': 'matrix_chain_order'}
{'s': 0.93072509765625, 'score': 0.93072509765625, 'examples_seen': 61733, 'step': 750, 'algorithm': 'matrix_chain_order'}
{'s': 0.93499755859375, 'score': 0.93499755859375, 'examples_seen': 65801, 'step': 800, 'algorithm': 'matrix_chain_order'}
{'s': 0.92376708984375, 'score': 0.92376708984375, 'examples_seen': 69859, 'step': 850, 'algorithm': 'matrix_chain_order'}
{'s': 0.9434814453125, 'score': 0.9434814453125, 'examples_seen': 73922, 'step': 900, 'algorithm': 'matrix_chain_order'}
{'s': 0.9459228515625, 'score': 0.9459228515625, 'examples_seen': 77968, 'step': 950, 'algorithm': 'matrix_chain_order'}
{'s': 0.94549560546875, 'score': 0.94549560546875, 'examples_seen': 82246, 'step': 1000, 'algorithm': 'matrix_chain_order'}
{'s': 0.963134765625, 'score': 0.963134765625, 'examples_seen': 86410, 'step': 1050, 'algorithm': 'matrix_chain_order'}
{'s': 0.94403076171875, 'score': 0.94403076171875, 'examples_seen': 90511, 'step': 1100, 'algorithm': 'matrix_chain_order'}
{'s': 0.95977783203125, 'score': 0.95977783203125, 'examples_seen': 94587, 'step': 1150, 'algorithm': 'matrix_chain_order'}
{'s': 0.97088623046875, 'score': 0.97088623046875, 'examples_seen': 98650, 'step': 1200, 'algorithm': 'matrix_chain_order'}
{'s': 0.9739990234375, 'score': 0.9739990234375, 'examples_seen': 102701, 'step': 1250, 'algorithm': 'matrix_chain_order'}
{'s': 0.96746826171875, 'score': 0.96746826171875, 'examples_seen': 106754, 'step': 1300, 'algorithm': 'matrix_chain_order'}
{'s': 0.9752197265625, 'score': 0.9752197265625, 'examples_seen': 111037, 'step': 1350, 'algorithm': 'matrix_chain_order'}
{'s': 0.98272705078125, 'score': 0.98272705078125, 'examples_seen': 115202, 'step': 1400, 'algorithm': 'matrix_chain_order'}
{'s': 0.9542236328125, 'score': 0.9542236328125, 'examples_seen': 119298, 'step': 1450, 'algorithm': 'matrix_chain_order'}
