I0716 10:07:28.947261 130024657290752 run.py:722] (val) algo minimum step 0: {'min': 0.09033203125, 'score': 0.09033203125, 'examples_seen': 80, 'step': 0, 'algorithm': 'minimum'}
I0716 10:08:33.454461 130024657290752 run.py:722] (val) algo minimum step 50: {'min': 0.687255859375, 'score': 0.687255859375, 'examples_seen': 2640, 'step': 50, 'algorithm': 'minimum'}
I0716 10:08:35.178642 130024657290752 run.py:722] (val) algo minimum step 100: {'min': 0.644775390625, 'score': 0.644775390625, 'examples_seen': 5200, 'step': 100, 'algorithm': 'minimum'}
I0716 10:08:36.879042 130024657290752 run.py:722] (val) algo minimum step 150: {'min': 0.793212890625, 'score': 0.793212890625, 'examples_seen': 7744, 'step': 150, 'algorithm': 'minimum'}
I0716 10:08:38.598403 130024657290752 run.py:722] (val) algo minimum step 200: {'min': 0.833251953125, 'score': 0.833251953125, 'examples_seen': 10288, 'step': 200, 'algorithm': 'minimum'}
I0716 10:08:40.331371 130024657290752 run.py:722] (val) algo minimum step 250: {'min': 0.771484375, 'score': 0.771484375, 'examples_seen': 12816, 'step': 250, 'algorithm': 'minimum'}
I0716 10:08:42.065918 130024657290752 run.py:722] (val) algo minimum step 300: {'min': 0.830078125, 'score': 0.830078125, 'examples_seen': 15472, 'step': 300, 'algorithm': 'minimum'}
I0716 10:08:43.800961 130024657290752 run.py:722] (val) algo minimum step 350: {'min': 0.908935546875, 'score': 0.908935546875, 'examples_seen': 18080, 'step': 350, 'algorithm': 'minimum'}
I0716 10:08:45.519326 130024657290752 run.py:722] (val) algo minimum step 400: {'min': 0.830810546875, 'score': 0.830810546875, 'examples_seen': 20640, 'step': 400, 'algorithm': 'minimum'}
I0716 10:08:47.226348 130024657290752 run.py:722] (val) algo minimum step 450: {'min': 0.93798828125, 'score': 0.93798828125, 'examples_seen': 23216, 'step': 450, 'algorithm': 'minimum'}
I0716 10:08:48.955319 130024657290752 run.py:722] (val) algo minimum step 500: {'min': 0.802734375, 'score': 0.802734375, 'examples_seen': 25744, 'step': 500, 'algorithm': 'minimum'}
I0716 10:08:50.662858 130024657290752 run.py:722] (val) algo minimum step 550: {'min': 0.935302734375, 'score': 0.935302734375, 'examples_seen': 28288, 'step': 550, 'algorithm': 'minimum'}
I0716 10:08:52.379476 130024657290752 run.py:722] (val) algo minimum step 600: {'min': 0.934814453125, 'score': 0.934814453125, 'examples_seen': 30832, 'step': 600, 'algorithm': 'minimum'}
I0716 10:08:54.115041 130024657290752 run.py:722] (val) algo minimum step 650: {'min': 0.95361328125, 'score': 0.95361328125, 'examples_seen': 33456, 'step': 650, 'algorithm': 'minimum'}
I0716 10:08:55.846616 130024657290752 run.py:722] (val) algo minimum step 700: {'min': 0.827880859375, 'score': 0.827880859375, 'examples_seen': 36080, 'step': 700, 'algorithm': 'minimum'}
I0716 10:08:57.554102 130024657290752 run.py:722] (val) algo minimum step 750: {'min': 0.949951171875, 'score': 0.949951171875, 'examples_seen': 38640, 'step': 750, 'algorithm': 'minimum'}
I0716 10:08:59.282826 130024657290752 run.py:722] (val) algo minimum step 800: {'min': 0.94970703125, 'score': 0.94970703125, 'examples_seen': 41216, 'step': 800, 'algorithm': 'minimum'}
I0716 10:09:00.983989 130024657290752 run.py:722] (val) algo minimum step 850: {'min': 0.980224609375, 'score': 0.980224609375, 'examples_seen': 43760, 'step': 850, 'algorithm': 'minimum'}
I0716 10:09:02.711106 130024657290752 run.py:722] (val) algo minimum step 900: {'min': 0.954833984375, 'score': 0.954833984375, 'examples_seen': 46320, 'step': 900, 'algorithm': 'minimum'}
I0716 10:09:04.422282 130024657290752 run.py:722] (val) algo minimum step 950: {'min': 0.947998046875, 'score': 0.947998046875, 'examples_seen': 48832, 'step': 950, 'algorithm': 'minimum'}
I0716 10:09:06.157884 130024657290752 run.py:722] (val) algo minimum step 1000: {'min': 0.924072265625, 'score': 0.924072265625, 'examples_seen': 51488, 'step': 1000, 'algorithm': 'minimum'}
