I0716 10:16:03.122539 138429420811776 run.py:722] (val) algo mst_kruskal step 0: {'in_mst': 0.36396946564885496, 'score': 0.36396946564885496, 'examples_seen': 173, 'step': 0, 'algorithm': 'mst_kruskal'}
I0716 10:17:47.085119 138429420811776 run.py:722] (val) algo mst_kruskal step 50: {'in_mst': 0.5017421602787456, 'score': 0.5017421602787456, 'examples_seen': 4391, 'step': 50, 'algorithm': 'mst_kruskal'}
I0716 10:17:50.608622 138429420811776 run.py:722] (val) algo mst_kruskal step 100: {'in_mst': 0.3688415446071904, 'score': 0.3688415446071904, 'examples_seen': 8479, 'step': 100, 'algorithm': 'mst_kruskal'}
I0716 10:17:53.931231 138429420811776 run.py:722] (val) algo mst_kruskal step 150: {'in_mst': 0.4282115869017632, 'score': 0.4282115869017632, 'examples_seen': 12607, 'step': 150, 'algorithm': 'mst_kruskal'}
I0716 10:17:57.166332 138429420811776 run.py:722] (val) algo mst_kruskal step 200: {'in_mst': 0.5378048780487805, 'score': 0.5378048780487805, 'examples_seen': 16654, 'step': 200, 'algorithm': 'mst_kruskal'}
I0716 10:18:00.545942 138429420811776 run.py:722] (val) algo mst_kruskal step 250: {'in_mst': 0.6022525192649675, 'score': 0.6022525192649675, 'examples_seen': 20657, 'step': 250, 'algorithm': 'mst_kruskal'}
I0716 10:18:03.890458 138429420811776 run.py:722] (val) algo mst_kruskal step 300: {'in_mst': 0.6277286135693216, 'score': 0.6277286135693216, 'examples_seen': 24913, 'step': 300, 'algorithm': 'mst_kruskal'}
I0716 10:18:07.220591 138429420811776 run.py:722] (val) algo mst_kruskal step 350: {'in_mst': 0.579600647598489, 'score': 0.579600647598489, 'examples_seen': 29115, 'step': 350, 'algorithm': 'mst_kruskal'}
I0716 10:18:10.535022 138429420811776 run.py:722] (val) algo mst_kruskal step 400: {'in_mst': 0.5936631461923291, 'score': 0.5936631461923291, 'examples_seen': 33291, 'step': 400, 'algorithm': 'mst_kruskal'}
I0716 10:18:13.763096 138429420811776 run.py:722] (val) algo mst_kruskal step 450: {'in_mst': 0.5485564304461943, 'score': 0.5485564304461943, 'examples_seen': 37323, 'step': 450, 'algorithm': 'mst_kruskal'}
I0716 10:18:17.069882 138429420811776 run.py:722] (val) algo mst_kruskal step 500: {'in_mst': 0.5872340425531913, 'score': 0.5872340425531913, 'examples_seen': 41441, 'step': 500, 'algorithm': 'mst_kruskal'}
I0716 10:18:20.484736 138429420811776 run.py:722] (val) algo mst_kruskal step 550: {'in_mst': 0.49071618037135273, 'score': 0.49071618037135273, 'examples_seen': 45561, 'step': 550, 'algorithm': 'mst_kruskal'}
I0716 10:18:23.927412 138429420811776 run.py:722] (val) algo mst_kruskal step 600: {'in_mst': 0.6423529411764706, 'score': 0.6423529411764706, 'examples_seen': 49670, 'step': 600, 'algorithm': 'mst_kruskal'}
I0716 10:18:27.310420 138429420811776 run.py:722] (val) algo mst_kruskal step 650: {'in_mst': 0.6347871781397793, 'score': 0.6347871781397793, 'examples_seen': 53982, 'step': 650, 'algorithm': 'mst_kruskal'}
I0716 10:18:30.662621 138429420811776 run.py:722] (val) algo mst_kruskal step 700: {'in_mst': 0.642282370153621, 'score': 0.642282370153621, 'examples_seen': 58197, 'step': 700, 'algorithm': 'mst_kruskal'}
I0716 10:18:33.862341 138429420811776 run.py:722] (val) algo mst_kruskal step 750: {'in_mst': 0.6723095525997581, 'score': 0.6723095525997581, 'examples_seen': 62281, 'step': 750, 'algorithm': 'mst_kruskal'}
I0716 10:18:37.118882 138429420811776 run.py:722] (val) algo mst_kruskal step 800: {'in_mst': 0.6744457409568261, 'score': 0.6744457409568261, 'examples_seen': 66331, 'step': 800, 'algorithm': 'mst_kruskal'}
I0716 10:18:40.325741 138429420811776 run.py:722] (val) algo mst_kruskal step 850: {'in_mst': 0.6836215666327569, 'score': 0.6836215666327569, 'examples_seen': 70296, 'step': 850, 'algorithm': 'mst_kruskal'}
I0716 10:18:43.771711 138429420811776 run.py:722] (val) algo mst_kruskal step 900: {'in_mst': 0.5519911504424778, 'score': 0.5519911504424778, 'examples_seen': 74389, 'step': 900, 'algorithm': 'mst_kruskal'}
I0716 10:18:47.143652 138429420811776 run.py:722] (val) algo mst_kruskal step 950: {'in_mst': 0.6499715424018213, 'score': 0.6499715424018213, 'examples_seen': 78478, 'step': 950, 'algorithm': 'mst_kruskal'}
I0716 10:18:50.568673 138429420811776 run.py:722] (val) algo mst_kruskal step 1000: {'in_mst': 0.6734584450402146, 'score': 0.6734584450402146, 'examples_seen': 82731, 'step': 1000, 'algorithm': 'mst_kruskal'}
I0716 10:18:54.125664 138429420811776 run.py:722] (val) algo mst_kruskal step 1050: {'in_mst': 0.4651773981603153, 'score': 0.4651773981603153, 'examples_seen': 86984, 'step': 1050, 'algorithm': 'mst_kruskal'}
I0716 10:18:57.359210 138429420811776 run.py:722] (val) algo mst_kruskal step 1100: {'in_mst': 0.7091954022988507, 'score': 0.7091954022988507, 'examples_seen': 91118, 'step': 1100, 'algorithm': 'mst_kruskal'}
I0716 10:19:00.771483 138429420811776 run.py:722] (val) algo mst_kruskal step 1150: {'in_mst': 0.593613024420789, 'score': 0.593613024420789, 'examples_seen': 95345, 'step': 1150, 'algorithm': 'mst_kruskal'}
I0716 10:19:04.049240 138429420811776 run.py:722] (val) algo mst_kruskal step 1200: {'in_mst': 0.5709090909090909, 'score': 0.5709090909090909, 'examples_seen': 99323, 'step': 1200, 'algorithm': 'mst_kruskal'}
I0716 10:19:07.351419 138429420811776 run.py:722] (val) algo mst_kruskal step 1250: {'in_mst': 0.6509316770186335, 'score': 0.6509316770186335, 'examples_seen': 103404, 'step': 1250, 'algorithm': 'mst_kruskal'}
I0716 10:19:10.712867 138429420811776 run.py:722] (val) algo mst_kruskal step 1300: {'in_mst': 0.7309236947791165, 'score': 0.7309236947791165, 'examples_seen': 107531, 'step': 1300, 'algorithm': 'mst_kruskal'}
I0716 10:19:14.028759 138429420811776 run.py:722] (val) algo mst_kruskal step 1350: {'in_mst': 0.6157605375687233, 'score': 0.6157605375687233, 'examples_seen': 111837, 'step': 1350, 'algorithm': 'mst_kruskal'}
I0716 10:19:17.443199 138429420811776 run.py:722] (val) algo mst_kruskal step 1400: {'in_mst': 0.7111339148281169, 'score': 0.7111339148281169, 'examples_seen': 116034, 'step': 1400, 'algorithm': 'mst_kruskal'}
I0716 10:19:20.695971 138429420811776 run.py:722] (val) algo mst_kruskal step 1450: {'in_mst': 0.55783212161269, 'score': 0.55783212161269, 'examples_seen': 120162, 'step': 1450, 'algorithm': 'mst_kruskal'}
I0716 10:19:23.972867 138429420811776 run.py:722] (val) algo mst_kruskal step 1500: {'in_mst': 0.6739884393063583, 'score': 0.6739884393063583, 'examples_seen': 124318, 'step': 1500, 'algorithm': 'mst_kruskal'}
I0716 10:19:27.254287 138429420811776 run.py:722] (val) algo mst_kruskal step 1550: {'in_mst': 0.6604498080087766, 'score': 0.6604498080087766, 'examples_seen': 128428, 'step': 1550, 'algorithm': 'mst_kruskal'}
I0716 10:19:30.483322 138429420811776 run.py:722] (val) algo mst_kruskal step 1600: {'in_mst': 0.6590909090909091, 'score': 0.6590909090909091, 'examples_seen': 132489, 'step': 1600, 'algorithm': 'mst_kruskal'}
I0716 10:19:33.724782 138429420811776 run.py:722] (val) algo mst_kruskal step 1650: {'in_mst': 0.553141514973576, 'score': 0.553141514973576, 'examples_seen': 136542, 'step': 1650, 'algorithm': 'mst_kruskal'}
I0716 10:19:37.293441 138429420811776 run.py:722] (val) algo mst_kruskal step 1700: {'in_mst': 0.6283524904214559, 'score': 0.6283524904214559, 'examples_seen': 140866, 'step': 1700, 'algorithm': 'mst_kruskal'}
I0716 10:19:40.649182 138429420811776 run.py:722] (val) algo mst_kruskal step 1750: {'in_mst': 0.6075601374570446, 'score': 0.6075601374570446, 'examples_seen': 145068, 'step': 1750, 'algorithm': 'mst_kruskal'}
I0716 10:19:43.889613 138429420811776 run.py:722] (val) algo mst_kruskal step 1800: {'in_mst': 0.6455958549222798, 'score': 0.6455958549222798, 'examples_seen': 149195, 'step': 1800, 'algorithm': 'mst_kruskal'}
I0716 10:19:47.155201 138429420811776 run.py:722] (val) algo mst_kruskal step 1850: {'in_mst': 0.746184284906727, 'score': 0.746184284906727, 'examples_seen': 153304, 'step': 1850, 'algorithm': 'mst_kruskal'}
I0716 10:19:50.489448 138429420811776 run.py:722] (val) algo mst_kruskal step 1900: {'in_mst': 0.6102719033232628, 'score': 0.6102719033232628, 'examples_seen': 157443, 'step': 1900, 'algorithm': 'mst_kruskal'}
I0716 10:19:53.683299 138429420811776 run.py:722] (val) algo mst_kruskal step 1950: {'in_mst': 0.7011308562197092, 'score': 0.7011308562197092, 'examples_seen': 161536, 'step': 1950, 'algorithm': 'mst_kruskal'}
I0716 10:19:56.725941 138429420811776 run.py:722] (val) algo mst_kruskal step 2000: {'in_mst': 0.5444162436548223, 'score': 0.5444162436548223, 'examples_seen': 165531, 'step': 2000, 'algorithm': 'mst_kruskal'}
I0716 10:20:00.083274 138429420811776 run.py:722] (val) algo mst_kruskal step 2050: {'in_mst': 0.6863768115942028, 'score': 0.6863768115942028, 'examples_seen': 169840, 'step': 2050, 'algorithm': 'mst_kruskal'}
I0716 10:20:03.450468 138429420811776 run.py:722] (val) algo mst_kruskal step 2100: {'in_mst': 0.7647814910025708, 'score': 0.7647814910025708, 'examples_seen': 174082, 'step': 2100, 'algorithm': 'mst_kruskal'}
I0716 10:20:06.884350 138429420811776 run.py:722] (val) algo mst_kruskal step 2150: {'in_mst': 0.7253714914694551, 'score': 0.7253714914694551, 'examples_seen': 178221, 'step': 2150, 'algorithm': 'mst_kruskal'}
