{'pi': 0.43359375, 'score': 0.43359375, 'examples_seen': 84, 'step': 0, 'algorithm': 'mst_prim'}
{'pi': 0.7412109375, 'score': 0.7412109375, 'examples_seen': 2939, 'step': 50, 'algorithm': 'mst_prim'}
{'pi': 0.8056640625, 'score': 0.8056640625, 'examples_seen': 5767, 'step': 100, 'algorithm': 'mst_prim'}
{'pi': 0.7900390625, 'score': 0.7900390625, 'examples_seen': 8549, 'step': 150, 'algorithm': 'mst_prim'}
{'pi': 0.8095703125, 'score': 0.8095703125, 'examples_seen': 11356, 'step': 200, 'algorithm': 'mst_prim'}
{'pi': 0.7978515625, 'score': 0.7978515625, 'examples_seen': 14127, 'step': 250, 'algorithm': 'mst_prim'}
{'pi': 0.794921875, 'score': 0.794921875, 'examples_seen': 17028, 'step': 300, 'algorithm': 'mst_prim'}
{'pi': 0.8330078125, 'score': 0.8330078125, 'examples_seen': 19885, 'step': 350, 'algorithm': 'mst_prim'}
{'pi': 0.8466796875, 'score': 0.8466796875, 'examples_seen': 22716, 'step': 400, 'algorithm': 'mst_prim'}
{'pi': 0.876953125, 'score': 0.876953125, 'examples_seen': 25567, 'step': 450, 'algorithm': 'mst_prim'}
{'pi': 0.90234375, 'score': 0.90234375, 'examples_seen': 28356, 'step': 500, 'algorithm': 'mst_prim'}
{'pi': 0.865234375, 'score': 0.865234375, 'examples_seen': 31141, 'step': 550, 'algorithm': 'mst_prim'}
{'pi': 0.892578125, 'score': 0.892578125, 'examples_seen': 33957, 'step': 600, 'algorithm': 'mst_prim'}
{'pi': 0.875, 'score': 0.875, 'examples_seen': 36817, 'step': 650, 'algorithm': 'mst_prim'}
{'pi': 0.9248046875, 'score': 0.9248046875, 'examples_seen': 39664, 'step': 700, 'algorithm': 'mst_prim'}
{'pi': 0.900390625, 'score': 0.900390625, 'examples_seen': 42478, 'step': 750, 'algorithm': 'mst_prim'}
{'pi': 0.875, 'score': 0.875, 'examples_seen': 45235, 'step': 800, 'algorithm': 'mst_prim'}
{'pi': 0.90234375, 'score': 0.90234375, 'examples_seen': 48042, 'step': 850, 'algorithm': 'mst_prim'}
{'pi': 0.91796875, 'score': 0.91796875, 'examples_seen': 50811, 'step': 900, 'algorithm': 'mst_prim'}
{'pi': 0.94140625, 'score': 0.94140625, 'examples_seen': 53579, 'step': 950, 'algorithm': 'mst_prim'}
