I0716 10:39:34.796221 128058109416960 run.py:722] (val) algo naive_string_matcher step 0: {'match': 0.103759765625, 'score': 0.103759765625, 'examples_seen': 26, 'step': 0, 'algorithm': 'naive_string_matcher'}
I0716 10:39:36.786619 128058109416960 run.py:722] (val) algo naive_string_matcher step 50: {'match': 0.370361328125, 'score': 0.370361328125, 'examples_seen': 1160, 'step': 50, 'algorithm': 'naive_string_matcher'}
I0716 10:39:38.754593 128058109416960 run.py:722] (val) algo naive_string_matcher step 100: {'match': 0.452392578125, 'score': 0.452392578125, 'examples_seen': 2312, 'step': 100, 'algorithm': 'naive_string_matcher'}
I0716 10:39:40.736082 128058109416960 run.py:722] (val) algo naive_string_matcher step 150: {'match': 0.659912109375, 'score': 0.659912109375, 'examples_seen': 3487, 'step': 150, 'algorithm': 'naive_string_matcher'}
I0716 10:39:42.746768 128058109416960 run.py:722] (val) algo naive_string_matcher step 200: {'match': 0.525146484375, 'score': 0.525146484375, 'examples_seen': 4640, 'step': 200, 'algorithm': 'naive_string_matcher'}
I0716 10:39:44.689718 128058109416960 run.py:722] (val) algo naive_string_matcher step 250: {'match': 0.724365234375, 'score': 0.724365234375, 'examples_seen': 5786, 'step': 250, 'algorithm': 'naive_string_matcher'}
I0716 10:39:46.686250 128058109416960 run.py:722] (val) algo naive_string_matcher step 300: {'match': 0.65087890625, 'score': 0.65087890625, 'examples_seen': 6929, 'step': 300, 'algorithm': 'naive_string_matcher'}
I0716 10:39:48.676244 128058109416960 run.py:722] (val) algo naive_string_matcher step 350: {'match': 0.536376953125, 'score': 0.536376953125, 'examples_seen': 8076, 'step': 350, 'algorithm': 'naive_string_matcher'}
I0716 10:39:50.616406 128058109416960 run.py:722] (val) algo naive_string_matcher step 400: {'match': 0.71435546875, 'score': 0.71435546875, 'examples_seen': 9200, 'step': 400, 'algorithm': 'naive_string_matcher'}
I0716 10:39:52.606036 128058109416960 run.py:722] (val) algo naive_string_matcher step 450: {'match': 0.65673828125, 'score': 0.65673828125, 'examples_seen': 10369, 'step': 450, 'algorithm': 'naive_string_matcher'}
I0716 10:39:54.612142 128058109416960 run.py:722] (val) algo naive_string_matcher step 500: {'match': 0.69970703125, 'score': 0.69970703125, 'examples_seen': 11534, 'step': 500, 'algorithm': 'naive_string_matcher'}
