I0716 12:11:52.193562 137187410863616 run.py:722] (val) algo topological_sort step 0: {'topo': 0.10546875, 'topo_head': 0.015625, 'score': 0.060546875, 'examples_seen': 19, 'step': 0, 'algorithm': 'topological_sort'}
I0716 12:13:35.578864 137187410863616 run.py:722] (val) algo topological_sort step 50: {'topo': 0.26171875, 'topo_head': 0.859375, 'score': 0.560546875, 'examples_seen': 987, 'step': 50, 'algorithm': 'topological_sort'}
I0716 12:13:36.955597 137187410863616 run.py:722] (val) algo topological_sort step 100: {'topo': 0.4384765625, 'topo_head': 0.890625, 'score': 0.66455078125, 'examples_seen': 1935, 'step': 100, 'algorithm': 'topological_sort'}
I0716 12:13:38.299636 137187410863616 run.py:722] (val) algo topological_sort step 150: {'topo': 0.53515625, 'topo_head': 0.921875, 'score': 0.728515625, 'examples_seen': 2878, 'step': 150, 'algorithm': 'topological_sort'}
I0716 12:13:39.647723 137187410863616 run.py:722] (val) algo topological_sort step 200: {'topo': 0.46484375, 'topo_head': 0.96875, 'score': 0.716796875, 'examples_seen': 3826, 'step': 200, 'algorithm': 'topological_sort'}
I0716 12:13:41.005202 137187410863616 run.py:722] (val) algo topological_sort step 250: {'topo': 0.533203125, 'topo_head': 1.0, 'score': 0.7666015625, 'examples_seen': 4762, 'step': 250, 'algorithm': 'topological_sort'}
I0716 12:13:42.392272 137187410863616 run.py:722] (val) algo topological_sort step 300: {'topo': 0.4912109375, 'topo_head': 0.890625, 'score': 0.69091796875, 'examples_seen': 5743, 'step': 300, 'algorithm': 'topological_sort'}
I0716 12:13:43.717239 137187410863616 run.py:722] (val) algo topological_sort step 350: {'topo': 0.4375, 'topo_head': 0.84375, 'score': 0.640625, 'examples_seen': 6705, 'step': 350, 'algorithm': 'topological_sort'}
I0716 12:13:45.029283 137187410863616 run.py:722] (val) algo topological_sort step 400: {'topo': 0.5791015625, 'topo_head': 0.984375, 'score': 0.78173828125, 'examples_seen': 7662, 'step': 400, 'algorithm': 'topological_sort'}
I0716 12:13:46.366184 137187410863616 run.py:722] (val) algo topological_sort step 450: {'topo': 0.48828125, 'topo_head': 0.828125, 'score': 0.658203125, 'examples_seen': 8603, 'step': 450, 'algorithm': 'topological_sort'}
I0716 12:13:47.698312 137187410863616 run.py:722] (val) algo topological_sort step 500: {'topo': 0.4716796875, 'topo_head': 0.953125, 'score': 0.71240234375, 'examples_seen': 9550, 'step': 500, 'algorithm': 'topological_sort'}
I0716 12:13:49.046222 137187410863616 run.py:722] (val) algo topological_sort step 550: {'topo': 0.564453125, 'topo_head': 0.9375, 'score': 0.7509765625, 'examples_seen': 10489, 'step': 550, 'algorithm': 'topological_sort'}
I0716 12:13:50.457224 137187410863616 run.py:722] (val) algo topological_sort step 600: {'topo': 0.669921875, 'topo_head': 0.8125, 'score': 0.7412109375, 'examples_seen': 11426, 'step': 600, 'algorithm': 'topological_sort'}
I0716 12:13:51.864517 137187410863616 run.py:722] (val) algo topological_sort step 650: {'topo': 0.6123046875, 'topo_head': 0.859375, 'score': 0.73583984375, 'examples_seen': 12410, 'step': 650, 'algorithm': 'topological_sort'}
I0716 12:13:53.233693 137187410863616 run.py:722] (val) algo topological_sort step 700: {'topo': 0.6181640625, 'topo_head': 0.890625, 'score': 0.75439453125, 'examples_seen': 13378, 'step': 700, 'algorithm': 'topological_sort'}
I0716 12:13:54.549835 137187410863616 run.py:722] (val) algo topological_sort step 750: {'topo': 0.576171875, 'topo_head': 0.90625, 'score': 0.7412109375, 'examples_seen': 14331, 'step': 750, 'algorithm': 'topological_sort'}
I0716 12:13:55.885179 137187410863616 run.py:722] (val) algo topological_sort step 800: {'topo': 0.5869140625, 'topo_head': 0.734375, 'score': 0.66064453125, 'examples_seen': 15276, 'step': 800, 'algorithm': 'topological_sort'}
I0716 12:13:57.251261 137187410863616 run.py:722] (val) algo topological_sort step 850: {'topo': 0.5087890625, 'topo_head': 0.890625, 'score': 0.69970703125, 'examples_seen': 16220, 'step': 850, 'algorithm': 'topological_sort'}
I0716 12:13:58.668665 137187410863616 run.py:722] (val) algo topological_sort step 900: {'topo': 0.5751953125, 'topo_head': 0.65625, 'score': 0.61572265625, 'examples_seen': 17169, 'step': 900, 'algorithm': 'topological_sort'}
I0716 12:14:00.050101 137187410863616 run.py:722] (val) algo topological_sort step 950: {'topo': 0.6669921875, 'topo_head': 0.84375, 'score': 0.75537109375, 'examples_seen': 18108, 'step': 950, 'algorithm': 'topological_sort'}
I0716 12:14:01.410315 137187410863616 run.py:722] (val) algo topological_sort step 1000: {'topo': 0.626953125, 'topo_head': 0.875, 'score': 0.7509765625, 'examples_seen': 19087, 'step': 1000, 'algorithm': 'topological_sort'}
I0716 12:14:02.750387 137187410863616 run.py:722] (val) algo topological_sort step 1050: {'topo': 0.603515625, 'topo_head': 0.921875, 'score': 0.7626953125, 'examples_seen': 20043, 'step': 1050, 'algorithm': 'topological_sort'}
I0716 12:14:04.108803 137187410863616 run.py:722] (val) algo topological_sort step 1100: {'topo': 0.638671875, 'topo_head': 0.890625, 'score': 0.7646484375, 'examples_seen': 21003, 'step': 1100, 'algorithm': 'topological_sort'}
I0716 12:14:05.482229 137187410863616 run.py:722] (val) algo topological_sort step 1150: {'topo': 0.6162109375, 'topo_head': 0.96875, 'score': 0.79248046875, 'examples_seen': 21957, 'step': 1150, 'algorithm': 'topological_sort'}
I0716 12:14:06.845581 137187410863616 run.py:722] (val) algo topological_sort step 1200: {'topo': 0.6572265625, 'topo_head': 0.921875, 'score': 0.78955078125, 'examples_seen': 22902, 'step': 1200, 'algorithm': 'topological_sort'}
I0716 12:14:08.211838 137187410863616 run.py:722] (val) algo topological_sort step 1250: {'topo': 0.6484375, 'topo_head': 0.9375, 'score': 0.79296875, 'examples_seen': 23842, 'step': 1250, 'algorithm': 'topological_sort'}
I0716 12:14:09.613558 137187410863616 run.py:722] (val) algo topological_sort step 1300: {'topo': 0.6953125, 'topo_head': 0.9375, 'score': 0.81640625, 'examples_seen': 24780, 'step': 1300, 'algorithm': 'topological_sort'}
I0716 12:14:11.011592 137187410863616 run.py:722] (val) algo topological_sort step 1350: {'topo': 0.693359375, 'topo_head': 0.96875, 'score': 0.8310546875, 'examples_seen': 25755, 'step': 1350, 'algorithm': 'topological_sort'}
I0716 12:14:12.378797 137187410863616 run.py:722] (val) algo topological_sort step 1400: {'topo': 0.6376953125, 'topo_head': 0.984375, 'score': 0.81103515625, 'examples_seen': 26726, 'step': 1400, 'algorithm': 'topological_sort'}
I0716 12:14:13.735966 137187410863616 run.py:722] (val) algo topological_sort step 1450: {'topo': 0.7587890625, 'topo_head': 0.9375, 'score': 0.84814453125, 'examples_seen': 27680, 'step': 1450, 'algorithm': 'topological_sort'}
I0716 12:14:15.112254 137187410863616 run.py:722] (val) algo topological_sort step 1500: {'topo': 0.72265625, 'topo_head': 0.9375, 'score': 0.830078125, 'examples_seen': 28625, 'step': 1500, 'algorithm': 'topological_sort'}
I0716 12:14:16.451730 137187410863616 run.py:722] (val) algo topological_sort step 1550: {'topo': 0.787109375, 'topo_head': 0.9375, 'score': 0.8623046875, 'examples_seen': 29572, 'step': 1550, 'algorithm': 'topological_sort'}
I0716 12:14:17.839927 137187410863616 run.py:722] (val) algo topological_sort step 1600: {'topo': 0.7001953125, 'topo_head': 1.0, 'score': 0.85009765625, 'examples_seen': 30520, 'step': 1600, 'algorithm': 'topological_sort'}
I0716 12:14:19.213319 137187410863616 run.py:722] (val) algo topological_sort step 1650: {'topo': 0.7705078125, 'topo_head': 0.984375, 'score': 0.87744140625, 'examples_seen': 31465, 'step': 1650, 'algorithm': 'topological_sort'}
I0716 12:14:20.577273 137187410863616 run.py:722] (val) algo topological_sort step 1700: {'topo': 0.76171875, 'topo_head': 0.984375, 'score': 0.873046875, 'examples_seen': 32434, 'step': 1700, 'algorithm': 'topological_sort'}
I0716 12:14:21.895900 137187410863616 run.py:722] (val) algo topological_sort step 1750: {'topo': 0.7822265625, 'topo_head': 1.0, 'score': 0.89111328125, 'examples_seen': 33399, 'step': 1750, 'algorithm': 'topological_sort'}
