{'return': 0.054443359375, 'score': 0.054443359375, 'examples_seen': 96, 'step': 0, 'algorithm': 'binary_search'}
{'return': 0.24658203125, 'score': 0.24658203125, 'examples_seen': 3929, 'step': 50, 'algorithm': 'binary_search'}
{'return': 0.306396484375, 'score': 0.306396484375, 'examples_seen': 7769, 'step': 100, 'algorithm': 'binary_search'}
{'return': 0.69580078125, 'score': 0.69580078125, 'examples_seen': 11585, 'step': 150, 'algorithm': 'binary_search'}
{'return': 0.49951171875, 'score': 0.49951171875, 'examples_seen': 15405, 'step': 200, 'algorithm': 'binary_search'}
{'return': 0.417724609375, 'score': 0.417724609375, 'examples_seen': 19220, 'step': 250, 'algorithm': 'binary_search'}
{'return': 0.4482421875, 'score': 0.4482421875, 'examples_seen': 23101, 'step': 300, 'algorithm': 'binary_search'}
{'return': 0.6328125, 'score': 0.6328125, 'examples_seen': 26975, 'step': 350, 'algorithm': 'binary_search'}
{'return': 0.736572265625, 'score': 0.736572265625, 'examples_seen': 30803, 'step': 400, 'algorithm': 'binary_search'}
{'return': 0.532958984375, 'score': 0.532958984375, 'examples_seen': 34648, 'step': 450, 'algorithm': 'binary_search'}
{'return': 0.438232421875, 'score': 0.438232421875, 'examples_seen': 38465, 'step': 500, 'algorithm': 'binary_search'}
{'return': 0.451904296875, 'score': 0.451904296875, 'examples_seen': 42280, 'step': 550, 'algorithm': 'binary_search'}
{'return': 0.72607421875, 'score': 0.72607421875, 'examples_seen': 46095, 'step': 600, 'algorithm': 'binary_search'}
{'return': 0.7431640625, 'score': 0.7431640625, 'examples_seen': 49987, 'step': 650, 'algorithm': 'binary_search'}
{'return': 0.68603515625, 'score': 0.68603515625, 'examples_seen': 53861, 'step': 700, 'algorithm': 'binary_search'}
{'return': 0.746337890625, 'score': 0.746337890625, 'examples_seen': 57708, 'step': 750, 'algorithm': 'binary_search'}
{'return': 0.5087890625, 'score': 0.5087890625, 'examples_seen': 61556, 'step': 800, 'algorithm': 'binary_search'}
{'return': 0.573974609375, 'score': 0.573974609375, 'examples_seen': 65375, 'step': 850, 'algorithm': 'binary_search'}
{'return': 0.683837890625, 'score': 0.683837890625, 'examples_seen': 69199, 'step': 900, 'algorithm': 'binary_search'}
{'return': 0.77197265625, 'score': 0.77197265625, 'examples_seen': 73009, 'step': 950, 'algorithm': 'binary_search'}
{'return': 0.623779296875, 'score': 0.623779296875, 'examples_seen': 76906, 'step': 1000, 'algorithm': 'binary_search'}
{'return': 0.778564453125, 'score': 0.778564453125, 'examples_seen': 80786, 'step': 1050, 'algorithm': 'binary_search'}
{'return': 0.819091796875, 'score': 0.819091796875, 'examples_seen': 84624, 'step': 1100, 'algorithm': 'binary_search'}
{'return': 0.700439453125, 'score': 0.700439453125, 'examples_seen': 88449, 'step': 1150, 'algorithm': 'binary_search'}
{'return': 0.804931640625, 'score': 0.804931640625, 'examples_seen': 92263, 'step': 1200, 'algorithm': 'binary_search'}
{'return': 0.73388671875, 'score': 0.73388671875, 'examples_seen': 96077, 'step': 1250, 'algorithm': 'binary_search'}
{'return': 0.777587890625, 'score': 0.777587890625, 'examples_seen': 99908, 'step': 1300, 'algorithm': 'binary_search'}
{'return': 0.7373046875, 'score': 0.7373046875, 'examples_seen': 103790, 'step': 1350, 'algorithm': 'binary_search'}
{'return': 0.791259765625, 'score': 0.791259765625, 'examples_seen': 107671, 'step': 1400, 'algorithm': 'binary_search'}
{'return': 0.81494140625, 'score': 0.81494140625, 'examples_seen': 111509, 'step': 1450, 'algorithm': 'binary_search'}
{'return': 0.6962890625, 'score': 0.6962890625, 'examples_seen': 115364, 'step': 1500, 'algorithm': 'binary_search'}
{'return': 0.7744140625, 'score': 0.7744140625, 'examples_seen': 119178, 'step': 1550, 'algorithm': 'binary_search'}
{'return': 0.814697265625, 'score': 0.814697265625, 'examples_seen': 122997, 'step': 1600, 'algorithm': 'binary_search'}
{'return': 0.860107421875, 'score': 0.860107421875, 'examples_seen': 126829, 'step': 1650, 'algorithm': 'binary_search'}
{'return': 0.790771484375, 'score': 0.790771484375, 'examples_seen': 130709, 'step': 1700, 'algorithm': 'binary_search'}
{'return': 0.771240234375, 'score': 0.771240234375, 'examples_seen': 134592, 'step': 1750, 'algorithm': 'binary_search'}
{'return': 0.7314453125, 'score': 0.7314453125, 'examples_seen': 138441, 'step': 1800, 'algorithm': 'binary_search'}
{'return': 0.62548828125, 'score': 0.62548828125, 'examples_seen': 142294, 'step': 1850, 'algorithm': 'binary_search'}
{'return': 0.806640625, 'score': 0.806640625, 'examples_seen': 146105, 'step': 1900, 'algorithm': 'binary_search'}
{'return': 0.755859375, 'score': 0.755859375, 'examples_seen': 149913, 'step': 1950, 'algorithm': 'binary_search'}
{'return': 0.83251953125, 'score': 0.83251953125, 'examples_seen': 153743, 'step': 2000, 'algorithm': 'binary_search'}
{'return': 0.739990234375, 'score': 0.739990234375, 'examples_seen': 157638, 'step': 2050, 'algorithm': 'binary_search'}
{'return': 0.843017578125, 'score': 0.843017578125, 'examples_seen': 161536, 'step': 2100, 'algorithm': 'binary_search'}
{'return': 0.808349609375, 'score': 0.808349609375, 'examples_seen': 165370, 'step': 2150, 'algorithm': 'binary_search'}
{'return': 0.763427734375, 'score': 0.763427734375, 'examples_seen': 169201, 'step': 2200, 'algorithm': 'binary_search'}
{'return': 0.787109375, 'score': 0.787109375, 'examples_seen': 173028, 'step': 2250, 'algorithm': 'binary_search'}
{'return': 0.852783203125, 'score': 0.852783203125, 'examples_seen': 176837, 'step': 2300, 'algorithm': 'binary_search'}
