{'is_bridge': 0.5953788285867814, 'score': 0.5953788285867814, 'examples_seen': 16, 'step': 0, 'algorithm': 'bridges'}
{'is_bridge': 0.6795454545454546, 'score': 0.6795454545454546, 'examples_seen': 799, 'step': 50, 'algorithm': 'bridges'}
{'is_bridge': 0.5822187254130606, 'score': 0.5822187254130606, 'examples_seen': 1592, 'step': 100, 'algorithm': 'bridges'}
{'is_bridge': 0.5964912280701755, 'score': 0.5964912280701755, 'examples_seen': 2372, 'step': 150, 'algorithm': 'bridges'}
{'is_bridge': 0.673103448275862, 'score': 0.673103448275862, 'examples_seen': 3158, 'step': 200, 'algorithm': 'bridges'}
{'is_bridge': 0.773228346456693, 'score': 0.773228346456693, 'examples_seen': 3938, 'step': 250, 'algorithm': 'bridges'}
{'is_bridge': 0.7410958904109589, 'score': 0.7410958904109589, 'examples_seen': 4758, 'step': 300, 'algorithm': 'bridges'}
{'is_bridge': 0.8250460405156538, 'score': 0.8250460405156538, 'examples_seen': 5564, 'step': 350, 'algorithm': 'bridges'}
{'is_bridge': 0.7591674925668979, 'score': 0.7591674925668979, 'examples_seen': 6361, 'step': 400, 'algorithm': 'bridges'}
{'is_bridge': 0.8132530120481928, 'score': 0.8132530120481928, 'examples_seen': 7144, 'step': 450, 'algorithm': 'bridges'}
{'is_bridge': 0.8267254038179148, 'score': 0.8267254038179148, 'examples_seen': 7922, 'step': 500, 'algorithm': 'bridges'}
{'is_bridge': 0.8327974276527332, 'score': 0.8327974276527332, 'examples_seen': 8709, 'step': 550, 'algorithm': 'bridges'}
{'is_bridge': 0.8390541571319604, 'score': 0.8390541571319604, 'examples_seen': 9489, 'step': 600, 'algorithm': 'bridges'}
{'is_bridge': 0.830950378469302, 'score': 0.830950378469302, 'examples_seen': 10303, 'step': 650, 'algorithm': 'bridges'}
{'is_bridge': 0.8015625, 'score': 0.8015625, 'examples_seen': 11121, 'step': 700, 'algorithm': 'bridges'}
{'is_bridge': 0.7743229689067201, 'score': 0.7743229689067201, 'examples_seen': 11916, 'step': 750, 'algorithm': 'bridges'}
{'is_bridge': 0.8559027777777778, 'score': 0.8559027777777778, 'examples_seen': 12693, 'step': 800, 'algorithm': 'bridges'}
{'is_bridge': 0.8192771084337348, 'score': 0.8192771084337348, 'examples_seen': 13478, 'step': 850, 'algorithm': 'bridges'}
{'is_bridge': 0.8073555166374782, 'score': 0.8073555166374782, 'examples_seen': 14261, 'step': 900, 'algorithm': 'bridges'}
{'is_bridge': 0.7727272727272728, 'score': 0.7727272727272728, 'examples_seen': 15044, 'step': 950, 'algorithm': 'bridges'}
{'is_bridge': 0.8453453453453453, 'score': 0.8453453453453453, 'examples_seen': 15862, 'step': 1000, 'algorithm': 'bridges'}
{'is_bridge': 0.7151095732410611, 'score': 0.7151095732410611, 'examples_seen': 16666, 'step': 1050, 'algorithm': 'bridges'}
