I0716 19:35:46.345282 132227552474624 run.py:722] (val) algo dag_shortest_paths step 0: {'pi': 0.7294921875, 'score': 0.7294921875, 'examples_seen': 41, 'step': 0, 'algorithm': 'dag_shortest_paths'}
I0716 19:37:42.935489 132227552474624 run.py:722] (val) algo dag_shortest_paths step 50: {'pi': 0.921875, 'score': 0.921875, 'examples_seen': 1530, 'step': 50, 'algorithm': 'dag_shortest_paths'}
I0716 19:37:45.049652 132227552474624 run.py:722] (val) algo dag_shortest_paths step 100: {'pi': 0.947265625, 'score': 0.947265625, 'examples_seen': 2997, 'step': 100, 'algorithm': 'dag_shortest_paths'}
I0716 19:37:47.165720 132227552474624 run.py:722] (val) algo dag_shortest_paths step 150: {'pi': 0.9208984375, 'score': 0.9208984375, 'examples_seen': 4450, 'step': 150, 'algorithm': 'dag_shortest_paths'}
I0716 19:37:49.298504 132227552474624 run.py:722] (val) algo dag_shortest_paths step 200: {'pi': 0.9052734375, 'score': 0.9052734375, 'examples_seen': 5904, 'step': 200, 'algorithm': 'dag_shortest_paths'}
I0716 19:37:51.296374 132227552474624 run.py:722] (val) algo dag_shortest_paths step 250: {'pi': 0.888671875, 'score': 0.888671875, 'examples_seen': 7402, 'step': 250, 'algorithm': 'dag_shortest_paths'}
I0716 19:37:53.281138 132227552474624 run.py:722] (val) algo dag_shortest_paths step 300: {'pi': 0.939453125, 'score': 0.939453125, 'examples_seen': 8928, 'step': 300, 'algorithm': 'dag_shortest_paths'}
I0716 19:37:55.429035 132227552474624 run.py:722] (val) algo dag_shortest_paths step 350: {'pi': 0.8994140625, 'score': 0.8994140625, 'examples_seen': 10426, 'step': 350, 'algorithm': 'dag_shortest_paths'}
I0716 19:37:57.433799 132227552474624 run.py:722] (val) algo dag_shortest_paths step 400: {'pi': 0.8984375, 'score': 0.8984375, 'examples_seen': 11895, 'step': 400, 'algorithm': 'dag_shortest_paths'}
I0716 19:37:59.511953 132227552474624 run.py:722] (val) algo dag_shortest_paths step 450: {'pi': 0.921875, 'score': 0.921875, 'examples_seen': 13359, 'step': 450, 'algorithm': 'dag_shortest_paths'}
I0716 19:38:01.462622 132227552474624 run.py:722] (val) algo dag_shortest_paths step 500: {'pi': 0.9482421875, 'score': 0.9482421875, 'examples_seen': 14816, 'step': 500, 'algorithm': 'dag_shortest_paths'}
I0716 19:38:03.569329 132227552474624 run.py:722] (val) algo dag_shortest_paths step 550: {'pi': 0.95703125, 'score': 0.95703125, 'examples_seen': 16276, 'step': 550, 'algorithm': 'dag_shortest_paths'}
I0716 19:38:05.731225 132227552474624 run.py:722] (val) algo dag_shortest_paths step 600: {'pi': 0.9677734375, 'score': 0.9677734375, 'examples_seen': 17743, 'step': 600, 'algorithm': 'dag_shortest_paths'}
I0716 19:38:07.830928 132227552474624 run.py:722] (val) algo dag_shortest_paths step 650: {'pi': 0.9501953125, 'score': 0.9501953125, 'examples_seen': 19222, 'step': 650, 'algorithm': 'dag_shortest_paths'}
I0716 19:38:09.881022 132227552474624 run.py:722] (val) algo dag_shortest_paths step 700: {'pi': 0.95703125, 'score': 0.95703125, 'examples_seen': 20708, 'step': 700, 'algorithm': 'dag_shortest_paths'}
I0716 19:38:11.917574 132227552474624 run.py:722] (val) algo dag_shortest_paths step 750: {'pi': 0.9189453125, 'score': 0.9189453125, 'examples_seen': 22198, 'step': 750, 'algorithm': 'dag_shortest_paths'}
I0716 19:38:13.924592 132227552474624 run.py:722] (val) algo dag_shortest_paths step 800: {'pi': 0.958984375, 'score': 0.958984375, 'examples_seen': 23647, 'step': 800, 'algorithm': 'dag_shortest_paths'}
I0716 19:38:15.908264 132227552474624 run.py:722] (val) algo dag_shortest_paths step 850: {'pi': 0.94921875, 'score': 0.94921875, 'examples_seen': 25116, 'step': 850, 'algorithm': 'dag_shortest_paths'}
