I0716 19:46:22.255613 132276257179136 run.py:722] (val) algo dfs step 0: {'pi': 0.1103515625, 'score': 0.1103515625, 'examples_seen': 16, 'step': 0, 'algorithm': 'dfs'}
I0716 19:48:14.645681 132276257179136 run.py:722] (val) algo dfs step 50: {'pi': 0.3271484375, 'score': 0.3271484375, 'examples_seen': 880, 'step': 50, 'algorithm': 'dfs'}
I0716 19:48:16.125905 132276257179136 run.py:722] (val) algo dfs step 100: {'pi': 0.4208984375, 'score': 0.4208984375, 'examples_seen': 1744, 'step': 100, 'algorithm': 'dfs'}
I0716 19:48:17.586119 132276257179136 run.py:722] (val) algo dfs step 150: {'pi': 0.3779296875, 'score': 0.3779296875, 'examples_seen': 2576, 'step': 150, 'algorithm': 'dfs'}
I0716 19:48:19.039471 132276257179136 run.py:722] (val) algo dfs step 200: {'pi': 0.4384765625, 'score': 0.4384765625, 'examples_seen': 3424, 'step': 200, 'algorithm': 'dfs'}
I0716 19:48:20.525744 132276257179136 run.py:722] (val) algo dfs step 250: {'pi': 0.4248046875, 'score': 0.4248046875, 'examples_seen': 4256, 'step': 250, 'algorithm': 'dfs'}
I0716 19:48:21.989102 132276257179136 run.py:722] (val) algo dfs step 300: {'pi': 0.40234375, 'score': 0.40234375, 'examples_seen': 5152, 'step': 300, 'algorithm': 'dfs'}
I0716 19:48:23.408472 132276257179136 run.py:722] (val) algo dfs step 350: {'pi': 0.4404296875, 'score': 0.4404296875, 'examples_seen': 6000, 'step': 350, 'algorithm': 'dfs'}
I0716 19:48:24.877174 132276257179136 run.py:722] (val) algo dfs step 400: {'pi': 0.4326171875, 'score': 0.4326171875, 'examples_seen': 6864, 'step': 400, 'algorithm': 'dfs'}
I0716 19:48:26.305938 132276257179136 run.py:722] (val) algo dfs step 450: {'pi': 0.4462890625, 'score': 0.4462890625, 'examples_seen': 7728, 'step': 450, 'algorithm': 'dfs'}
I0716 19:48:27.775792 132276257179136 run.py:722] (val) algo dfs step 500: {'pi': 0.41796875, 'score': 0.41796875, 'examples_seen': 8560, 'step': 500, 'algorithm': 'dfs'}
I0716 19:48:29.225213 132276257179136 run.py:722] (val) algo dfs step 550: {'pi': 0.4228515625, 'score': 0.4228515625, 'examples_seen': 9408, 'step': 550, 'algorithm': 'dfs'}
I0716 19:48:30.715264 132276257179136 run.py:722] (val) algo dfs step 600: {'pi': 0.4697265625, 'score': 0.4697265625, 'examples_seen': 10272, 'step': 600, 'algorithm': 'dfs'}
I0716 19:48:32.228430 132276257179136 run.py:722] (val) algo dfs step 650: {'pi': 0.482421875, 'score': 0.482421875, 'examples_seen': 11152, 'step': 650, 'algorithm': 'dfs'}
I0716 19:48:33.689006 132276257179136 run.py:722] (val) algo dfs step 700: {'pi': 0.4697265625, 'score': 0.4697265625, 'examples_seen': 12000, 'step': 700, 'algorithm': 'dfs'}
I0716 19:48:35.115435 132276257179136 run.py:722] (val) algo dfs step 750: {'pi': 0.517578125, 'score': 0.517578125, 'examples_seen': 12880, 'step': 750, 'algorithm': 'dfs'}
I0716 19:48:36.580035 132276257179136 run.py:722] (val) algo dfs step 800: {'pi': 0.4375, 'score': 0.4375, 'examples_seen': 13728, 'step': 800, 'algorithm': 'dfs'}
I0716 19:48:38.022253 132276257179136 run.py:722] (val) algo dfs step 850: {'pi': 0.484375, 'score': 0.484375, 'examples_seen': 14576, 'step': 850, 'algorithm': 'dfs'}
I0716 19:48:39.468621 132276257179136 run.py:722] (val) algo dfs step 900: {'pi': 0.3603515625, 'score': 0.3603515625, 'examples_seen': 15440, 'step': 900, 'algorithm': 'dfs'}
I0716 19:48:40.944780 132276257179136 run.py:722] (val) algo dfs step 950: {'pi': 0.48046875, 'score': 0.48046875, 'examples_seen': 16272, 'step': 950, 'algorithm': 'dfs'}
I0716 19:48:42.396378 132276257179136 run.py:722] (val) algo dfs step 1000: {'pi': 0.5224609375, 'score': 0.5224609375, 'examples_seen': 17152, 'step': 1000, 'algorithm': 'dfs'}
I0716 19:48:43.881007 132276257179136 run.py:722] (val) algo dfs step 1050: {'pi': 0.48046875, 'score': 0.48046875, 'examples_seen': 18032, 'step': 1050, 'algorithm': 'dfs'}
I0716 19:48:45.315775 132276257179136 run.py:722] (val) algo dfs step 1100: {'pi': 0.5654296875, 'score': 0.5654296875, 'examples_seen': 18864, 'step': 1100, 'algorithm': 'dfs'}
