I0716 19:54:42.353636 140603330549248 run.py:722] (val) algo dijkstra step 0: {'pi': 0.4375, 'score': 0.4375, 'examples_seen': 84, 'step': 0, 'algorithm': 'dijkstra'}
I0716 19:56:30.851839 140603330549248 run.py:722] (val) algo dijkstra step 50: {'pi': 0.7001953125, 'score': 0.7001953125, 'examples_seen': 2939, 'step': 50, 'algorithm': 'dijkstra'}
I0716 19:56:32.935670 140603330549248 run.py:722] (val) algo dijkstra step 100: {'pi': 0.8798828125, 'score': 0.8798828125, 'examples_seen': 5767, 'step': 100, 'algorithm': 'dijkstra'}
I0716 19:56:34.800718 140603330549248 run.py:722] (val) algo dijkstra step 150: {'pi': 0.8828125, 'score': 0.8828125, 'examples_seen': 8549, 'step': 150, 'algorithm': 'dijkstra'}
I0716 19:56:36.833569 140603330549248 run.py:722] (val) algo dijkstra step 200: {'pi': 0.8740234375, 'score': 0.8740234375, 'examples_seen': 11356, 'step': 200, 'algorithm': 'dijkstra'}
I0716 19:56:38.861074 140603330549248 run.py:722] (val) algo dijkstra step 250: {'pi': 0.8701171875, 'score': 0.8701171875, 'examples_seen': 14127, 'step': 250, 'algorithm': 'dijkstra'}
I0716 19:56:40.874094 140603330549248 run.py:722] (val) algo dijkstra step 300: {'pi': 0.857421875, 'score': 0.857421875, 'examples_seen': 17028, 'step': 300, 'algorithm': 'dijkstra'}
I0716 19:56:42.877780 140603330549248 run.py:722] (val) algo dijkstra step 350: {'pi': 0.896484375, 'score': 0.896484375, 'examples_seen': 19885, 'step': 350, 'algorithm': 'dijkstra'}
I0716 19:56:44.829128 140603330549248 run.py:722] (val) algo dijkstra step 400: {'pi': 0.8896484375, 'score': 0.8896484375, 'examples_seen': 22716, 'step': 400, 'algorithm': 'dijkstra'}
I0716 19:56:46.775125 140603330549248 run.py:722] (val) algo dijkstra step 450: {'pi': 0.904296875, 'score': 0.904296875, 'examples_seen': 25567, 'step': 450, 'algorithm': 'dijkstra'}
I0716 19:56:48.766500 140603330549248 run.py:722] (val) algo dijkstra step 500: {'pi': 0.9609375, 'score': 0.9609375, 'examples_seen': 28356, 'step': 500, 'algorithm': 'dijkstra'}
I0716 19:56:50.715368 140603330549248 run.py:722] (val) algo dijkstra step 550: {'pi': 0.9111328125, 'score': 0.9111328125, 'examples_seen': 31141, 'step': 550, 'algorithm': 'dijkstra'}
