{'match': 0.111328125, 'score': 0.111328125, 'examples_seen': 15, 'step': 0, 'algorithm': 'kmp_matcher'}
{'match': 0.121826171875, 'score': 0.121826171875, 'examples_seen': 850, 'step': 50, 'algorithm': 'kmp_matcher'}
{'match': 0.108154296875, 'score': 0.108154296875, 'examples_seen': 1677, 'step': 100, 'algorithm': 'kmp_matcher'}
{'match': 0.119384765625, 'score': 0.119384765625, 'examples_seen': 2534, 'step': 150, 'algorithm': 'kmp_matcher'}
{'match': 0.116943359375, 'score': 0.116943359375, 'examples_seen': 3395, 'step': 200, 'algorithm': 'kmp_matcher'}
{'match': 0.145751953125, 'score': 0.145751953125, 'examples_seen': 4240, 'step': 250, 'algorithm': 'kmp_matcher'}
{'match': 0.262451171875, 'score': 0.262451171875, 'examples_seen': 5090, 'step': 300, 'algorithm': 'kmp_matcher'}
{'match': 0.4375, 'score': 0.4375, 'examples_seen': 5932, 'step': 350, 'algorithm': 'kmp_matcher'}
{'match': 0.254638671875, 'score': 0.254638671875, 'examples_seen': 6763, 'step': 400, 'algorithm': 'kmp_matcher'}
{'match': 0.2939453125, 'score': 0.2939453125, 'examples_seen': 7613, 'step': 450, 'algorithm': 'kmp_matcher'}
{'match': 0.30908203125, 'score': 0.30908203125, 'examples_seen': 8457, 'step': 500, 'algorithm': 'kmp_matcher'}
{'match': 0.39794921875, 'score': 0.39794921875, 'examples_seen': 9277, 'step': 550, 'algorithm': 'kmp_matcher'}
{'match': 0.535888671875, 'score': 0.535888671875, 'examples_seen': 10135, 'step': 600, 'algorithm': 'kmp_matcher'}
{'match': 0.46484375, 'score': 0.46484375, 'examples_seen': 10984, 'step': 650, 'algorithm': 'kmp_matcher'}
{'match': 0.59521484375, 'score': 0.59521484375, 'examples_seen': 11832, 'step': 700, 'algorithm': 'kmp_matcher'}
{'match': 0.63427734375, 'score': 0.63427734375, 'examples_seen': 12678, 'step': 750, 'algorithm': 'kmp_matcher'}
{'match': 0.694091796875, 'score': 0.694091796875, 'examples_seen': 13522, 'step': 800, 'algorithm': 'kmp_matcher'}
{'match': 0.8681640625, 'score': 0.8681640625, 'examples_seen': 14360, 'step': 850, 'algorithm': 'kmp_matcher'}
{'match': 0.755126953125, 'score': 0.755126953125, 'examples_seen': 15200, 'step': 900, 'algorithm': 'kmp_matcher'}
{'match': 0.76513671875, 'score': 0.76513671875, 'examples_seen': 16031, 'step': 950, 'algorithm': 'kmp_matcher'}
{'match': 0.75390625, 'score': 0.75390625, 'examples_seen': 16877, 'step': 1000, 'algorithm': 'kmp_matcher'}
{'match': 0.560546875, 'score': 0.560546875, 'examples_seen': 17719, 'step': 1050, 'algorithm': 'kmp_matcher'}
{'match': 0.85205078125, 'score': 0.85205078125, 'examples_seen': 18561, 'step': 1100, 'algorithm': 'kmp_matcher'}
{'match': 0.826171875, 'score': 0.826171875, 'examples_seen': 19420, 'step': 1150, 'algorithm': 'kmp_matcher'}
