I0716 21:50:12.140278 130696166696448 run.py:722] (val) algo minimum step 0: {'min': 0.09033203125, 'score': 0.09033203125, 'examples_seen': 80, 'step': 0, 'algorithm': 'minimum'}
I0716 21:51:18.327582 130696166696448 run.py:722] (val) algo minimum step 50: {'min': 0.6767578125, 'score': 0.6767578125, 'examples_seen': 2640, 'step': 50, 'algorithm': 'minimum'}
I0716 21:51:20.050249 130696166696448 run.py:722] (val) algo minimum step 100: {'min': 0.61767578125, 'score': 0.61767578125, 'examples_seen': 5200, 'step': 100, 'algorithm': 'minimum'}
I0716 21:51:21.750290 130696166696448 run.py:722] (val) algo minimum step 150: {'min': 0.721923828125, 'score': 0.721923828125, 'examples_seen': 7744, 'step': 150, 'algorithm': 'minimum'}
I0716 21:51:23.468312 130696166696448 run.py:722] (val) algo minimum step 200: {'min': 0.8349609375, 'score': 0.8349609375, 'examples_seen': 10288, 'step': 200, 'algorithm': 'minimum'}
I0716 21:51:25.197772 130696166696448 run.py:722] (val) algo minimum step 250: {'min': 0.87744140625, 'score': 0.87744140625, 'examples_seen': 12816, 'step': 250, 'algorithm': 'minimum'}
I0716 21:51:26.932161 130696166696448 run.py:722] (val) algo minimum step 300: {'min': 0.88330078125, 'score': 0.88330078125, 'examples_seen': 15472, 'step': 300, 'algorithm': 'minimum'}
I0716 21:51:28.655517 130696166696448 run.py:722] (val) algo minimum step 350: {'min': 0.871337890625, 'score': 0.871337890625, 'examples_seen': 18080, 'step': 350, 'algorithm': 'minimum'}
I0716 21:51:30.352222 130696166696448 run.py:722] (val) algo minimum step 400: {'min': 0.865478515625, 'score': 0.865478515625, 'examples_seen': 20640, 'step': 400, 'algorithm': 'minimum'}
I0716 21:51:32.051277 130696166696448 run.py:722] (val) algo minimum step 450: {'min': 0.92822265625, 'score': 0.92822265625, 'examples_seen': 23216, 'step': 450, 'algorithm': 'minimum'}
I0716 21:51:33.777864 130696166696448 run.py:722] (val) algo minimum step 500: {'min': 0.9541015625, 'score': 0.9541015625, 'examples_seen': 25744, 'step': 500, 'algorithm': 'minimum'}
I0716 21:51:35.492704 130696166696448 run.py:722] (val) algo minimum step 550: {'min': 0.904296875, 'score': 0.904296875, 'examples_seen': 28288, 'step': 550, 'algorithm': 'minimum'}
I0716 21:51:37.208136 130696166696448 run.py:722] (val) algo minimum step 600: {'min': 0.90966796875, 'score': 0.90966796875, 'examples_seen': 30832, 'step': 600, 'algorithm': 'minimum'}
I0716 21:51:38.929318 130696166696448 run.py:722] (val) algo minimum step 650: {'min': 0.965087890625, 'score': 0.965087890625, 'examples_seen': 33456, 'step': 650, 'algorithm': 'minimum'}
I0716 21:51:40.649934 130696166696448 run.py:722] (val) algo minimum step 700: {'min': 0.955078125, 'score': 0.955078125, 'examples_seen': 36080, 'step': 700, 'algorithm': 'minimum'}
I0716 21:51:42.347274 130696166696448 run.py:722] (val) algo minimum step 750: {'min': 0.927490234375, 'score': 0.927490234375, 'examples_seen': 38640, 'step': 750, 'algorithm': 'minimum'}
I0716 21:51:44.047313 130696166696448 run.py:722] (val) algo minimum step 800: {'min': 0.939697265625, 'score': 0.939697265625, 'examples_seen': 41216, 'step': 800, 'algorithm': 'minimum'}
I0716 21:51:45.746064 130696166696448 run.py:722] (val) algo minimum step 850: {'min': 0.904052734375, 'score': 0.904052734375, 'examples_seen': 43760, 'step': 850, 'algorithm': 'minimum'}
