I0716 22:13:04.932263 129552255399424 run.py:722] (val) algo mst_prim step 0: {'pi': 0.43359375, 'score': 0.43359375, 'examples_seen': 84, 'step': 0, 'algorithm': 'mst_prim'}
I0716 22:14:47.689734 129552255399424 run.py:722] (val) algo mst_prim step 50: {'pi': 0.734375, 'score': 0.734375, 'examples_seen': 2939, 'step': 50, 'algorithm': 'mst_prim'}
I0716 22:14:49.798962 129552255399424 run.py:722] (val) algo mst_prim step 100: {'pi': 0.8134765625, 'score': 0.8134765625, 'examples_seen': 5767, 'step': 100, 'algorithm': 'mst_prim'}
I0716 22:14:51.793643 129552255399424 run.py:722] (val) algo mst_prim step 150: {'pi': 0.79296875, 'score': 0.79296875, 'examples_seen': 8549, 'step': 150, 'algorithm': 'mst_prim'}
I0716 22:14:53.882776 129552255399424 run.py:722] (val) algo mst_prim step 200: {'pi': 0.826171875, 'score': 0.826171875, 'examples_seen': 11356, 'step': 200, 'algorithm': 'mst_prim'}
I0716 22:14:55.949317 129552255399424 run.py:722] (val) algo mst_prim step 250: {'pi': 0.806640625, 'score': 0.806640625, 'examples_seen': 14127, 'step': 250, 'algorithm': 'mst_prim'}
I0716 22:14:57.956428 129552255399424 run.py:722] (val) algo mst_prim step 300: {'pi': 0.8037109375, 'score': 0.8037109375, 'examples_seen': 17028, 'step': 300, 'algorithm': 'mst_prim'}
I0716 22:15:00.011889 129552255399424 run.py:722] (val) algo mst_prim step 350: {'pi': 0.818359375, 'score': 0.818359375, 'examples_seen': 19885, 'step': 350, 'algorithm': 'mst_prim'}
I0716 22:15:01.985565 129552255399424 run.py:722] (val) algo mst_prim step 400: {'pi': 0.8291015625, 'score': 0.8291015625, 'examples_seen': 22716, 'step': 400, 'algorithm': 'mst_prim'}
I0716 22:15:03.924832 129552255399424 run.py:722] (val) algo mst_prim step 450: {'pi': 0.865234375, 'score': 0.865234375, 'examples_seen': 25567, 'step': 450, 'algorithm': 'mst_prim'}
I0716 22:15:05.862831 129552255399424 run.py:722] (val) algo mst_prim step 500: {'pi': 0.8876953125, 'score': 0.8876953125, 'examples_seen': 28356, 'step': 500, 'algorithm': 'mst_prim'}
I0716 22:15:07.831110 129552255399424 run.py:722] (val) algo mst_prim step 550: {'pi': 0.8818359375, 'score': 0.8818359375, 'examples_seen': 31141, 'step': 550, 'algorithm': 'mst_prim'}
I0716 22:15:09.814985 129552255399424 run.py:722] (val) algo mst_prim step 600: {'pi': 0.91015625, 'score': 0.91015625, 'examples_seen': 33957, 'step': 600, 'algorithm': 'mst_prim'}
I0716 22:15:11.797161 129552255399424 run.py:722] (val) algo mst_prim step 650: {'pi': 0.9130859375, 'score': 0.9130859375, 'examples_seen': 36817, 'step': 650, 'algorithm': 'mst_prim'}
I0716 22:15:13.755506 129552255399424 run.py:722] (val) algo mst_prim step 700: {'pi': 0.908203125, 'score': 0.908203125, 'examples_seen': 39664, 'step': 700, 'algorithm': 'mst_prim'}
I0716 22:15:15.708870 129552255399424 run.py:722] (val) algo mst_prim step 750: {'pi': 0.900390625, 'score': 0.900390625, 'examples_seen': 42478, 'step': 750, 'algorithm': 'mst_prim'}
I0716 22:15:17.753355 129552255399424 run.py:722] (val) algo mst_prim step 800: {'pi': 0.9130859375, 'score': 0.9130859375, 'examples_seen': 45235, 'step': 800, 'algorithm': 'mst_prim'}
I0716 22:15:19.637217 129552255399424 run.py:722] (val) algo mst_prim step 850: {'pi': 0.91796875, 'score': 0.91796875, 'examples_seen': 48042, 'step': 850, 'algorithm': 'mst_prim'}
I0716 22:15:21.610561 129552255399424 run.py:722] (val) algo mst_prim step 900: {'pi': 0.912109375, 'score': 0.912109375, 'examples_seen': 50811, 'step': 900, 'algorithm': 'mst_prim'}
I0716 22:15:23.585815 129552255399424 run.py:722] (val) algo mst_prim step 950: {'pi': 0.9013671875, 'score': 0.9013671875, 'examples_seen': 53579, 'step': 950, 'algorithm': 'mst_prim'}
I0716 22:15:25.492535 129552255399424 run.py:722] (val) algo mst_prim step 1000: {'pi': 0.9052734375, 'score': 0.9052734375, 'examples_seen': 56461, 'step': 1000, 'algorithm': 'mst_prim'}
I0716 22:15:27.444660 129552255399424 run.py:722] (val) algo mst_prim step 1050: {'pi': 0.921875, 'score': 0.921875, 'examples_seen': 59277, 'step': 1050, 'algorithm': 'mst_prim'}
I0716 22:15:29.376372 129552255399424 run.py:722] (val) algo mst_prim step 1100: {'pi': 0.931640625, 'score': 0.931640625, 'examples_seen': 62110, 'step': 1100, 'algorithm': 'mst_prim'}
