I0716 22:37:05.402211 139152854750720 run.py:722] (val) algo quickselect step 0: {'median': 0.029052734375, 'score': 0.029052734375, 'examples_seen': 46, 'step': 0, 'algorithm': 'quickselect'}
I0716 22:38:47.478886 139152854750720 run.py:722] (val) algo quickselect step 50: {'median': 0.060791015625, 'score': 0.060791015625, 'examples_seen': 1653, 'step': 50, 'algorithm': 'quickselect'}
I0716 22:38:57.307323 139152854750720 run.py:722] (val) algo quickselect step 100: {'median': 0.076416015625, 'score': 0.076416015625, 'examples_seen': 3277, 'step': 100, 'algorithm': 'quickselect'}
I0716 22:39:07.078019 139152854750720 run.py:722] (val) algo quickselect step 150: {'median': 0.174560546875, 'score': 0.174560546875, 'examples_seen': 4881, 'step': 150, 'algorithm': 'quickselect'}
I0716 22:39:16.809162 139152854750720 run.py:722] (val) algo quickselect step 200: {'median': 0.2119140625, 'score': 0.2119140625, 'examples_seen': 6472, 'step': 200, 'algorithm': 'quickselect'}
I0716 22:39:26.510005 139152854750720 run.py:722] (val) algo quickselect step 250: {'median': 0.19677734375, 'score': 0.19677734375, 'examples_seen': 8061, 'step': 250, 'algorithm': 'quickselect'}
I0716 22:39:36.221196 139152854750720 run.py:722] (val) algo quickselect step 300: {'median': 0.2158203125, 'score': 0.2158203125, 'examples_seen': 9734, 'step': 300, 'algorithm': 'quickselect'}
I0716 22:39:45.945314 139152854750720 run.py:722] (val) algo quickselect step 350: {'median': 0.18701171875, 'score': 0.18701171875, 'examples_seen': 11367, 'step': 350, 'algorithm': 'quickselect'}
I0716 22:39:55.623086 139152854750720 run.py:722] (val) algo quickselect step 400: {'median': 0.177490234375, 'score': 0.177490234375, 'examples_seen': 12963, 'step': 400, 'algorithm': 'quickselect'}
I0716 22:40:05.246450 139152854750720 run.py:722] (val) algo quickselect step 450: {'median': 0.169921875, 'score': 0.169921875, 'examples_seen': 14543, 'step': 450, 'algorithm': 'quickselect'}
I0716 22:40:14.960176 139152854750720 run.py:722] (val) algo quickselect step 500: {'median': 0.212890625, 'score': 0.212890625, 'examples_seen': 16145, 'step': 500, 'algorithm': 'quickselect'}
I0716 22:40:24.678599 139152854750720 run.py:722] (val) algo quickselect step 550: {'median': 0.197265625, 'score': 0.197265625, 'examples_seen': 17728, 'step': 550, 'algorithm': 'quickselect'}
