{'pred': 0.08203125, 'score': 0.08203125, 'examples_seen': 55, 'step': 0, 'algorithm': 'quicksort'}
{'pred': 0.2177734375, 'score': 0.2177734375, 'examples_seen': 1782, 'step': 50, 'algorithm': 'quicksort'}
{'pred': 0.3134765625, 'score': 0.3134765625, 'examples_seen': 3499, 'step': 100, 'algorithm': 'quicksort'}
{'pred': 0.3828125, 'score': 0.3828125, 'examples_seen': 5209, 'step': 150, 'algorithm': 'quicksort'}
{'pred': 0.2744140625, 'score': 0.2744140625, 'examples_seen': 6915, 'step': 200, 'algorithm': 'quicksort'}
{'pred': 0.2978515625, 'score': 0.2978515625, 'examples_seen': 8625, 'step': 250, 'algorithm': 'quicksort'}
{'pred': 0.2802734375, 'score': 0.2802734375, 'examples_seen': 10448, 'step': 300, 'algorithm': 'quicksort'}
{'pred': 0.3212890625, 'score': 0.3212890625, 'examples_seen': 12202, 'step': 350, 'algorithm': 'quicksort'}
{'pred': 0.35546875, 'score': 0.35546875, 'examples_seen': 13931, 'step': 400, 'algorithm': 'quicksort'}
{'pred': 0.34375, 'score': 0.34375, 'examples_seen': 15630, 'step': 450, 'algorithm': 'quicksort'}
{'pred': 0.3466796875, 'score': 0.3466796875, 'examples_seen': 17352, 'step': 500, 'algorithm': 'quicksort'}
{'pred': 0.35546875, 'score': 0.35546875, 'examples_seen': 19054, 'step': 550, 'algorithm': 'quicksort'}
{'pred': 0.3095703125, 'score': 0.3095703125, 'examples_seen': 20764, 'step': 600, 'algorithm': 'quicksort'}
{'pred': 0.357421875, 'score': 0.357421875, 'examples_seen': 22594, 'step': 650, 'algorithm': 'quicksort'}
{'pred': 0.375, 'score': 0.375, 'examples_seen': 24344, 'step': 700, 'algorithm': 'quicksort'}
{'pred': 0.388671875, 'score': 0.388671875, 'examples_seen': 26065, 'step': 750, 'algorithm': 'quicksort'}
{'pred': 0.4423828125, 'score': 0.4423828125, 'examples_seen': 27785, 'step': 800, 'algorithm': 'quicksort'}
{'pred': 0.505859375, 'score': 0.505859375, 'examples_seen': 29491, 'step': 850, 'algorithm': 'quicksort'}
{'pred': 0.466796875, 'score': 0.466796875, 'examples_seen': 31189, 'step': 900, 'algorithm': 'quicksort'}
{'pred': 0.3974609375, 'score': 0.3974609375, 'examples_seen': 32894, 'step': 950, 'algorithm': 'quicksort'}
{'pred': 0.3916015625, 'score': 0.3916015625, 'examples_seen': 34734, 'step': 1000, 'algorithm': 'quicksort'}
{'pred': 0.4052734375, 'score': 0.4052734375, 'examples_seen': 36497, 'step': 1050, 'algorithm': 'quicksort'}
{'pred': 0.39453125, 'score': 0.39453125, 'examples_seen': 38217, 'step': 1100, 'algorithm': 'quicksort'}
{'pred': 0.3896484375, 'score': 0.3896484375, 'examples_seen': 39941, 'step': 1150, 'algorithm': 'quicksort'}
{'pred': 0.4814453125, 'score': 0.4814453125, 'examples_seen': 41647, 'step': 1200, 'algorithm': 'quicksort'}
{'pred': 0.419921875, 'score': 0.419921875, 'examples_seen': 43355, 'step': 1250, 'algorithm': 'quicksort'}
{'pred': 0.482421875, 'score': 0.482421875, 'examples_seen': 45058, 'step': 1300, 'algorithm': 'quicksort'}
{'pred': 0.4345703125, 'score': 0.4345703125, 'examples_seen': 46905, 'step': 1350, 'algorithm': 'quicksort'}
{'pred': 0.443359375, 'score': 0.443359375, 'examples_seen': 48665, 'step': 1400, 'algorithm': 'quicksort'}
{'pred': 0.4267578125, 'score': 0.4267578125, 'examples_seen': 50388, 'step': 1450, 'algorithm': 'quicksort'}
{'pred': 0.3828125, 'score': 0.3828125, 'examples_seen': 52101, 'step': 1500, 'algorithm': 'quicksort'}
{'pred': 0.419921875, 'score': 0.419921875, 'examples_seen': 53806, 'step': 1550, 'algorithm': 'quicksort'}
{'pred': 0.353515625, 'score': 0.353515625, 'examples_seen': 55518, 'step': 1600, 'algorithm': 'quicksort'}
{'pred': 0.3681640625, 'score': 0.3681640625, 'examples_seen': 57231, 'step': 1650, 'algorithm': 'quicksort'}
{'pred': 0.3564453125, 'score': 0.3564453125, 'examples_seen': 59052, 'step': 1700, 'algorithm': 'quicksort'}
{'pred': 0.3779296875, 'score': 0.3779296875, 'examples_seen': 60828, 'step': 1750, 'algorithm': 'quicksort'}
{'pred': 0.4482421875, 'score': 0.4482421875, 'examples_seen': 62558, 'step': 1800, 'algorithm': 'quicksort'}
{'pred': 0.474609375, 'score': 0.474609375, 'examples_seen': 64269, 'step': 1850, 'algorithm': 'quicksort'}
{'pred': 0.484375, 'score': 0.484375, 'examples_seen': 65981, 'step': 1900, 'algorithm': 'quicksort'}
{'pred': 0.4677734375, 'score': 0.4677734375, 'examples_seen': 67690, 'step': 1950, 'algorithm': 'quicksort'}
{'pred': 0.455078125, 'score': 0.455078125, 'examples_seen': 69400, 'step': 2000, 'algorithm': 'quicksort'}
{'pred': 0.4951171875, 'score': 0.4951171875, 'examples_seen': 71223, 'step': 2050, 'algorithm': 'quicksort'}
{'pred': 0.44921875, 'score': 0.44921875, 'examples_seen': 72989, 'step': 2100, 'algorithm': 'quicksort'}
{'pred': 0.4755859375, 'score': 0.4755859375, 'examples_seen': 74713, 'step': 2150, 'algorithm': 'quicksort'}
{'pred': 0.4765625, 'score': 0.4765625, 'examples_seen': 76426, 'step': 2200, 'algorithm': 'quicksort'}
{'pred': 0.4443359375, 'score': 0.4443359375, 'examples_seen': 78141, 'step': 2250, 'algorithm': 'quicksort'}
{'pred': 0.4814453125, 'score': 0.4814453125, 'examples_seen': 79856, 'step': 2300, 'algorithm': 'quicksort'}
{'pred': 0.5, 'score': 0.5, 'examples_seen': 81561, 'step': 2350, 'algorithm': 'quicksort'}
{'pred': 0.5146484375, 'score': 0.5146484375, 'examples_seen': 83384, 'step': 2400, 'algorithm': 'quicksort'}
{'pred': 0.482421875, 'score': 0.482421875, 'examples_seen': 85132, 'step': 2450, 'algorithm': 'quicksort'}
{'pred': 0.4765625, 'score': 0.4765625, 'examples_seen': 86862, 'step': 2500, 'algorithm': 'quicksort'}
{'pred': 0.4638671875, 'score': 0.4638671875, 'examples_seen': 88565, 'step': 2550, 'algorithm': 'quicksort'}
{'pred': 0.4853515625, 'score': 0.4853515625, 'examples_seen': 90271, 'step': 2600, 'algorithm': 'quicksort'}
{'pred': 0.51953125, 'score': 0.51953125, 'examples_seen': 91972, 'step': 2650, 'algorithm': 'quicksort'}
{'pred': 0.517578125, 'score': 0.517578125, 'examples_seen': 93671, 'step': 2700, 'algorithm': 'quicksort'}
{'pred': 0.5078125, 'score': 0.5078125, 'examples_seen': 95504, 'step': 2750, 'algorithm': 'quicksort'}
{'pred': 0.50390625, 'score': 0.50390625, 'examples_seen': 97264, 'step': 2800, 'algorithm': 'quicksort'}
{'pred': 0.4853515625, 'score': 0.4853515625, 'examples_seen': 98999, 'step': 2850, 'algorithm': 'quicksort'}
{'pred': 0.4814453125, 'score': 0.4814453125, 'examples_seen': 100705, 'step': 2900, 'algorithm': 'quicksort'}
{'pred': 0.533203125, 'score': 0.533203125, 'examples_seen': 102408, 'step': 2950, 'algorithm': 'quicksort'}
{'pred': 0.482421875, 'score': 0.482421875, 'examples_seen': 104116, 'step': 3000, 'algorithm': 'quicksort'}
{'pred': 0.51953125, 'score': 0.51953125, 'examples_seen': 105816, 'step': 3050, 'algorithm': 'quicksort'}
{'pred': 0.55078125, 'score': 0.55078125, 'examples_seen': 107659, 'step': 3100, 'algorithm': 'quicksort'}
{'pred': 0.537109375, 'score': 0.537109375, 'examples_seen': 109424, 'step': 3150, 'algorithm': 'quicksort'}
{'pred': 0.5185546875, 'score': 0.5185546875, 'examples_seen': 111152, 'step': 3200, 'algorithm': 'quicksort'}
{'pred': 0.5234375, 'score': 0.5234375, 'examples_seen': 112866, 'step': 3250, 'algorithm': 'quicksort'}
{'pred': 0.517578125, 'score': 0.517578125, 'examples_seen': 114577, 'step': 3300, 'algorithm': 'quicksort'}
{'pred': 0.5732421875, 'score': 0.5732421875, 'examples_seen': 116277, 'step': 3350, 'algorithm': 'quicksort'}
{'pred': 0.6142578125, 'score': 0.6142578125, 'examples_seen': 118002, 'step': 3400, 'algorithm': 'quicksort'}
{'pred': 0.609375, 'score': 0.609375, 'examples_seen': 119823, 'step': 3450, 'algorithm': 'quicksort'}
{'pred': 0.5712890625, 'score': 0.5712890625, 'examples_seen': 121585, 'step': 3500, 'algorithm': 'quicksort'}
{'pred': 0.5791015625, 'score': 0.5791015625, 'examples_seen': 123312, 'step': 3550, 'algorithm': 'quicksort'}
{'pred': 0.6484375, 'score': 0.6484375, 'examples_seen': 125017, 'step': 3600, 'algorithm': 'quicksort'}
{'pred': 0.6123046875, 'score': 0.6123046875, 'examples_seen': 126734, 'step': 3650, 'algorithm': 'quicksort'}
{'pred': 0.5537109375, 'score': 0.5537109375, 'examples_seen': 128438, 'step': 3700, 'algorithm': 'quicksort'}
{'pred': 0.57421875, 'score': 0.57421875, 'examples_seen': 130142, 'step': 3750, 'algorithm': 'quicksort'}
{'pred': 0.560546875, 'score': 0.560546875, 'examples_seen': 131959, 'step': 3800, 'algorithm': 'quicksort'}
