{'selected': 0.0, 'score': 0.0, 'examples_seen': 64, 'step': 0, 'algorithm': 'task_scheduling'}
{'selected': 0.8502604166666667, 'score': 0.8502604166666667, 'examples_seen': 2080, 'step': 50, 'algorithm': 'task_scheduling'}
{'selected': 0.8733564013840832, 'score': 0.8733564013840832, 'examples_seen': 4064, 'step': 100, 'algorithm': 'task_scheduling'}
{'selected': 0.89739663093415, 'score': 0.89739663093415, 'examples_seen': 6016, 'step': 150, 'algorithm': 'task_scheduling'}
{'selected': 0.8954344624447718, 'score': 0.8954344624447718, 'examples_seen': 8016, 'step': 200, 'algorithm': 'task_scheduling'}
{'selected': 0.9021084337349398, 'score': 0.9021084337349398, 'examples_seen': 9952, 'step': 250, 'algorithm': 'task_scheduling'}
{'selected': 0.9053627760252366, 'score': 0.9053627760252366, 'examples_seen': 12000, 'step': 300, 'algorithm': 'task_scheduling'}
{'selected': 0.9109052031361369, 'score': 0.9109052031361369, 'examples_seen': 14032, 'step': 350, 'algorithm': 'task_scheduling'}
{'selected': 0.909090909090909, 'score': 0.909090909090909, 'examples_seen': 16000, 'step': 400, 'algorithm': 'task_scheduling'}
{'selected': 0.9134328358208956, 'score': 0.9134328358208956, 'examples_seen': 18000, 'step': 450, 'algorithm': 'task_scheduling'}
{'selected': 0.9194244604316546, 'score': 0.9194244604316546, 'examples_seen': 19952, 'step': 500, 'algorithm': 'task_scheduling'}
{'selected': 0.9164305949008499, 'score': 0.9164305949008499, 'examples_seen': 21920, 'step': 550, 'algorithm': 'task_scheduling'}
{'selected': 0.9113924050632911, 'score': 0.9113924050632911, 'examples_seen': 23904, 'step': 600, 'algorithm': 'task_scheduling'}
{'selected': 0.9162182936202921, 'score': 0.9162182936202921, 'examples_seen': 25920, 'step': 650, 'algorithm': 'task_scheduling'}
{'selected': 0.9220872051465332, 'score': 0.9220872051465332, 'examples_seen': 27952, 'step': 700, 'algorithm': 'task_scheduling'}
{'selected': 0.9271523178807948, 'score': 0.9271523178807948, 'examples_seen': 29936, 'step': 750, 'algorithm': 'task_scheduling'}
{'selected': 0.9178470254957507, 'score': 0.9178470254957507, 'examples_seen': 31920, 'step': 800, 'algorithm': 'task_scheduling'}
{'selected': 0.9254185692541856, 'score': 0.9254185692541856, 'examples_seen': 33904, 'step': 850, 'algorithm': 'task_scheduling'}
{'selected': 0.9258114374034002, 'score': 0.9258114374034002, 'examples_seen': 35856, 'step': 900, 'algorithm': 'task_scheduling'}
{'selected': 0.8909090909090909, 'score': 0.8909090909090909, 'examples_seen': 37808, 'step': 950, 'algorithm': 'task_scheduling'}
{'selected': 0.8527659574468086, 'score': 0.8527659574468086, 'examples_seen': 39872, 'step': 1000, 'algorithm': 'task_scheduling'}
{'selected': 0.9465648854961832, 'score': 0.9465648854961832, 'examples_seen': 41872, 'step': 1050, 'algorithm': 'task_scheduling'}
{'selected': 0.9281138790035586, 'score': 0.9281138790035586, 'examples_seen': 43872, 'step': 1100, 'algorithm': 'task_scheduling'}
{'selected': 0.935361216730038, 'score': 0.935361216730038, 'examples_seen': 45856, 'step': 1150, 'algorithm': 'task_scheduling'}
{'selected': 0.8892355694227768, 'score': 0.8892355694227768, 'examples_seen': 47808, 'step': 1200, 'algorithm': 'task_scheduling'}
{'selected': 0.9215229215229216, 'score': 0.9215229215229216, 'examples_seen': 49808, 'step': 1250, 'algorithm': 'task_scheduling'}
{'selected': 0.9388646288209607, 'score': 0.9388646288209607, 'examples_seen': 51760, 'step': 1300, 'algorithm': 'task_scheduling'}
{'selected': 0.9110595514307811, 'score': 0.9110595514307811, 'examples_seen': 53792, 'step': 1350, 'algorithm': 'task_scheduling'}
{'selected': 0.9245705750560119, 'score': 0.9245705750560119, 'examples_seen': 55824, 'step': 1400, 'algorithm': 'task_scheduling'}
{'selected': 0.9330389992641648, 'score': 0.9330389992641648, 'examples_seen': 57792, 'step': 1450, 'algorithm': 'task_scheduling'}
{'selected': 0.9140625, 'score': 0.9140625, 'examples_seen': 59792, 'step': 1500, 'algorithm': 'task_scheduling'}
{'selected': 0.8976034858387799, 'score': 0.8976034858387799, 'examples_seen': 61744, 'step': 1550, 'algorithm': 'task_scheduling'}
{'selected': 0.9136745607333842, 'score': 0.9136745607333842, 'examples_seen': 63712, 'step': 1600, 'algorithm': 'task_scheduling'}
{'selected': 0.9545782263878876, 'score': 0.9545782263878876, 'examples_seen': 65712, 'step': 1650, 'algorithm': 'task_scheduling'}
{'selected': 0.8787632221318145, 'score': 0.8787632221318145, 'examples_seen': 67712, 'step': 1700, 'algorithm': 'task_scheduling'}
{'selected': 0.9374090247452693, 'score': 0.9374090247452693, 'examples_seen': 69744, 'step': 1750, 'algorithm': 'task_scheduling'}
{'selected': 0.9167240192704749, 'score': 0.9167240192704749, 'examples_seen': 71728, 'step': 1800, 'algorithm': 'task_scheduling'}
{'selected': 0.9238020424194816, 'score': 0.9238020424194816, 'examples_seen': 73712, 'step': 1850, 'algorithm': 'task_scheduling'}
{'selected': 0.9330357142857143, 'score': 0.9330357142857143, 'examples_seen': 75712, 'step': 1900, 'algorithm': 'task_scheduling'}
{'selected': 0.9432571849668386, 'score': 0.9432571849668386, 'examples_seen': 77664, 'step': 1950, 'algorithm': 'task_scheduling'}
{'selected': 0.9259525521207763, 'score': 0.9259525521207763, 'examples_seen': 79632, 'step': 2000, 'algorithm': 'task_scheduling'}
{'selected': 0.9365325077399381, 'score': 0.9365325077399381, 'examples_seen': 81680, 'step': 2050, 'algorithm': 'task_scheduling'}
{'selected': 0.8983164983164983, 'score': 0.8983164983164983, 'examples_seen': 83680, 'step': 2100, 'algorithm': 'task_scheduling'}
{'selected': 0.9437359339834959, 'score': 0.9437359339834959, 'examples_seen': 85680, 'step': 2150, 'algorithm': 'task_scheduling'}
{'selected': 0.9244712990936556, 'score': 0.9244712990936556, 'examples_seen': 87664, 'step': 2200, 'algorithm': 'task_scheduling'}
{'selected': 0.953416149068323, 'score': 0.953416149068323, 'examples_seen': 89632, 'step': 2250, 'algorithm': 'task_scheduling'}
{'selected': 0.9388335704125177, 'score': 0.9388335704125177, 'examples_seen': 91616, 'step': 2300, 'algorithm': 'task_scheduling'}
{'selected': 0.9498069498069498, 'score': 0.9498069498069498, 'examples_seen': 93568, 'step': 2350, 'algorithm': 'task_scheduling'}
{'selected': 0.9464958553127355, 'score': 0.9464958553127355, 'examples_seen': 95600, 'step': 2400, 'algorithm': 'task_scheduling'}
{'selected': 0.9332365747460087, 'score': 0.9332365747460087, 'examples_seen': 97632, 'step': 2450, 'algorithm': 'task_scheduling'}
{'selected': 0.9203125, 'score': 0.9203125, 'examples_seen': 99600, 'step': 2500, 'algorithm': 'task_scheduling'}
{'selected': 0.9299363057324841, 'score': 0.9299363057324841, 'examples_seen': 101600, 'step': 2550, 'algorithm': 'task_scheduling'}
{'selected': 0.9303621169916434, 'score': 0.9303621169916434, 'examples_seen': 103568, 'step': 2600, 'algorithm': 'task_scheduling'}
{'selected': 0.9285714285714286, 'score': 0.9285714285714286, 'examples_seen': 105520, 'step': 2650, 'algorithm': 'task_scheduling'}
{'selected': 0.9189944134078213, 'score': 0.9189944134078213, 'examples_seen': 107520, 'step': 2700, 'algorithm': 'task_scheduling'}
{'selected': 0.942461762563729, 'score': 0.942461762563729, 'examples_seen': 109520, 'step': 2750, 'algorithm': 'task_scheduling'}
{'selected': 0.9537105069801616, 'score': 0.9537105069801616, 'examples_seen': 111552, 'step': 2800, 'algorithm': 'task_scheduling'}
{'selected': 0.9015873015873016, 'score': 0.9015873015873016, 'examples_seen': 113552, 'step': 2850, 'algorithm': 'task_scheduling'}
{'selected': 0.9427312775330396, 'score': 0.9427312775330396, 'examples_seen': 115520, 'step': 2900, 'algorithm': 'task_scheduling'}
{'selected': 0.9473684210526314, 'score': 0.9473684210526314, 'examples_seen': 117520, 'step': 2950, 'algorithm': 'task_scheduling'}
{'selected': 0.9398443029016277, 'score': 0.9398443029016277, 'examples_seen': 119456, 'step': 3000, 'algorithm': 'task_scheduling'}
{'selected': 0.9472161966738973, 'score': 0.9472161966738973, 'examples_seen': 121424, 'step': 3050, 'algorithm': 'task_scheduling'}
{'selected': 0.9257703081232492, 'score': 0.9257703081232492, 'examples_seen': 123472, 'step': 3100, 'algorithm': 'task_scheduling'}
{'selected': 0.9388379204892966, 'score': 0.9388379204892966, 'examples_seen': 125472, 'step': 3150, 'algorithm': 'task_scheduling'}
{'selected': 0.9548872180451128, 'score': 0.9548872180451128, 'examples_seen': 127488, 'step': 3200, 'algorithm': 'task_scheduling'}
{'selected': 0.9310850439882696, 'score': 0.9310850439882696, 'examples_seen': 129456, 'step': 3250, 'algorithm': 'task_scheduling'}
{'selected': 0.9495982468955442, 'score': 0.9495982468955442, 'examples_seen': 131424, 'step': 3300, 'algorithm': 'task_scheduling'}
{'selected': 0.9501424501424502, 'score': 0.9501424501424502, 'examples_seen': 133408, 'step': 3350, 'algorithm': 'task_scheduling'}
{'selected': 0.9529683885890518, 'score': 0.9529683885890518, 'examples_seen': 135360, 'step': 3400, 'algorithm': 'task_scheduling'}
{'selected': 0.9520295202952029, 'score': 0.9520295202952029, 'examples_seen': 137392, 'step': 3450, 'algorithm': 'task_scheduling'}
{'selected': 0.9388714733542319, 'score': 0.9388714733542319, 'examples_seen': 139424, 'step': 3500, 'algorithm': 'task_scheduling'}
{'selected': 0.8962655601659751, 'score': 0.8962655601659751, 'examples_seen': 141408, 'step': 3550, 'algorithm': 'task_scheduling'}
{'selected': 0.9440504334121355, 'score': 0.9440504334121355, 'examples_seen': 143392, 'step': 3600, 'algorithm': 'task_scheduling'}
{'selected': 0.9487364620938629, 'score': 0.9487364620938629, 'examples_seen': 145360, 'step': 3650, 'algorithm': 'task_scheduling'}
{'selected': 0.9138755980861245, 'score': 0.9138755980861245, 'examples_seen': 147312, 'step': 3700, 'algorithm': 'task_scheduling'}
{'selected': 0.9434850863422292, 'score': 0.9434850863422292, 'examples_seen': 149312, 'step': 3750, 'algorithm': 'task_scheduling'}
{'selected': 0.9395562356541699, 'score': 0.9395562356541699, 'examples_seen': 151328, 'step': 3800, 'algorithm': 'task_scheduling'}
{'selected': 0.9535740604274134, 'score': 0.9535740604274134, 'examples_seen': 153344, 'step': 3850, 'algorithm': 'task_scheduling'}
{'selected': 0.9387121799844841, 'score': 0.9387121799844841, 'examples_seen': 155344, 'step': 3900, 'algorithm': 'task_scheduling'}
{'selected': 0.9482496194824962, 'score': 0.9482496194824962, 'examples_seen': 157312, 'step': 3950, 'algorithm': 'task_scheduling'}
{'selected': 0.9410887397464579, 'score': 0.9410887397464579, 'examples_seen': 159312, 'step': 4000, 'algorithm': 'task_scheduling'}
{'selected': 0.9285714285714286, 'score': 0.9285714285714286, 'examples_seen': 161248, 'step': 4050, 'algorithm': 'task_scheduling'}
{'selected': 0.9529326574945691, 'score': 0.9529326574945691, 'examples_seen': 163216, 'step': 4100, 'algorithm': 'task_scheduling'}
{'selected': 0.9506933744221879, 'score': 0.9506933744221879, 'examples_seen': 165280, 'step': 4150, 'algorithm': 'task_scheduling'}
{'selected': 0.9536621823617341, 'score': 0.9536621823617341, 'examples_seen': 167264, 'step': 4200, 'algorithm': 'task_scheduling'}
{'selected': 0.9288389513108615, 'score': 0.9288389513108615, 'examples_seen': 169280, 'step': 4250, 'algorithm': 'task_scheduling'}
{'selected': 0.9324960753532183, 'score': 0.9324960753532183, 'examples_seen': 171248, 'step': 4300, 'algorithm': 'task_scheduling'}
{'selected': 0.9442815249266863, 'score': 0.9442815249266863, 'examples_seen': 173216, 'step': 4350, 'algorithm': 'task_scheduling'}
{'selected': 0.9470499243570348, 'score': 0.9470499243570348, 'examples_seen': 175232, 'step': 4400, 'algorithm': 'task_scheduling'}
{'selected': 0.9451540195341849, 'score': 0.9451540195341849, 'examples_seen': 177168, 'step': 4450, 'algorithm': 'task_scheduling'}
{'selected': 0.9389880952380952, 'score': 0.9389880952380952, 'examples_seen': 179216, 'step': 4500, 'algorithm': 'task_scheduling'}
{'selected': 0.9455676516329705, 'score': 0.9455676516329705, 'examples_seen': 181232, 'step': 4550, 'algorithm': 'task_scheduling'}
{'selected': 0.9493575207860923, 'score': 0.9493575207860923, 'examples_seen': 183216, 'step': 4600, 'algorithm': 'task_scheduling'}
{'selected': 0.9387144992526159, 'score': 0.9387144992526159, 'examples_seen': 185200, 'step': 4650, 'algorithm': 'task_scheduling'}
{'selected': 0.9465081723625556, 'score': 0.9465081723625556, 'examples_seen': 187168, 'step': 4700, 'algorithm': 'task_scheduling'}
{'selected': 0.9332376166547021, 'score': 0.9332376166547021, 'examples_seen': 189136, 'step': 4750, 'algorithm': 'task_scheduling'}
{'selected': 0.9527272727272728, 'score': 0.9527272727272728, 'examples_seen': 191120, 'step': 4800, 'algorithm': 'task_scheduling'}
{'selected': 0.9467455621301776, 'score': 0.9467455621301776, 'examples_seen': 193136, 'step': 4850, 'algorithm': 'task_scheduling'}
{'selected': 0.9381663113006395, 'score': 0.9381663113006395, 'examples_seen': 195152, 'step': 4900, 'algorithm': 'task_scheduling'}
{'selected': 0.9497293116782676, 'score': 0.9497293116782676, 'examples_seen': 197152, 'step': 4950, 'algorithm': 'task_scheduling'}
{'selected': 0.9536826119969627, 'score': 0.9536826119969627, 'examples_seen': 199120, 'step': 5000, 'algorithm': 'task_scheduling'}
{'selected': 0.9639440765268581, 'score': 0.9639440765268581, 'examples_seen': 201120, 'step': 5050, 'algorithm': 'task_scheduling'}
{'selected': 0.9601769911504424, 'score': 0.9601769911504424, 'examples_seen': 203072, 'step': 5100, 'algorithm': 'task_scheduling'}
{'selected': 0.9570552147239264, 'score': 0.9570552147239264, 'examples_seen': 205024, 'step': 5150, 'algorithm': 'task_scheduling'}
{'selected': 0.9536231884057971, 'score': 0.9536231884057971, 'examples_seen': 207088, 'step': 5200, 'algorithm': 'task_scheduling'}
{'selected': 0.9478458049886621, 'score': 0.9478458049886621, 'examples_seen': 209072, 'step': 5250, 'algorithm': 'task_scheduling'}
{'selected': 0.9556574923547401, 'score': 0.9556574923547401, 'examples_seen': 211088, 'step': 5300, 'algorithm': 'task_scheduling'}
{'selected': 0.9450867052023122, 'score': 0.9450867052023122, 'examples_seen': 213072, 'step': 5350, 'algorithm': 'task_scheduling'}
{'selected': 0.9424083769633508, 'score': 0.9424083769633508, 'examples_seen': 215024, 'step': 5400, 'algorithm': 'task_scheduling'}
{'selected': 0.9570909090909092, 'score': 0.9570909090909092, 'examples_seen': 217024, 'step': 5450, 'algorithm': 'task_scheduling'}
{'selected': 0.9606656580937972, 'score': 0.9606656580937972, 'examples_seen': 218960, 'step': 5500, 'algorithm': 'task_scheduling'}
{'selected': 0.9487179487179488, 'score': 0.9487179487179488, 'examples_seen': 221008, 'step': 5550, 'algorithm': 'task_scheduling'}
{'selected': 0.964094728800611, 'score': 0.964094728800611, 'examples_seen': 223024, 'step': 5600, 'algorithm': 'task_scheduling'}
{'selected': 0.9370021723388848, 'score': 0.9370021723388848, 'examples_seen': 225008, 'step': 5650, 'algorithm': 'task_scheduling'}
{'selected': 0.9446064139941691, 'score': 0.9446064139941691, 'examples_seen': 227008, 'step': 5700, 'algorithm': 'task_scheduling'}
{'selected': 0.9593495934959351, 'score': 0.9593495934959351, 'examples_seen': 228960, 'step': 5750, 'algorithm': 'task_scheduling'}
{'selected': 0.9584799437016185, 'score': 0.9584799437016185, 'examples_seen': 230928, 'step': 5800, 'algorithm': 'task_scheduling'}
{'selected': 0.9586523736600305, 'score': 0.9586523736600305, 'examples_seen': 232912, 'step': 5850, 'algorithm': 'task_scheduling'}
{'selected': 0.9591240875912409, 'score': 0.9591240875912409, 'examples_seen': 234928, 'step': 5900, 'algorithm': 'task_scheduling'}
{'selected': 0.9344773790951638, 'score': 0.9344773790951638, 'examples_seen': 236944, 'step': 5950, 'algorithm': 'task_scheduling'}
{'selected': 0.9362363919129082, 'score': 0.9362363919129082, 'examples_seen': 238944, 'step': 6000, 'algorithm': 'task_scheduling'}
{'selected': 0.9425454545454546, 'score': 0.9425454545454546, 'examples_seen': 240928, 'step': 6050, 'algorithm': 'task_scheduling'}
{'selected': 0.9568904593639576, 'score': 0.9568904593639576, 'examples_seen': 242912, 'step': 6100, 'algorithm': 'task_scheduling'}
{'selected': 0.9538690476190476, 'score': 0.9538690476190476, 'examples_seen': 244864, 'step': 6150, 'algorithm': 'task_scheduling'}
{'selected': 0.9423368740515934, 'score': 0.9423368740515934, 'examples_seen': 246816, 'step': 6200, 'algorithm': 'task_scheduling'}
{'selected': 0.9558599695585998, 'score': 0.9558599695585998, 'examples_seen': 248880, 'step': 6250, 'algorithm': 'task_scheduling'}
{'selected': 0.9457700650759219, 'score': 0.9457700650759219, 'examples_seen': 250880, 'step': 6300, 'algorithm': 'task_scheduling'}
{'selected': 0.9452582883577486, 'score': 0.9452582883577486, 'examples_seen': 252880, 'step': 6350, 'algorithm': 'task_scheduling'}
{'selected': 0.9483636363636363, 'score': 0.9483636363636363, 'examples_seen': 254864, 'step': 6400, 'algorithm': 'task_scheduling'}
{'selected': 0.9536423841059604, 'score': 0.9536423841059604, 'examples_seen': 256816, 'step': 6450, 'algorithm': 'task_scheduling'}
{'selected': 0.9432835820895522, 'score': 0.9432835820895522, 'examples_seen': 258816, 'step': 6500, 'algorithm': 'task_scheduling'}
{'selected': 0.9529243937232524, 'score': 0.9529243937232524, 'examples_seen': 260752, 'step': 6550, 'algorithm': 'task_scheduling'}
{'selected': 0.9600000000000001, 'score': 0.9600000000000001, 'examples_seen': 262800, 'step': 6600, 'algorithm': 'task_scheduling'}
{'selected': 0.9415162454873646, 'score': 0.9415162454873646, 'examples_seen': 264832, 'step': 6650, 'algorithm': 'task_scheduling'}
{'selected': 0.946656649135988, 'score': 0.946656649135988, 'examples_seen': 266800, 'step': 6700, 'algorithm': 'task_scheduling'}
{'selected': 0.9600580973129993, 'score': 0.9600580973129993, 'examples_seen': 268800, 'step': 6750, 'algorithm': 'task_scheduling'}
{'selected': 0.9595885378398237, 'score': 0.9595885378398237, 'examples_seen': 270752, 'step': 6800, 'algorithm': 'task_scheduling'}
{'selected': 0.962962962962963, 'score': 0.962962962962963, 'examples_seen': 272736, 'step': 6850, 'algorithm': 'task_scheduling'}
{'selected': 0.9621698786581014, 'score': 0.9621698786581014, 'examples_seen': 274720, 'step': 6900, 'algorithm': 'task_scheduling'}
{'selected': 0.9637155297532655, 'score': 0.9637155297532655, 'examples_seen': 276736, 'step': 6950, 'algorithm': 'task_scheduling'}
